sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
marmelad $ confektyrer $ kex och bisquits $ russin $ mandel och fikon $ hallon $ korsbärs $ apelsin och citron saft gurka $ syltlök och pickles $ egen inlägg $ $ $ nor af år skörd $ östgöta grön stufärter och gul kokärt $ all slag grönsak $ fogelföda m $ m $ försälja	43	0	kokrt	Marmelad ; Confektyrer ; Kex och Bisquits ; Russin , Mandel och Fikon ; Hallon , Korsbärs , Apelsin- och Citron safter Gurkor ; Syltlök och Pickles , eget inlägg ; Bruna^bö ^bö nor af årets skörd ; Östgöta gröna Stufärter och gula Kokärter ; alla slags Grönsaker ; Fogelföda m . m . försäljes 	bib15869824_18951218_145700_101_0004_alto.xml-16-43
till jrlsholns fattiggård under januari $ juni 1901 af följa vara af god beskaffenhet $ hvetemjöl $ rågmjöl $ risgryn $ korngryn $ kokärt $ torrfisk $ sill $ strömming $ salt och fotogén $	23	0	kokrt	till JRlsholns fattiggård under januari — juni 1901 af följande varor af god beskaffenhet : hvetemjöl , rågmjöl , risgryn , korngryn , kokärter , torrfisk , sill , strömming , salt och fotogén . 	bib11653790_19001218_145648_100_0001_alto.xml-10-23
vid fattigvårdsstyrelsen sammanträde $ som hålla å rådhus torsdag den 28 i denna månad $ 4 $ m $ $ förrätta proviantauktion för upphandling af $ hvetemjöl $ rågmjöl $ risgryn $ hafregryn $ kokärt $ kaffe och socker att efter rekvisition leverera vid fattighus från den 1 nästa april till den 1 därpå följa juli $	34	0	kokrt	Vid fattigvårdsstyrelsens sammanträde , som hålles å Rådhuset torsdagen den 28 i denna månad kl. 4 e. m . , förrättas proviantauktion för upphandling af : hvetemjöl , rågmjöl , risgryn , hafregryn , kokärter , kaffe och socker att efter rekvisition levereras vid fattighuset från den 1 nästa April till den 1 därpå följande Juli . 	bib15761097_18950316_145020_32_0003_alto.xml-62-34
men $ att leverantör må kunna lemna ved af låg dimension emot reduktion af $ pris som kvantitet $ att ved skola tråfvas till 6 fot höjd $ att proviantartiklarne $ som skola vara af fullgod beskaffenhet $ bestå af oskummad oell skumma mjölk $ sammanmalet rågmjöl $ hvetemjöl $ korngryn $ hafregryn $ kokärt $ färsk nötkött samt mjuk och torr bröd $ äfvensom hveteskorpor $ att anbud skola lämna å mjölk per liter $ å mjöl $ gryn och kokärt per 100 kilogram samt å kött och bröd per kilogram $ att mjölk och bröd skola leverera dagligen $ kött för en eller flere dag efter tillsägelse $ samt en öfrig proviantartiklarne efter rekvisition $ att öfrig vilkor vid leverans tillkännagifvas vid auktion $ samt att betalning erhålla hvar tredje månad $	81	0	kokrt	men , att leverantör må kunna lemna ved af lägre dimensioner emot reduktion af såväl pris som kvantitet ; att veden skall tråfvas till 6 fots höjd ; att proviantartiklarne , som skola vara af fullgod beskaffenhet , bestå af oskummad oell skummad mjölk , sammanmalet rågmjöl , hvetemjöl , korngryn , hafregryn , kokärter , färskt nötkött samt mjukt och torrt bröd , äfvensom hveteskorpor ; att anbud skola lämnas å mjölk per liter , å mjöl , gryn och kokärter per 100 kilogram samt å kött och bröd per kilogram ; att mjölk och bröd skola levereras dagligen , kött för en eller flere dagar efter tillsägelse , samt de öfriga proviantartiklarne efter rekvisition ; att öfriga vilkor vid leveransen tillkännagifvas vid auktionen ; samt att betalning erhålles hvar tredje månad . 	bib11653790_18991128_145648_93_0002_alto.xml-178-81
kokärt $ färsk nötkött samt mjuk och torr bröd $ äfvensom hreteskorpor $ att anbud skola lemnäs å mjölk per liter $ å mjöl $ gryn och kokärt por 100 kilogram samt å kött och bröd per kilogram $ att mjölk och bröd skola leverera dagligen $ kött för en eller flere dag efter tillsägelse $ samt en öfrig proviantartiklarne efter rekvisition $ att öfrig vilkor vid leverans tilltännagifvas vid auktion $ samt att betalning erhålla liva tredje månad $	27	0	kokrt	kokärter , färskt nötkött samt mjukt och torrt bröd , äfvensom hreteskorpor : att anbud skola lemnäs å mjölk per liter , å mjöl , gryn och kokärter por 100 kilogram samt å kött och bröd per kilogram ; att mjölk och bröd skola levereras dagligen , kött för en eller flere dagar efter tillsägelse , samt de öfriga proviantartiklarne efter rekvisition ; att öfriga vilkor vid leveransen tilltännagifvas vid auktionen ; samt att betalning erhålles livar tredje månad . 	bib11653790_18981125_145648_91_0001_alto.xml-23-27
vallgata sälja sammanmalet $ toppadt och siktadt rågmjöl från vattenqvarn samt god kokärt till billig pris $	12	0	kokrt	Vallgatan säljes sammanmalet , toppadt och siktadt Rågmjöl från vattenqvarn samt goda Kokärter till billigaste priser . 	bib11653811_18960314_145317_41_0004_alto.xml-53-12
att proviantartiklarne $ som skola vara af fullgod beskaffenhet $ bestå af oskummad och skumma mjölk $ sammanmalet rågmjöl $ hvetemjöl $ korngryn $ hafregryn $ kokärt $ färsk nötkött samt mjuk och torr bröd $ äfvensom hveteskorpor $ att anbud skola lämna å mjölk per liter $ å mjöl $ gryn och kokärt per 100 kilogram samt å kött och bröd per kilogram $ att mjölk ooh bröd skola leverera dagligen $ kött för en eller flere dag efter tillsägelse $ samt en öfrig proviantartiklarne efter rekvisition $ att öfrig vilkor vid leveransan tillkännagifvas vid auktion $ samt att betalning erbålles hvar tredje månad $	53	0	kokrt	att proviantartiklarne , som skola vara af fullgod beskaffenhet , bestå af oskummad och skummad mjölk , sammanmalet rågmjöl , hvetemjöl , korngryn , hafregryn , kokärter , färskt nötkött samt mjukt och torrt bröd , äfvensom hveteskorpor ; att anbud skola lämnas å mjölk per liter , å mjöl , gryn och kokärter per 100 kilogram samt å kött och bröd per kilogram ; att mjölk ooh bröd skola levereras dagligen , kött för en eller flere dagar efter tillsägelse , samt de öfriga proviantartiklarne efter rekvisition ; att öfriga vilkor vid leveransan tillkännagifvas vid auktionen ; samt att betalning erbålles hvar tredje månad . 	bib11653790_19011129_145648_94_0001_alto.xml-20-53
vallgata sälja sammanmalet $ toppadt och siktadt rågmjöl från vattenqvarn samt god kokärt till billig pris $	12	0	kokrt	Vallgatan säljes sammanmalet , toppadt och siktadt Rågmjöl från vattenqvarn samt goda Kokärter till billigaste priser . 	bib11653811_18960513_145317_72_0004_alto.xml-51-12
att proviantartiklarne $ som skola vara af fullgod beskaffenhet $ bestå af oskummad och skumma mjölk $ sammanmalet rågmjöl $ hvetemjöl $ korngryn $ hafregryn $ kokärt $ färsk nötkött samt mjuk och torr bröd $ äfvensom hveteskorpor $ att anbud skola lämna å mjölk per liter $ å mjöl $ gryn och kokärt per 100 kilogram samt å kött och bröd per kilogram $ att mjölk och bröd skola leverera dagligen $ kött för en eller flere dag efter tillsägelse $ samt en öfrig proviantartiklarne efter rekvisition $ att öfrig vilkor vid leverans tillkännagifvas vid auktion $ samt att betalning erhålla hvar tredje månad $	26	0	kokrt	att proviantartiklarne , som skola vara af fullgod beskaffenhet , bestå af oskummad och skummad mjölk , sammanmalet rågmjöl , hvetemjöl , korngryn , hafregryn , kokärter , färskt nötkött samt mjukt och torrt bröd , äfvensom hveteskorpor ; att anbud skola lämnas å mjölk per liter , å mjöl , gryn och kokärter per 100 kilogram samt å kött och bröd per kilogram ; att mjölk och bröd skola levereras dagligen , kött för en eller flere dagar efter tillsägelse , samt de öfriga proviantartiklarne efter rekvisition ; att öfriga vilkor vid leveransen tillkännagifvas vid auktionen ; samt att betalning erhålles hvar tredje månad . 	bib11653790_19021202_145648_94_0001_alto.xml-25-26
vallgata säljessammanmalet $ toppadt och siktadt rågmjöl från vattenqvarn samt god kokärt till billig pris $	11	0	kokrt	Vallgatan säljessammanmalet , toppadt och siktadt Rågmjöl från vattenqvarn samt goda Kokärter till billigaste priser . 	bib11653811_18951214_145317_194_0004_alto.xml-53-11
