sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
the luckless orson gain nothing by his stratagem $ but a useless thump of his own hairy carcase against the tree $ the force of which bring him again upon the ground $	12	0	thump	The luckless Orson gained nothing by his stratagem , but a useless thump of his own hairy carcass against the tree , the force of which brought him again upon the ground .	fic_1849_7230.txt-2350-12
i have hope on till i be tired o n't $ and by spell i have dream in which it seem like my brother be alive and have come back $ and then my old gourd shell of a heart give a thunderin ' thump $ and fetch me up wide awake $	44	0	thump	I have hoped on till I am tired o n't , and by spells I have dreams in which it seems like my brother was alive and had come back , and then my old gourd shell of a heart gives a thunderin ' thump , and fetches me up wide awake .	fic_1854_2820.txt-3349-44
cowper sing with homely truth $ thump after thump resound the constant flail $ that seem to swing uncertain $ and yet fall full on the destin have ear $	6	0	thump	Cowper sings with homely truth -- Thump after thump resounds the constant flail , That seems to swing uncertain , and yet falls Full on the destin 'd ear .	fic_1845_7183.txt-1647-6
all this i43 do at the risk of get a brutual thump $ for aunt	11	0	thump	All this I43 did at the risk of getting a brutual thumping , for Aunt	nf_1855_748479.txt-489-11
at the second thump $ a hole be break in her side $ the sea pour through and over her $ and she begin go to piece $	3	0	thump	At the second thump , a hole was broken in her side , the seas poured through and over her , and she began going to pieces .	fic_1856_2655.txt-7488-3
and as she close the door the commodore turn to thurston $ and with another emphatic thump of his cane $ say $ $ well $ sir $	16	0	thump	And as she closed the door the commodore turned to Thurston , and with another emphatic thump of his cane , said : " Well , sir !	fic_1855_2301.txt-3680-16
those within see something pass over the opening $ and then hear a thump on the ground $ $	13	0	thump	Those within saw something pass over the opening , and then heard a thump on the ground . "	fic_1856_3677.txt-1083-13
there be a naturalness and a continuous flow of expression in mr.- hawthorne 's book $ that make them delightful to read $ especially in this our day $ when the fear of triteness drive some writer $ $ even those who might otherwise avoid that reproach $ $ to adopt an abrupt and dislocated style $ administer to our jaded attention frequent thump and twitch $ by mean of outlandish idiom and force inversion $ and now and then fling at our head an incomprehensible $ break-jaw word $ which uncivilized missile stun us to a full stop $ and an appeal to authority $	63	0	thump	There is a naturalness and a continuous flow of expression in Mr. Hawthorne 's books , that makes them delightful to read , especially in this our day , when the fear of triteness drives some writers , ( even those who might otherwise avoid that reproach , ) to adopt an abrupt and dislocated style , administering to our jaded attention frequent thumps and twitches , by means of outlandish idioms and forced inversions , and now and then flinging at our heads an incomprehensible , break-jaw word , which uncivilized missile stuns us to a full stop , and an appeal to authority .	mag_1850_555635.txt-181-63
a violent thump be hear at the door of willow croft $ which $ before it could be properly notice $ answer itself $ and burst into the house in the obese and burly shape of climper $ of climper 's $ or rather of merrywater $	2	0	thump	A VIOLENT thumping was heard at the door of Willow Croft , which , before it could be properly noticed , answered itself , and burst into the house in the obese and burly shape of Climper , of Climper 's , or rather of Merrywater .	fic_1850_7171.txt-7180-2
suppose yourself $ my friend $ in a room of tolerable size $ but in height hardly exceed eight foot $ the ceiling be pine board $ and the bare beam be see above $ seemingly ready to enforce on any high-headed wight the practical application of that pithy sentence $ $ stoop as you go through the world $ and you will miss many hard thump $ $ $ a stone fire-place $ rudely construct $ must occupy almost one whole side	66	0	thump	Suppose yourself , my friend , in a room of tolerable size , but in height hardly exceeding eight feet ; the ceiling is pine boards , and the bare beams are seen above , seemingly ready to enforce on any high-headed wight the practical application of that pithy sentence -- " Stoop as you go through the world , and you will miss many hard thumps ; " -- a stone fire-place , rudely constructed , must occupy almost one whole side	fic_1835_7073.txt-924-66
