sentence_lemma	sentence_token	target_index	original_word
d Garten Eden ich machen d $ Chef Romantisch $ pittoresk Reise durch CSSR. P14 $ 17. 30. 20 Uhr Naturschönheit d sächsisch Schweiz fr— St $ $	Der Garten Eden Ich mach das , Chef Romantisch , pittoreske Reise durch CSSR. P14 : 17. 30. 20 Uhr Naturschönheiten der Sächsischen Schweiz Fr— St « .	20	Naturschnheit
an Land und Leute oder gar an sozial Verhältnis zeigen d $ Kavalier $ keine Interesse $ und mit geschließen Auge gehen sie auch an d Landschaft und an d Naturschönheit vorüber $	An Land und Leuten oder gar an sozialen Verhältnissen zeigten die „ Kavaliere " kein Interesse , und mit geschlossenen Augen gingen sie auch an der Landschaft und an den Naturschönheiten vorüber .	30	Naturschnheit
auf unsere Fahrt in d Kas Chiirnsehe Schweiz und zu d Großs Tädten Szczecin und Gdansk lernen wir eine Teil unsere Nachbarland Ken nett $ in d Naturschönheit $ Bauwerk E von einzigartig Wert und Industrie werken zu bewundern sein $	Auf unserer Fahrt in die kas chiirnsehe Schweiz und zu den Großs tädten Szczecin und Gdansk lernten wir einen Teil unseres Nachbarlandes ken nett , in dem Naturschönheiten , Bauwerk e von einzigartigem Wert und Industrie werke zu bewundern sind .	27	Naturschnheit
im Chemiebezirk Halle konzentrieren d Bürger im mach- mit- Wettbewerb viel Aktivität auf d Pflege d Naturschönheit und auf d Landschaftsschutz $	Im Chemiebezirk Halle konzentrieren die Bürger im Mach- mit- Wettbewerb viele Aktivitäten auf die Pflege der Naturschönheiten und auf den Landschaftsschutz .	16	Naturschnheit
d wild Naturschönheit d Schlucht werden durch Menschhenen Eingriff veredeln $	Die wilde Naturschönheit der Schluchten wird durch menschhenen Eingriff veredelt .	2	Naturschnheit
d Naturschönheit und kulturhistorisch Se Henswürdigkeiten ziehen jährlich rund vier Million Ausflügler sowie 260000 Urlauber an	Die Naturschönheiten und kulturhistorischen Se henswürdigkeiten ziehen jährlich rund vier Millionen Ausflügler sowie 260000 Urlauber an	1	Naturschnheit
insgesamt erhalten 45 Gedenkstätte $ Altertümer und Ort von außergewöhnlich Naturschönheit in alle Welt diese Prädikat $ darunter d Königsgrab d antik Theben $ d Mount Everest und d grand canon in d Usa	Insgesamt erhielten 45 Gedenkstätten , Altertümer und Orte von außergewöhnlicher Naturschönheit in aller Welt dieses Prädikat . darunter die Königsgräber des antiken Theben , der Mount Everest und der Grand Canon in den USA	10	Naturschnheit
d Werktätige unsere Land haben umfangreich Möglichkeit $ sich mit d Naturschönheit und Aufbauerfolg d CSSR und d DDR bekannt zu machen und einander gut kennenlernen $	Die Werktätigen unserer Länder haben umfangreiche Möglichkeiten , sich mit den Naturschönheiten und Aufbauerfolgen der CSSR und der DDR bekannt zu machen und einander besser kennenzulernen .	11	Naturschnheit
wir erforschen alle Bezirk unsere Republik $ Industrie $ Landwirtschaft $ historisch und revolutionär Stätte $ kulturell und wissenschaftlich Einrichtung $ Volksbildung $ Gesundheitswesen $ Naturschönheit $ Erholungsstätte und sonstig Besonderheit $	Wir erforschen alle Bezirke unserer Republik : Industrie , Landwirtschaft , historische und revolutionäre Stätten , kulturelle und wissenschaftliche Einrichtungen , Volksbildung , Gesundheitswesen , Naturschönheiten , Erholungsstätten und sonstige Besonderheiten .	25	Naturschnheit
andere entdecken d Naturschönheit diese Landschaft von Lübben und Burg aus $	Andere entdecken die Naturschönheiten dieser Landschaft von Lübben und Burg aus .	3	Naturschnheit
bei frühlingshaft Wetter genießen sie auf Wanderung d Naturschönheit d thüringer Wald oder d Südenharz $	Bei frühlingshaftem Wetter genießen sie auf Wanderungen die Naturschönheiten des Thüringer Waldes oder des Südharzes .	8	Naturschnheit
und so manche entdecken nur wenige Wegstunde von d eigen vier Wand entfernt Naturschönheit und interessant Baudenkmal $	Und so mancher entdeckt nur wenige Wegstunden von den eigenen vier Wänden entfernt Naturschönheiten und interessante Baudenkmäler .	13	Naturschnheit
groß Interesse finden auch mehrere Ausstellung $ zu sehen sein u. a. Großfoto $ die mit d Entwicklung d befreundet Nachbarland und mit seine Naturschönheit bekannt machen $ Modell von Lokomotive von gestern und heute $	Großes Interesse fanden auch mehrere Ausstellungen ; Zu sehen sind u. a. Großfotos , die mit der Entwicklung des befreundeten Nachbarlandes und mit seinen Naturschönheiten bekannt machen , Modelle von Lokomotiven von gestern und heute .	24	Naturschnheit
d Naturschönheit werden nicht beeinträchtigen $ sondern vielmehr pflegen und für d Erholung d Werktätige nutzbar machen $	Die Naturschönheiten werden nicht beeinträchtigt , sondern vielmehr gepflegt und für die Erholung der Werktätigen nutzbar gemacht .	1	Naturschnheit
wer unsere Pavillon d Weidendammbrücke betreten $ können sozusagen in eine Buch über d Leben $ d Naturschönheit und Kunstschatz d CSSR lesen $	Wer unseren Pavillon der Weidendammbrücke betritt , kann sozusagen in einem Buch über das Leben , die Naturschönheiten und Kunstschätze der CSSR lesen .	17	Naturschnheit
doch viel Zeit um d Naturschönheit zu bewundern $ lassen Trainer Karoly Soos seine Schützling nicht $	Doch viel Zeit um die Naturschönheiten zu bewundern , ließ Trainer Karoly Soos seinen Schützlingen nicht .	5	Naturschnheit
unter ihr scheinen Hand entstehen eine phantasievoll Wegweiser $ hier eine Ausschnitt $ $ die nicht nur über Ortschaft $ Straße und Gewässer Auskunft geben $ sondern auch auf Naturschönheit d Umgebung aufmerksam machen Foto :nd/wot	Unter ihren geschienen Händen entstand ein phantasievoller Wegweiser ( hier ein Ausschnitt ) , der nicht nur über Ortschaften , Straßen und Gewässer Auskunft gibt , sondern auch auf Naturschönheiten der Umgebung aufmerksam macht Foto :ND/Wot	29	Naturschnheit
mit Saisonbeginn werden d ander fünf Schiff d weiß Flotte auslaufen und Urlauber d Naturschönheit d Müritz-Seengebiet Naherbringen $	Mit Saisonbeginn werden die anderen fünf Schiffe der Weißen Flotte auslaufen und Urlaubern die Naturschönheiten des Müritz-Seengebietes naherbringen .	14	Naturschnheit
nur dürfen man nicht übersehen $ daß Goethe eine episch Dichtung planen $ die eigentlich Gegenstand du erhaben Naturschönheit d schweizer Landschaft sein $	Nur darf man nicht übersehen , daß Goethe eine epische Dichtung plante , deren eigentlicher Gegenstand dir erhabene Naturschönheit der Schweizer Landschaft war .	18	Naturschnheit
um d gewaltig Touristenstrom $ die alljährlich nach Zakopane und in d umliegend Tatra-Ort kommen $ zu bewältigen $ fassen Polen Ministerrat Ende 1972 eine Beschluß über d weit Entwicklung d touristisch Basis und Maßnahme zum Schutz d natürlich Umwelt $ d Naturschönheit d Tatra-Gebirge für d Jahr bis 1980 $	Um die gewaltigen Touristenströme , die alljährlich nach Zakopane und in die umliegenden Tatra-Orte kommen , zu bewältigen , faßte Polens Ministerrat Ende 1972 einen Beschluß über die weitere Entwicklung der touristischen Basis und Maßnahmen zum Schutz der natürlichen Umwelt , der Naturschönheiten des Tatra-Gebirges für die Jahre bis 1980 .	42	Naturschnheit
fahren $ weil es so viel malerisch und pittoresk zu schauen geben eine mit Naturschönheit gesegnet Land $	fahren , weil es so viel Malerisches und Pittoreskes zu schauen gibt ein mit Naturschönheiten gesegnetes Land .	14	Naturschnheit
daß d an Naturschönheit reichen Slowakei zugleich eine bedeutend Industriegebiet d CSSR sein $ werden in eine Ausstellung im Kulturzentrum d befreundet Nachbarland in d Friedrichstraße anschaulich demonstrieren $	Daß die an Naturschönheiten reiche Slowakei zugleich ein bedeutendes Industriegebiet der CSSR ist , wird in einer Ausstellung im Kulturzentrum des befreundeten Nachbarlandes in der Friedrichstraße anschaulich demonstriert .	3	Naturschnheit
d Naturschönheit d freundlich Vorort und d Berlinern $ $ die sie sich nicht entgehen lassen wollen $ verdanken Woltersdori d Bestehen seine Straßenbahn $	Den Naturschönheiten des freundlichen Vorortes und den Berlinern , - die sie sich nicht entgehen lassen wollten , verdankt Woltersdori das Bestehen seiner Straßenbahn .	1	Naturschnheit
Dresden $ Prag und Sofia Werk d bildend Kunst über Cien Ahtuü d Werktätige in diese Teil Bulgarien sowie über Naturschönheit von Wyschez schallen $	Dresden , Prag und Sofia Werke der bildenden Kunst über cien AHtuü der Werktätigen in diesem Teil Bulgariens sowie über Naturschönheiten von Wyschez schallen .	20	Naturschnheit
und schön Familien-Freizeiterlebnis Fii' Christel Liebram sein Wanderung per pedes oder mit d Rad gemeinsam mit d Mann und d drei Kind durch d Naturschönheit im Norden d Hauptstadt $	Und schönstes Familien-Freizeiterlebnis fii' Christel Liebram sind Wanderungen per pedes oder mit dem Rad gemeinsam mit dem Mann und den drei Kindern durch die Naturschönheiten im Norden der Hauptstadt ,	24	Naturschnheit
Scltene Pflanze sollen züchten werden * geologisch Besonderheit untersuchen und Naturschönheit zugänglich $ machen und beschreiben werden $	Scltene Pflanzen sollen gezüchtet werden * geologische Besonderheiten untersucht und Naturschönheiten zugänglich ¦ gemacht und beschrieben werden .	10	Naturschnheit
d Schüler lernen Kulturschatz und Naturschönheit d Heimat nah kennen $	Die Schüler lernen Kulturschätze und Naturschönheiten der Heimat näher kennen .	5	Naturschnheit
und eine $ romantisch-pittoresk Reise durch d Naturschönheit d sächsisch Schweiz $ $ Werner Kohlert $ laden kurzweilig zu empfindungsvoll Zuschauen ein $ als d lang Titel vermuten lassen $	Und eine „ Romantisch-pittoreske Reise durch die Naturschönheiten der Sächsischen Schweiz " ( Werner Kohlert ) lädt kurzweiliger zu empfindungsvollem Zuschauen ein , als der lange Titel vermuten läßt .	7	Naturschnheit
zeigen und besprechen werden mit Hilfe von Film und Diapositiv verschieden Sowjetrepublik $ Industriezentrum d UdSSR $ d Heldenstadt an d Wolga und Naturschönheit d Land $	Gezeigt und besprochen werden mit Hilfe von Film und Diapositiv verschiedene Sowjetrepubliken , Industriezentren der UdSSR , die Heldenstädte an der Wolga und Naturschönheiten des Landes .	23	Naturschnheit
eine Floofahrt auf d Dunaiec $ vorbei an d zerklüftet Berg $ romantisch Taler und Schlucht d hoch Tatra $ zählen zu d schön Ferienfreude d Volksrepublik zahlreich polnisch und ausländisch Tourist freuen sich in diese Sommer an d einzigartig Naturschönheit diese Gegend au{ nohnun $ jllui $ i $	Eine FloOfahrt auf dem Dunaiec , vorbei an den zerklüfteten Bergen , romantischen Talern und Schluchten der Hohen Tatra , zählt zu den schönsten Ferienfreuden der Volksrepublik Zahlreiche polnische und ausländische Touristen freuten sich in diesem Sommer an den einzigartigen Naturschönheiten dieser Gegend Au{ nohnun : Jllui ( i )	40	Naturschnheit
Nepal $ d Königreich am Fuß d Himalaya $ beeindruckt jede Fremde durch seine Naturschönheit $	Nepal , das Königreich am Fuße des Himalaya , beeindruckt jeden Fremden durch seine Naturschönheiten .	14	Naturschnheit
000 Einwohner d Chemiebezirk leben im Landschaftschutzgebiet Saaletal $ die mit reizvoll Naturschönheit $ zahlreich Burg $ Schloß und Museum eine beliebt Erholungsgebiet sein $	000 Einwohner des Chemiebezirkes leben im Landschaftschutzgebiet Saaletal , das mit reizvollen Naturschönheiten , zahlreichen Burgen , Schlössern und Museen ein beliebtes Erholungsgebiet ist .	12	Naturschnheit
in d Bergtal Bananenplantage und Palmenhain $ unvergeßlich Naturschönheit $	In den Bergtälern Bananenplantagen und Palmenhaine , unvergeßliche Naturschönheiten .	8	Naturschnheit
