sentence_lemma	sentence_token	target_index	original_word
eine Band Gedicht $ die für d damalig Stimmung d jung Poet bezeichnend genug $ Eintagsfliege $ betiteln sein $ mögen wohl d meiste Schuld daran tragen haben $	Ein Band Gedichte , der für die damalige Stimmung des jungen Poeten bezeichnend genug „ Eintagsfliegen “ betitelt war , mochte wohl die meiste Schuld daran getragen haben .	15	Eintagsfliege
Scherzbild und Rebus kommen auch in Deutschland in d Mode $ und diese Eintagsfliege finden überall unmäßig Beachtung $ weil eine ernsthaft öffentlich Leben sich noch kaum entwickeln haben $	Scherzbilder und Rebus kamen auch in Deutschland in die Mode , und diese Eintagsfliegen fanden überall unmäßige Beachtung , weil ein ernsthaftes öffentliches Leben sich noch kaum entwickelt hatte .	13	Eintagsfliege
als psychologisch bedeutsam dürfen wir jedenfalls auch d Umstand gelten $ dass d jung Lyriker d weitaus groß Mehrzahl diese $ Eintagsfliege $ $ die allzugroß Originalität allerdings nicht nachrühmen werden können $ in d Seziersaal d Anatomie verfassen haben $	Als psychologisch bedeutsam darf uns jedenfalls auch der Umstand gelten , dass der junge Lyriker die weitaus grösste Mehrzahl dieser „ Eintagsfliegen “ , denen allzugrosse Originalität allerdings nicht nachgerühmt werden kann , in den Sezirsälen der Anatomie verfasst hatte .	21	Eintagsfliege
erst d Erfahrung $ dass seine $ Eintagsfliege $ d in Wirklichkeit sein sein $ wofür er sie prophetisch Gemüt ausgeben haben $ nämlich Eintagsfliege $ die kläglich Existenz d Lumpenstamp bald eine jäh Ende bereiten haben $ mögen d Ausschlag geben haben $	Erst die Erfahrung , dass seine „ Eintagsfliegen “ das in Wirklichkeit gewesen waren , wofür er sie prophetischen Gemüths ausgegeben hatte , nämlich Eintagsfliegen , deren kläglicher Existenz die Lumpenstampe bald ein jähes Ende bereitet hatte , mochte den Ausschlag gegeben haben .	7	Eintagsfliege
sein d eine Mann d Jahrhundert $ die mit solch Herz eine Eintagsfliege d Welt umfassen $	Ist der ein Mann des Jahrhunderts , der mit solchem Herzen einer Eintagsfliege die Welt umfaßt ?	12	Eintagsfliege
d gottbegnadet Partei halten heute unter d Anführung d Königl. schwarz-weiß Landrat Schröder $ eine Eintagsfliege d Brandenburger Domklub $ eine amtlich Beratung in Lechenich $ worin vielleicht einige Herr Pastores Gelegenheit geben werden $ sich in herzbrechend Lamento über d Verderbtheit d verblendet Volk abquälen und d alt Geschichte vom kreisend Berg und d Maus aufführen $ alle für Gott $ König und Junkerschaft $	Die gottbegnadete Partei hält heute unter der Anführung des königl. schwarz-weißen Landraths Schroeder ( einer Eintagsfliege des Brandenburger Domklubs ) eine amtliche Berathung in Lechenich — worin vielleicht einigen Herren Pastores Gelegenheit gegeben wird , sich in herzbrechendem Lamento über die Verderbtheit des verblendeten Volks abzuquälen und die alte Geschichte vom kreisenden Berg und der Maus aufzuführen ; Alles für Gott , König und Junkerschaft !	15	Eintagsfliege
wenn d Schülerin d Haus nach ihr Heimkehr sich aus d Pflanzgarten d Haus in d gewohnt Umgebung versetzen sehen $ so fallen alle diese schön Eintagsfliege hin und allmählich auch d Erinnerung an sie $	Wenn die Schülerinnen des Hauses nach ihrer Heimkehr sich aus dem Pflanzgarten des Hauses in die gewohnten Umgebungen versetzt sehen , so fallen alle diese schönen Eintagsfliegen hin und allmählich auch die Erinnerung an sie .	26	Eintagsfliege
sie haben d unsichtbar Welt $ die d jedesmalig ethnisch Horizont umziehen $ zu rekonstruieren $ und da bei d Naturstamm nicht auf d Rückbleibe dauernd Monument $ wie bei d günstig ausgestattet Kulturvolk rechnen werden können $ da es sich in d Mehrzahl d Fall nur um Eintagsfliege handeln $ die haschen werden müssen $ wie sie vorüberhuschen $ sein keine Zeit zu verlieren $	Sie hat die unsichtbare Welt , die den jedesmalig ethnischen Horizont umzieht , zu reconstruiren , und da bei den Naturstämmen nicht auf das Rückbleiben dauernder Monumente , wie bei den günstiger ausgestatteten Culturvölkern gerechnet werden kann , da es sich in der Mehrzahl der Fälle nur um Eintagsfliegen handelt , die gehascht werden müssen , wie sie vorüberhuschen , ist keine Zeit zu verlieren .	48	Eintagsfliege
$ hier einige Titel von Blatt $ die während d glücklich Wahlperiode von 1849 als Eintagsfliege in Paris auf d Boulevard ausrufen werden und meist erklärend Canard sein $	— Hier einige Titel von Blättern , die während der glücklichen Wahlperiode von 1849 als Eintagsfliegen in Paris auf den Boulevards ausgerufen wurden und meist erklärende Canards sind :	15	Eintagsfliege
Platon haben d ganz Schar d tragisch Eintagsfliege verachten $	Platon hat die ganze schar der tragischen eintagsfliegen verachtet :	7	Eintagsfliege
erst d Erfahrung $ dass seine $ Eintagsfliege $ d in Wirklichkeit sein sein $ wofür er sie prophetisch Gemüt ausgeben haben $ nämlich Eintagsfliege $ die kläglich Existenz d Lumpenstamp bald eine jäh Ende bereiten haben $ mögen d Ausschlag geben haben $	Erst die Erfahrung , dass seine „ Eintagsfliegen “ das in Wirklichkeit gewesen waren , wofür er sie prophetischen Gemüths ausgegeben hatte , nämlich Eintagsfliegen , deren kläglicher Existenz die Lumpenstampe bald ein jähes Ende bereitet hatte , mochte den Ausschlag gegeben haben .	7	Eintagsfliege
d meiste scheinen es aber zu fühlen $ daß sie gleich Eintagsfliege nur bis zum Sonnenuntergang leben $ darum stechen und beissen sie sich lustig herum $ so lange sie können $	Die meisten scheinen es aber zu fühlen , daß sie gleich Eintagsfliegen nur bis zum Sonnenuntergang leben , darum stechen und beißen sie sich lustig herum , so lange sie können .	11	Eintagsfliege
3. Larve und 4. 5. Puppe d groß Libelle $ aeschna grandis $ d Larve 5 haben ihr Fangmaske nach d Larve eine Eintagsfliege ausstrecken $	3. Larve und 4. 5. Puppen der großen Libelle , Aeschna grandis ; die Larve 5 hat ihre Fangmaske nach der Larve einer Eintagsfliege ausgestreckt .	23	Eintagsfliege
