sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
elijah i will build a tree for my crow $	5	0	tree	ELIJAH I will build a tree for my crow .	fic_1988_13311.txt-1418-5
the brittle twig of a large $ bare tree scratch at the sky $	8	1	tree	The brittle twigs of a large , bare tree scratched at the sky .	fic_1998_44220.txt-236-8
koshchei enter carry a small tree with golden fruit $	5	1	tree	KOSHCHEI enters carrying a small tree with golden fruit .	fic_1990_13677.txt-691-5
three day later $ when the back of his leg be aflame with the rash and massive blister $ he realize that once upon a time $ poison ivy vine have thrive on the tree 's bark $ leave behind-you guess it-lots of urushiol $	34	1	tree	Three days later , when the backs of his legs were aflame with the rash and massive blisters , he realized that once upon a time , poison ivy vines had thrived on the tree 's bark , leaving behind-you guessed it-lots of urushiol .	mag_1998_400662.txt-36-34
so $ on one bank of the river grow the brier rose $ a fragile thing $ sway on a slender stalk and look at its pretty reflection in the water $ and on the other a sturdy pine tree $ well root against wind and storm $	39	1	tree	So , on one bank of the river grew the brier rose , a fragile thing , swaying on a slender stalk and looking at its pretty reflection in the water ; and on the other a sturdy pine tree , well rooted against wind and storm .	fic_1966_1008.txt-127-39
live room $ caroline 's house - $ same time $ the light of a silver christmas tree - michael be sound asleep in front of the tv $ thumb in his mouth $ on the couch in his pajamas $ ski hat and coat $	17	1	tree	LIVING ROOM , CAROLINE 'S HOUSE - ( SAME TIME ) The light of a silver Christmas tree - Michael is sound asleep in front of the TV , thumb in his mouth , on the couch in his pajamas , ski hat and coat .	fic_1993_16196.txt-1845-17
from the silhouette of the tree line the lake-like expanse of the river $ jason could gauge their speed $	5	1	tree	From the silhouettes of the trees lining the lake-like expanse of the river , Jason could gauge their speed .	fic_1988_10770.txt-4481-5
some of the sequoia clinton preserve in the 328,000-acre monument be only the third generation since the last ice age $ part of a family of tree that have endure fire $ earthquake $ storm and every change of political leadership since human history begin $ $	26	1	tree	Some of the sequoias Clinton preserved in the 328,000-acre monument are only the third generation since the last Ice Age , part of a family of trees that has endured fires , earthquakes , storms and every change of political leadership since human history began . "	mag_2000_369093.txt-6-26
the funnel-shaped fruit-bodies be a pale to golden yellow color and always come up from the ground $ never from tree stump or root $	20	1	tree	The funnel-shaped fruit-bodies are a pale to golden yellow color and always come up from the ground , never from tree stumps or roots .	nf_1998_774048.txt-896-20
treehouse - same time we watch over kenny 's shoulder as leonard fall from the treehouse $ smack his head on the tree trunk and come to a crash upon some rock $	22	1	tree	TREEHOUSE - SAME TIME We watch over Kenny 's shoulder as Leonard falls from the treehouse , smacks his head on the tree trunk and comes to a crash upon some rocks .	fic_2005_780519.txt-398-22
