sentence_lemma	sentence_token	target_index	original_word
Tier $ die in klimatisch unterschiedlich Region zu Haus sein $ aber auch in verschieden Medien wie Wasser oder Luft $ die ihr Behausung vorwiegend unter d Erde haben oder auf Baum $ die sich d Mensch anschließen können oder stets auf Distanz zu er bleiben $ fingergroß Lebewesen und dickhäutig Riese $ aus sie rekrutieren sich d $ Patientengut $ d im Zoo tatigen Veterinär $	Tiere , die in klimatisch unterschiedlichen Regionen zu Hause sind , aber auch in verschiedenen Medien wie Wasser oder Luft , die ihre Behausungen vorwiegend unter der Erde haben oder auf Bäumen , die sich dem Menschen anschließen können oder stets auf Distanz zu ihm bleiben , fingergroße Lebewesen und dickhäutige Riesen - aus ihnen rekrutiert sich das „ Patientengut " des im Zoo tatigen Veterinärs .	0	Tier
bisher haben man auf Grund von gefinden bruchstückhaft Überrest annehmen $ daß d erst Saugetier nachtaktiv Tier sein $ die sich tagsüber vor d groß Saurier schützen müssen $	Bisher hatte man auf Grund von gefundenen bruchstückhaften Überresten angenommen , daß die ersten Saugetiere nachtaktive Tiere waren , die sich tagsüber vor den großen Sauriern schützen mußten .	16	Tier
40000 gefiedert Tier sein es 1964 $ mit 50000 rechnen man in diese Jahr $	40000 gefiederte Tiere waren es 1964 , mit 50000 rechnet man in diesem Jahr .	2	Tier
d abendfüllend polnisch Zeichentrickfilm $ d Abenteuer d blau Ritter $ erzählen von eine Don Quichote und eine Sancho Pansa im Reich d Elfe und Tier und setzen eine Serie fort $ die sich mit Lolek und Bolek weltweit eine Namen machen haben $	Der abendfüllende polnische Zeichentrickfilm „ Die Abenteuer des blauen Ritters " erzählt von einem Don Quichote und einem Sancho Pansa im Reich der Elfen und Tiere und setzt eine Serie fort , die sich mit Lolek und Bolek weltweit einen Namen gemacht hat .	25	Tier
die d Beweis dafür $ daß d früh vielgejagt Tier in Mecklenburg wieder heimisch werden sein $	Das der Beweis dafür , daß die früher vielgejagten Tiere in Mecklenburg wieder heimisch geworden sind .	9	Tier
einen Schweinemaststraße für 640 Tier bauen Student d Fachrichtung Industrieökonomik d Humboldt-Universität in d LPG $ neu Heimat $ $ Neubarnim $ Kreis Seelow $ in sechseinhalb Woche Arbeit $	EINE SCHWEINEMASTSTRASSE für 640 Tiere bauten Studenten der Fachrichtung Industrieökonomik der Humboldt-Universität in der LPG „ Neue Heimat " , Neubarnim , Kreis Seelow , in sechseinhalb Wochen Arbeit .	4	Tier
$ hü $ $ und hauen umschichtig auf d Tier ein $	„ Hü ! " und hieb umschichtig auf die Tiere ein .	9	Tier
so können d Arzt wirksam Einfluß z. B. darauf nehmen $ daß d Tier sachgemäß halten und füttern werden $	So können die Ärzte wirksameren Einfluß z. B. darauf nehmen , daß die Tiere sachgemäß gehalten und gefüttert werden .	13	Tier
3. umfangreich Versuch am Tier und weit Erfahrung an tumorkrank Mensch müssen darüber entscheiden $ ob mit d biologisch Krebstherapie eine neu Behandlungsmethode krebskrank Mensch entwickeln werden können $	3. Umfangreiche Versuche am Tier und weitere Erfahrungen an tumorkranken Menschen müssen darüber entscheiden , ob mit der biologischen Krebstherapie eine neue Behandlungsmethode krebskranker Menschen entwickelt werden kann .	4	Tier
eben noch gewaltig Getöse $ plötzlich ungeheuer Stille nur Krähenschwarm stoßen auf verwehen Hügel herab $ es sein nicht erkennbar $ ob dort zugeschneit Soldatenleichcn oder krepiert Tier liegen d Rollbahn liegen leer $ es kommen keine Fahrzeug mehr vorüber $ eine paar Verwundete $ mit ihr Zeltbahn jämmerlich umhüllen $ kriechen über d Feld $ stürzen und bleiben liegen $	Eben noch gewaltiges Getöse , plötzlich ungeheure Stille Nur Krähenschwärme stießen auf verwehte Hügel herab , es war nicht erkennbar , ob dort zugeschneite Soldatenleichcn oder krepierte Tiere lagen Die Rollbahn lag leer , es kamen keine Fahrzeuge mehr vorüber , ein paar Verwundete , mit ihren Zeltbahnen jämmerlich umhüllt , krochen über das Feld , stürzten und blieben liegen .	27	Tier
einmal sollen damit d Bestand diese Tier erhöhen und $ zum ander manche ihr Geheimnis lüften werden $	Einmal soll damit der Bestand dieser Tiere erhöht und ¦ zum anderen manches ihrer Geheimnisse gelüftet werden .	6	Tier
berliner Bärenlotterie und Tierparklotterie $ Sammelaktion von berliner Schüler und zahlreich Spende von Betrieb sorgen für d nötig Geld $ um d erst Tier anschaffen $	Berliner Bärenlotterie und Tierparklotterie , Sammelaktionen von Berliner Schülern und zahlreiche Spenden von Betrieben sorgten für das nötige Geld , um die ersten Tiere anzuschaffen .	23	Tier
an eine ander Fleck treffen man auf d Tier d südamerikanisch Pampa wie Guanaco-Lamas $ Nandu-Strauß $ Kondor $ anderswo wieder auf Vertreter d asiatisch Tierwelt $ auf die sich d prager Zoo immer mehr spezialisieren wollen $	An einem anderen Fleck trifft man auf die Tiere der südamerikanischen Pampas wie Guanaco-Lamas , Nandu-Strauße , Kondore , anderswo wieder auf Vertreter der asiatischen Tierwelt , auf die sich der Prager Zoo immer mehr spezialisieren will .	8	Tier
Irntfnaqep 16. Juni 1. Programm 9.25 aktuell Kamera 10.00 Gulliver im Land d Riese elektronisch Märchen d ungarisch Fernsehen $ frei nach Jonathan Swift 10.50 wo d Abenteuer rufen Trassenreport 11.30 Sport vom Vorabend 12.15 du und dein Haustier 12.40 Nachricht 12.45 english for you $ kl. 8 $ 53. Sendung 16.05 Treffpunkt Kino 16.50 Medizin nach Note 17.00 Nachricht 17.10 wissen wie 17.15 Kinderfernsehen $ ab 9 Jahr $ mobil Pioniermagazin 18.00 klein Tier ganz groß englisch Naturfilmserie $ Schutztracht d Falter 18.25 in Sache Ordnung und Sicherheit 18.30 dabei Programmtip 19.00 alle $ was Recht sein zu Rechtsfrage d Alltag mit Doktor Friedrich Wolff 20.00 Willi Schwabe Rumpelkammer 21.00 Facette eine Diamant sowjetisch Dokumentarfilm über d kasachisch sozialistisch Sowjetrepublik 22.00 Sport am Abend Leichtathletik Schwimmen 22.50 aktuell Kamera 2. Programm 9.30 Geographie $ 6 $ 10.30 Heimatkunde $ 3 $ 11.50 Heimatkunde $ 4 $ 17.00 Stern über d Manöverfeld Fernsehfilm $ m. U. 19.00 Glanz und Elend d Kurtisane $ 1 $	IrnTfnaqEP 16. Juni 1. Programm 9.25 Aktuelle Kamera 10.00 Gulliver im Land der Riesen Elektronisches Märchen des Ungarischen Fernsehens , frei nach Jonathan Swift 10.50 Wo das Abenteuer ruft Trassenreport 11.30 Sport vom Vorabend 12.15 Du und dein Haustier 12.40 Nachrichten 12.45 English for you ( Kl. 8 ) 53. Sendung 16.05 Treffpunkt Kino 16.50 Medizin nach Noten 17.00 Nachrichten 17.10 Gewußt wie 17.15 Kinderfernsehen ( ab 9 Jahre ) mobil Pioniermagazin 18.00 Kleine Tiere ganz groß Englische Naturfilmserie „ Schutztrachten der Falter 18.25 In Sachen Ordnung und Sicherheit 18.30 Dabei Programmtips 19.00 Alles , was Recht ist Zu Rechtsfragen des Alltags Mit Dr. Friedrich Wolff 20.00 Willi Schwabes Rumpelkammer 21.00 Facetten eines Diamanten Sowjetischer Dokumentarfilm über die Kasachische Sozialistische Sowjetrepublik 22.00 Sport am Abend Leichtathletik Schwimmen 22.50 Aktuelle Kamera 2. Programm 9.30 Geographie ( 6 ) 10.30 Heimatkunde ( 3 ) 11.50 Heimatkunde ( 4 ) 17.00 Sterne über dem Manöverfeld Fernsehfilm ( m. U. 19.00 Glanz und Elend der Kurtisanen ( 1 )	74	Tier
