sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
acquirement thus make will feed itself $ circle will be add to circle by the strengthen impulse of gratify curiosity $ the conformity to nature will make the acquisition more substantial and the	12	0	circle	Acquirement thus made will feed itself : circle will be added to circle by the strengthening impulse of gratified curiosity : the conformity to nature will make the acquisition more substantial and the	fic_1833_7028.txt-1089-12
as the river $ far flow $ in the high hill have birth $ as the banyan $ broad growing $ oftenest bow its head to earth $ $ so the noble mind press onward $ channel far of good to trace $ so the large heart bend downward $ circle all the human race $ thus $ by iron 's aid $ pursue through the earth their plan of love $ man our father 's will be do $ here $ as angel do above $	50	1	circle	As the rivers , farthest flowing , In the highest hills have birth ; As the banyan , broadest growing , Oftenest bows its head to earth , -- So the noblest minds press onward , Channels far of good to trace ; So the largest hearts bend downward , Circling all the human race ; Thus , by Iron 's aid , pursuing Through the earth their plans of love , Men our Father 's will are doing , Here , as angels do above !	fic_1848_7992.txt-315-50
they shall not say that when the fire circle the hunted herd $ his sire weep like the roebuck when he fly $ end note $ 1kb and die as warrior never die $	8	1	circle	They shall not say that when the fire Circled the hunted herd , his sire Wept like the roebuck when he flies , End note : 1Kb And died as warrior never dies .	fic_1835_8114.txt-434-8
circle mountain $ purple beaming $ lure his soul to constant dream $ $ ever dream $ ever scheme $ $ on and upward be his gaze $	0	1	circle	Circling mountains , purple beaming , Lured his soul to constant dreaming , -- Ever dreaming , ever scheming , -- On and upward was his gaze .	fic_1854_7839.txt-1328-0
a woman in distress affect most mind more strongly than a suffering angel $ and this scene of purely human character serve as a pretty touchstone $ to try the sympathy of the many who circle the gallery $	35	1	circle	A woman in distress affects most minds more strongly than a suffering angel ; and this scene of purely human character served as a pretty touchstone , to try the sympathies of the many who circled the gallery .	mag_1840_554815.txt-255-35
the language $ $ as he say of richter $ $ groan with indescribable metaphor and allusion to all thing $ human and divine $ flow onward $ not like a river $ but like an inundation $ circle in complex eddy $ chafe and gurgling $ now this way $ now that $ $ but in carlyle $ $ the proper current $ never $ sink out of sight amid the boundless uproar $ $	38	1	circle	The language , " as he says of Richter , " groans with indescribable metaphors and allusions to all things , human and divine , flowing onward , not like a river , but like an inundation ; circling in complex eddies , chafing and gurgling , now this way , now that ; " but in Carlyle , " the proper current " never " sinks out of sight amid the boundless uproar . "	fic_1847_9120.txt-171-38
whose door we now for social worship first unfold $ to thee the suppliant throng shall bow $ while circle year on year be roll $	19	1	circle	whose doors we now For social worship first unfold , To thee the suppliant throng shall bow , While circling years on years are rolled .	fic_1831_8376.txt-519-19
to notice how the world have be circle $ by the government of the world $ to watch the transit of venus $ though the knowledge thus acquire could not affect the legislation of any congress $ in any country $	7	1	circle	to notice how the world has been circled , by the governments of the world , to watch the transit of Venus , though the knowledge thus acquired could not affect the legislation of any congress , in any country .	mag_1825_553593.txt-292-7
they be not aware that the spirit of a nightingale be circle round them and would pass into the soul of their infant son $ whom they name felix mendelssohn $	11	1	circle	They were not aware that the spirit of a nightingale was circling round them and would pass into the soul of their infant son , whom they named Felix Mendelssohn .	fic_1846_7036.txt-2560-11
warrior portray $ in tale of other clime $ numidia $ arcady or syrian realm $ the splendor of the spoil $ the gem and gold $ the perfume $ luxury and regal robe $ fair slave and diamond $ waft from the shore of the orient $ in homage to the diadem that circle nation $	54	1	circle	Warriors portrayed , in tales of other climes , Numidia , Arcady or Syrian realms , The splendor of the spoil , the gems and gold , The perfumes , luxuries and regal robes , Fair slaves and diamonds , wafted from the shores Of the Orient , in homage to the diadem That circled nations .	fic_1832_7054.txt-378-54
$ then we have circle not the round reef wholly $ $ say babbalanja $ $ but make of it a segment $	4	1	circle	" Then we have circled not the round reef wholly , " said Babbalanja , " but made of it a segment .	fic_1849_7216.txt-6245-4
you may see them stand in the street $ circle round wayaniko $ the light above their head $ the dark town all around $ $	9	1	circle	You may see them stand in the street , circling round Wayaniko , the lights above their head , the dark town all around . "	fic_1847_7194.txt-1454-9
the strong trade wind $ meet in its course by these elevation $ circle and eddy about their summit $ and be sometimes drive down the steep ravine and sweep across the	13	1	circle	The strong trade wind , met in its course by these elevations , circled and eddied about their summits , and was sometimes driven down the steep ravine and swept across the	fic_1846_544.txt-2230-13
sometimes one would circle round and round me in the wood a few foot distant as if tether by a string $ when probably i be near its egg $	3	1	circle	Sometimes one would circle round and round me in the woods a few feet distant as if tethered by a string , when probably I was near its eggs .	fic_1854_70.txt-1558-3
