sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
en gift $ som intränga i kropp $ kunna $ $ ofta oskadliggöra antingen genom matsmältningsorganerna eller ock genom kemisk process $ som försiggå inom kropp väfnad $ eller afsöndra genom viss organ $ $ $ njure $	19	0	kemisk	Ett gift , som inträngt i kroppen , kan t. ex. ofta oskadliggöras antingen genom matsmältningsorganerna eller ock genom kemiska processer , som försiggå inom kroppens väfnader , eller afsöndras genom vissa organer , t. ex. njurarna . 	bib11653811_19010816_145317_125_0002_alto.xml-14-19
af undersökning skola vara till förfång för de $ som använda en kemisk sta tionerna $ ty station understödja icke blott af stat $ utan äfven af hushållningssällskap och den lindring i analys $ som en sällskap medlem nu ha vid en viss station skola då gå förlora $	12	0	kemisk	af undersökningarna skulle vara till förfång för dem , som använde de kemiska sta tionerna , ty stationerna understöddes icke blott af staten , utan äfven af hushållningssällskapen och den lindring i analysafgifter , som ett sällskaps medlemmar nu hade vid en viss station skulle då gå förlorad . 	bib19225758_18950221_144022_44_0004_alto.xml-66-12
sjukdom $ lungblödning $ atled härstädes vid $ i $ afton assistent vid kemisk station härstädes $ filosofie kandidat sam $	13	0	kemisk	sjukdom ( lungblödning ) atled härstädes vid VaO-tiden i går afton assistenten vid kemiska stationen härstädes , filosofie kandidaten Sam . 	bib15873936_18961126_147385_138_0002_alto.xml-83-13
gifva $ att den last solroskakor per ångare $ carla $ $ kilo $ som i denna dag lossa hos jag $ enligt härvarande kemisk station analys $ hålla $ protein 38 $ o fett $	24	0	kemisk	gifva , att den last solroskakor per ångaren » Carla » 187,000 kilo , som i dessa dagar lossats hos mig , enligt härvarande kemiska stations analys , håller : Protein 38 , o Fett . 	bib11653811_19001222_145317_199_0001_alto.xml-29-24
kemisk undersökning $ som komma att anställa å en insamla profva $ skola af $ reqvirent ersätta efter taxa $	0	0	kemisk	Kemiska undersökningar , som komma att anställas å de insamlade profven , skola af resp. reqvirenter ersättas efter taxa . 	bib15761570_18950601_146176_91_0001_alto.xml-42-0
af bolag $ gyttja vara $ som bekant $ företa analys $ hvarom professor carl th $ mörner i u psala säga $ efter angifvande af en noggrann beskrifning örn gyttja sammansättnin $ med stöd af denna faktum $ generel kemisk sammansättning $ halt af $ $ gt $ velväte och löslig klorid samt rike $	40	0	kemisk	af bolaget upptagna gyttjan är , som bekant , företagen analys , hvarom professor Carl Th . Mörner i U psala säger , efter angifvande af en noggrann beskrifning örn gyttjans sammansättnin » Med Stöd af dessa fakta ( generel kemisk sammansättning , halt af svaf- & gt ; velväte och lösliga klorider samt rike ! 	bib11653811_18980525_145317_79_0002_alto.xml-91-40
motta till kemisk tvättning och rengöring efter fru anderséns berömd method handske $ herr $ dam och barnkläder $ all slag hatt och mössa $ herrhalsduk $ broderi $ pelsverk $ brysselmatta $ plym $ spets $ hand $ sorgereps m $ m $ till en billig pris $	2	0	kemisk	mottager till kemisk tvättning och rengöring efter fru Anderséns berömda method handskar , herr , dam- och barnkläder , alla slags hattar och mössor , herrhalsdukar , broderier , pelsverk , brysselmattor , plymer , spetsar , hand , sorgereps m . m . till de billigaste priser . 	bib11653811_19020507_145317_68_0001_alto.xml-17-2
motta till kemisk tvättning och rengöring efter fru anderséns $ $ d handske $ herr $ dam och barnkläder $ all slaga hatt och mössa $ herrhalsduk $ broderi $ pelsverk $ brysselmatta $ plym $ spets $ band $ sorgereps m $ m $ till en billig pris hvit stråhatt bleka och fernissa samt hvit plym tvätta och färga i fin $ ljus färg $	2	0	kemisk	mottager till kemisk tvättning och rengöring efter fru Anderséns berömda-moth ' d handskar , herr , dam- och barnkläder , alla slaga hattar och mössor , herrhalsdukar , broderier , pelsverk , brysselmattor , plymer , spetsar , band , sorgereps m . m . till de billigaste priser Hvita stråhattar blekas och fernissas samt hvita plymer tvättas och färgas i fina , ljusa färger . 	bib11653811_19030327_145317_48_0001_alto.xml-89-2
crispal $ frånskilja staearoptmen eller kamferarten i kemisk ren $ $ $ form $ alltså $ såsom hufvudheständsdel och den egentligen verksam ämne $ samt b $ lampliga $ full oskadlig $ fin pulverisera krydda eller örtdelar och växtämne $ afse för att möjliggöra meutolens båda användningssätt $ nemi $	7	0	kemisk	crispal ( frånskilda Staearoptmen eller kamferarten i kemiskt ren ( Mentiion-fri ) form ; alltså krusmynte-kamfer såsom hufvudheständsdel och det egentligen verksamma ämnet , samt b ) lampliga , fullt oskadliga , fint pulveriserade kryddor eller örtdelar och växtämnen , afsedda för att möjliggöra Meutolens båda användningssätt , nemi . 	bib15760600_18950827_146401_101_0001_alto.xml-60-7
måste iu grundfel ligga $ ty att densamma i sig själft vara ofelbar och tillfyllestgöra vara absolut obestridlig $ och så bölja man att väga $ syna $ höja sänka $ räkna $ som på en kemisk laboratorium $ tills man omsider med rösturnans tillhjälp få fram en ur betryck rädda och behofven fylla siffertal $	36	0	kemisk	måste iu grundfelet ligga , ty att detsamma i sig själft är ofelbart och tillfyllestgörande är absolut obestridligt , Och så böljar man att väga , syna , höja sänka , räkna ’ som på ett kemiskt laboratorium , tills man omsider med rösturnans tillhjälp får fram de ur betrycket räddande och behofven fyllande siffertalen . 	bib11653830_18950301_146968_26_0002_alto.xml-29-36
från götting meddela $ i universitet kemisk laboratorium explodera i förmiddag en gasometer af glas $	6	0	kemisk	Från Göttingen meddelas : I universitetets kemiska laboratorium exploderade i förmiddags en gasometer af glas . 	bib15761570_18951212_146176_206_0003_alto.xml-115-6
all slag kläder blifva fnllkomligt lie ii ek fri $ i oell ren efter den kemisk tvättning och behandling $ som utföra af underteckna $	15	0	kemisk	Alla slags kläder blifva fnllkomligt li ii ek fri : i oell rena efter den kemiska tvättning och behandling , som utföres af undertecknad . 	bib11653811_18970526_145317_80_0001_alto.xml-43-15
den vara dock först i den ny tid $ sedan kemi höja sig till rang af en själfständig vetenskap och den $ industri nödvändiggöra en sträng arbete inom den kemisk uppfinning område $ som en stark tillströmning af kemisk läkemedel blifvit möjlig $	38	0	kemisk	Det är dock först i den nyaste tiden , sedan kemien höjt sig till rangen af en själfständig vetenskap och den kemiskt-tekniska industrien nödvändiggjort ett strängt arbete inom den kemiska uppfinningarnes område , som en starkare tillströmning af kemiska läkemedel blifvit möjlig . 	bib11653838_19031113_147024_46_0004_alto.xml-63-38
motta till kemisk tvättning och rengöring efter fru anderséns berömd method handske $ herr $ dam och barnkläder $ all slag hatt och mössa $ herrhalsduk $ broderi $ pelsverk $ brysselmatta $ plym $ spets $ band $ sorgereps m $ m $ till en billig pris $	2	0	kemisk	mottager till kemisk tvättning och rengöring efter fru Anderséns berömda method handskar , herr , dam- och barnkläder , alla slags hattar och mössor , herrhalsdukar , broderier , pelsverk , brysselmattor , plymer , spetsar , band , sorgereps m . m . till de billigaste priser . 	bib11653811_19011012_145317_158_0001_alto.xml-63-2
på en kemisk process $ utan blott anmärka $ att man lägga ea massa $ bestå af kalk och antracitpnlver $ i en smältpanna af kol eller granit $	2	0	kemisk	på de kemiska processerna , utan blott anmärka , att man lägger ea massa , bestående af kalk och antracitpnlver , i en smältpanna af kol eller granit . 	bib19227462_18950607_147640_130_0004_alto.xml-65-2
prof äro sända till flera kemisk station för analys $ hvilken tro utfalla mycket gynnsam $	5	0	kemisk	Prof äro sända till flera kemiska stationer för analys , hvilken tros utfalla mycket gynnsamt . 	bib11653838_19031106_147024_45_0001_alto.xml-198-5
bolag tillverkning stå under kontroll af föreståndare för kemisk station i kalmar $ $ a $ atterberg $	8	0	kemisk	Bolagets tillverkningar stå under kontroll af föreståndaren för kemiska stationen i Kalmar , d:r A . Atterberg . 	bib11653811_19010413_145317_56_0001_alto.xml-50-8
kandidat komma hem i $ efter att en tid förut lia $ ta $ som per johan säga $ $ en styf kemisk examen $	22	0	kemisk	Kandidaten kom hem i påskas efter att en tid förut lia ' tagit — som Per Johan sa ’ — en styf kemisk examen . 	bib11653811_18990506_145317_68_0006_alto.xml-86-22
crispal $ frånskilja staearoptmen eller kamferarten i kemisk ren $ $ $ form $ alltsä $ såsom hufvudbeståndsdel och den egentligen verksam ämne $ samt b $ lämplig $ full oskadlig $ fin pulverisera krydda eller örtdelar och växtämne $ afse för att möjliggöra mentol båda användningssätt $ nemi $	7	0	kemisk	crispal ( frånskilda Staearoptmen eller kamferarten i kemiskt ren ( Menthon-fri ) form ; alltsä krusmynte-kamfer såsom hufvudbeståndsdel och det egentligen verksamma ämnet , samt b ) lämpliga , fullt oskadliga , fint pulveriserade kryddor eller örtdelar och växtämnen , afsedda för att möjliggöra Mentolens båda användningssätt , nemi . 	bib15760600_18950314_146401_31_0001_alto.xml-37-7
