sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
af tidning kalmar i kalmar ha central nödhjiilpskooioiittén för lindra af nöd i norrland denna dag emotta krona $ 50 $ femtio krona $ sorn härmed kvittera stockholm den 17 november 1902 å central nödhjälpskonmiittéens vägnar $	33	0	central	Af Tidningen Kalmar i Kalmar har Centrala Nödhjiilpskooioiittén för lindrande af nöden i Norrland denna dag emottagit kronor ( 50 ) femtio kronor , sorn härmed kvitteras Stockholm den 17 november 1902 Å Centrala Nödhjälpskonmiittéens vägnar : 	bib11653811_19021119_145317_178_0002_alto.xml-37-33
man ringa upp central $ svara $ kalla $ $ och man ha då endast att lugn vänta $ till den svar erhålla af den ef terfrågade person $	3	0	central	man ringt upp centralen , svaras » kallad » , och man har då endast att lugnt vänta , till dess svar erhålles af den ef terfrågade personen . 	bib15873371_18951004_145112_270_0002_alto.xml-145-3
en vacker våning om 6 å 7 rum med nutid beqvämligheter $ central belägen $ gärna vid eller i närhet af tysk torg $ önska hyra från den 1 oktober 1895 $	12	0	central	En vacker Våning om 6 å 7 rum med nutidens beqvämligheter , centralt belägen , helst vid eller i närheten af Tyska torget , önskas hyra från den 1 Oktober 1895 . 	bib15650837_18950323_146391_70_0004_alto.xml-40-12
enar sahlin och vagnmakare $ fredenholm ansågo $ att stämma böra uppdra åt kyrkoråd att efterhöra någon annan mera central belägen gudstjänstlokal $ oär högmässa kunna hålla $ lie $ och nämdes bland därför lämplig lokal luthersk missionshus och hög alim $	19	0	central	Enar Sahlin och vagnmakaren F. Fredenholm ansågo , att stämman borde uppdraga åt kyrkorådet att efterhöra någon annan mera centralt belägen gudstjänstlokal , oär högmässa kunde hållas kl. li , och nämdes bland därför lämpliga lokaler Lutherska missionshuset och högre alim . 	bib11653790_19030224_12541_15_0002_alto.xml-66-19
samtal eger rlkstolefonabonnont i stock holme och den grannskap utvexla ej endast med abonnent inom samma central oller vexelstation $ utan äfven med samtlig abonnent inom hel stockholmsområde och sålunda all en i ofvannämda katalogutdrag upptagen $	16	0	central	samtal eger rlkstolefonabonnont i Stock holm och dess grannskap utvexla ej endast med abonnenter inom samma central- oller vexelstation , utan äfven med samtlige abonnenter inom hela Stockholmsområdet och sålunda alla de i ofvannämda katalogutdrag upptagne . 	bib19277277_18950227_147683_57_0004_alto.xml-55-16
vid gymnastisk central institut i stockholm 1895 och gymna stiklärarekursen år därpå samt 1896 kurs vid infanteriskjutskola $	2	0	central	vid gymnastiska central institutet i Stockholm 1895 och gymna stiklärarekursen året därpå samt 1896 kursen vid infanteriskjutskolan . 	bib11653790_18991027_145648_84_0002_alto.xml-65-2
en restauration $ mångårig $ med central läge $ kunna få öfvertagas den 1 april nied eller utan inventarier $	6	0	central	En Restauration , mångårig , med centralt läge , kan få öfvertagas den 1 April nied eller utan inventarier . 	bib19225758_18950105_144022_4_0004_alto.xml-20-6
de klädesplagg $ som hafva förfärdiga för nödlidande skolbarn i norrland $ på arbetsmöte anordna af sjukvårdsförening syförening $ hafva $ jämte en kläder $ som blifvit tor simma i ändamål skänka af flera medlem inom samhälle $ enligt anvisning af central nödhjälpskommittéen i stockholm $ afsändts till jörn järn vägsstation för vid befordran till pastorsämbete i arjepluog $	41	0	central	De klädesplagg , som hafva förfärdigats för nödlidande skolbarn i Norrland , på arbetsmöten anordnade af Sjukvårdsföreningens syförening , hafva , jämte de kläder , som blifvit tor sam ina ändamål skänkta af flera medlemmar inom samhället , enligt anvisning af Centrala Nödhjälpskommittéen i Stockholm , afsändts till Jörns järn vägsstation för vidare befordran till pastorsämbetet i Arjepluog . 	bib11653811_19021126_145317_182_0003_alto.xml-122-41
tambur och kök $ central belägen $ ljus $ hög och varm $ beqväm inreda $	4	0	central	tambur och kök , centralt belägna , ljusa , höga och varma , beqvämt inredda . 	bib19277277_18950226_147683_56_0007_alto.xml-4-4
i mellersta skåne naturskön trakt belägen väl renomerande handelslägenhet $ med central läge $ vid kyrka och skola $ där flera väg sammanstöta $ och omkring $ kr $	11	0	central	I mellersta Skånes naturskönaste trakt belägen väl renomerande handelslägenhet , med centralt läge , vid kyrka och skola , där flera vägar sammanstöta , och omkring 25,000 kr . 	bib15978012_18950704_148361_152_0004_alto.xml-59-11
med central läge $ passa till tobaksaffär $ önska byra snar svar i bref under märke $ butik 181 $ 5 $ $ nerikes allehandas kontor	1	0	central	med centralt läge , passande till tobaksaffär , önskas byra Snarast svar i bref under märke ” Butik 181 ) 5 ” , Nerikes Allehandas kontor 	bib15650814_18950411_146365_86_0004_alto.xml-102-1
ha i dag afgifvits till central nöd hjälpskomitén i stockholm $	5	0	central	har i dagarne afgifvits till Centrala nöd hjälpskomitén i Stockholm . 	bib11653790_19030102_12541_1_0003_alto.xml-48-5
med central läge vid trafikera gata $ passa för diversehandel $ uthyra från den 1 oktober $	1	0	central	med centralt läge vid trafikerad gata , passande för diversehandel , uthyres från den 1 Oktober . 	bib19277277_18950831_147683_236_0006_alto.xml-83-1
