sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
his wheat-colored hair seem to glow in the night and the plane of his face ....	11	1	plane	His wheat-colored hair seemed to glow in the night and the planes of his face ...	fic_2003_28027.txt-183-11
reduction be only need in patient near skeletal maturity whose fracture have more than 50-70 degree of angulation in either the sagittal or coronal plane $ rab &; grottkau $ 2001 $ $	24	1	plane	Reduction is only needed in patients near skeletal maturity whose fracture has more than 50-70 degrees of angulation in either the sagittal or coronal plane ( Rab &; Grottkau , 2001 ) .	nf_2006_747052.txt-42-24
they have be make good progress $ in spite of their greenness $ next day mr.- fulton be plan to stretch the silk over the plane $ it have already be give a preliminary coat of a kind of flexible varnish which be also a part of mr.- fulton 's invention $	25	2	plane	They had been making good progress , in spite of their greenness ; next day Mr. Fulton was planning to stretch the silk over the planes ; it had already been given a preliminary coat of a kind of flexible varnish which was also a part of Mr. Fulton 's invention .	fic_1999_44827.txt-2454-25
to provide a contrast to the open plane of christ 's nude torso $	7	2	plane	to provide a contrast to the open planes of Christ 's nude torso .	nf_1972_774227.txt-1121-7
a low-angle plane be best for work directly across the grain $ but an ordinary smooth plane can be use $	2	3	plane	A low-angle plane is best for work directly across the grain , but an ordinary smoothing plane can be used .	nf_1976_774315.txt-1168-2
figure planer the electrical counterpart of hand plane use rotary cutter $ broad chisel-edged blade mount on a strong cylinder strike the wood with a slice action $ <nul>	7	3	plane	Figure PLANERS The electrical counterparts of hand planes use rotary cutters : broad chisel-edged blades mounted on a strong cylinder strike the wood with a slicing action ( Fig.	nf_1976_774315.txt-151-7
if you try to take off too much with each cut $ the plane will jump and the surface will be poor $	13	3	plane	If you try to take off too much with each cut , the plane will jump and the surface will be poor .	nf_1982_773998.txt-206-13
and the stanley label no long dominate the display of socket wrench $ screwdriver $ adjustable squeeze-handle pliers $ level $ wood plane $ counter punch $ chisel $ and bolt cutter $	22	3	plane	And the Stanley label no longer dominates the displays of socket wrenches , screwdrivers , adjustable squeeze-handle pliers , levels , wood planes , counter punches , chisels , and bolt cutters .	nf_2006_776561.txt-146-22
then $ arm with fact $ the population need only use its untapped brain power to usher in $ a high plane of civilization $ that would make classical greece or the renaissance look like cultural wasteland by comparison $ $	21	3	plane	Then , armed with facts , the population need only use its untapped brain power to usher in " a higher plane of civilization " that would make classical Greece or the Renaissance look like cultural wastelands by comparison . "	mag_1964_205462.txt-6-21
the bone surface indicate that movement be predominantly in a single plane $ with the massive finger move inward toward the middle of the body $	11	3	plane	The bone surfaces indicate that movement was predominantly in a single plane , with the massive fingers moving inward toward the middle of the body .	mag_1993_409308.txt-77-11
there be an exhilaration to fly airplane in those day $ their slow speed and light wing-loadings allow short turn $ sharp dive $ and quick pull-out that be impossible in faster plane $	32	4	plane	There was an exhilaration to flying airplanes in those days : their slow speed and light wing-loadings allowed short turns , sharp dives , and quick pull-outs that are impossible in faster planes .	mag_1961_442022.txt-50-32
over the next several year $ he say $ the coast guard will get s60 more people $ two new 270-foot vessel and al twin-engine plane $	25	4	plane	Over the next several years , he said , the Coast Guard will get S60 more people , two new 270-foot vessels and al twin-engine planes .	news_1977_732977.txt-46-25
instead $ i order more coffee and look again at the cable that have come with my plane ticket $	17	4	plane	Instead , I ordered more coffee and looked again at the cable that had come with my plane ticket .	fic_1999_30902.txt-106-17
