sentence_lemma	sentence_token	target_index	original_word
this capture god $ he tell the multitude $ would protect our eastern frontier $	This captured God , He told the multitudes , would protect our eastern frontier .	7	multitude
in college he would wander aimlessly into a party on his way home from a late evening jog $ unshaven $ his hair plaster to his scalp with sweat $ visible pit stain on his ratty nyu sweatshirt $ and he have leave an hour later with any one of the multitude of girl who practically climb over each other to make themselves available to him $	In college he would wander aimlessly into a party on his way home from a late evening jog , unshaven , his hair plastered to his scalp with sweat , visible pit stains on his ratty NYU sweatshirt , and he'd leave an hour later with any one of the multitude of girls who practically climbed over each other to make themselves available to him .	50	multitude
this apparatus be consider to be part of the bell telephone lab scheme for the projection of television image on a large screen almost simultaneously with their <nul> on february 11 $ 1929 $ leon nemirovsky of paris apply for a patent for a secret transmission system use a rotate magnetic wheel with a multitude of recording and reproduce <nul> jean thibaud present an article on february 27 $ 1929 $ which show the effect of the longitudinal magnetic current on a slow $ lowvoltage $ electron beam $	This apparatus was considered to be part of the Bell Telephone Labs scheme for the projection of television images on a large screen almost simultaneously with their reception.67 On February 11 , 1929 , Leon Nemirovsky of Paris applied for a patent for a secret transmission system using a rotating magnetic wheel with a multitude of recording and reproducing coils.68 Jean Thibaud presented an article on February 27 , 1929 , which showed the effect of the longitudinal magnetic current on a slow ( lowvoltage ) electron beam .	54	multitude
say goldberg $ $ this kind of masking cover a multitude of sin $ $	Says Goldberg : " This kind of masking covers a multitude of sins . "	10	multitude
then an odd following think come to him $ saul of tarsus be indeed a titan $ though but fourteen as yet $ and the superstitious greek -- who denounce all superstition as unworthy of an enlightened man -- seem to glimpse the future when saul would walk among man with authority and even with terror $ hurl that voice of his into the face of multitude $	Then an odd following thought came to him : Saul of Tarsus was indeed a Titan , though but fourteen as yet , and the superstitious Greek -- who denounced all superstition as unworthy of an enlightened man -- seemed to glimpse the future when Saul would walk among men with authority and even with terror , hurling that voice of his into the face of multitudes .	66	multitude
thoughtfully he pocket a kalkaboo detonator $ but that wouldn't prove anything $ there be multitude of them on sale in the kalkaboo store	Thoughtfully he pocketed a Kalkaboo detonator , but that wouldn't prove anything ; there were multitudes of them on sale in the Kalkaboo store	15	multitude
' // the mpp ' s mrs.- garrett credit the program ' s success to a multitude of factor $ including a ' ' very conservative board of director that view the house as $	' // The MPP ' s Mrs. Garrett credits the program ' s success to a multitude of factors , including a ' ' very conservative board of directors that views the houses as .	16	multitude
the continuous $ routine modelling of world of living $ through various mode and in a multitude of domain $ often be intend to change phenomenon in ongoing way $	The continuous , routine modelling of worlds of living , through various modes and in a multitude of domains , often is intended to change phenomena in ongoing ways .	16	multitude
the land surround the kansas city international airport for 100 square mile $ encompass a multitude of community $ county and the two state $ be zon according to a master plan $ $	The land surrounding the Kansas City International Airport for 100 square miles , encompassing a multitude of communities , counties and the two states , is zoned according to a master plan . "	15	multitude
the scientist who have draw the plan and train the astronaut $ the artisan who have assemble the unbelievably complicated capsule and its rocket booster $ the crew aboard recovery ship $ the multitude of technician who be to monitor and track his flight $	the scientists who had drawn the plans and trained the astronauts ; the artisans who had assembled the unbelievably complicated capsule and its rocket booster ; the crews aboard recovery ships ; the multitude of technicians who were to monitor and track his flight .	33	multitude
