sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
aj have n't tell jake precisely why mason $ and now ms.- murphy $ have be target $ but he have drop one tantalize bit	24	2	bit	AJ had n't told Jake precisely why Mason , and now Ms. Murphy , had been targeted , but he 'd dropped one tantalizing bit	fic_2007_33473.txt-152-24
in an attempt to bring reality to the issue $ i perform a study a few year ago to estimate traffic for various service by quantify each service in terms of total number of bit per year $	34	2	bit	In an attempt to bring reality to the issue , I performed a study a few years ago to estimate traffic for various services by quantifying each service in terms of total number of bits per year .	nf_1997_773513.txt-269-34
the only child he really like be susie $ the eichelburger girl across the hedge and alleyway and white barn $ who be high-strung and secretive $ and every bit as friendless as he be $	29	2	bit	The only child he really likes is Susie , the Eichelburger girl across the hedge and alleyway and white barn , who 's high-strung and secretive , and every bit as friendless as he is .	fic_1975_10601.txt-872-29
it do n't suit her one bit $ he decide $ the hard rim of the bedpan dig into his coccyx $	6	2	bit	It does n't suit her one bit , he decides , the hard rim of the bedpan digging into his coccyx .	fic_2004_32047.txt-132-6
well $ basically $ natural history -- with perhaps a bit of modern politics $	10	2	bit	Well , basically , natural history -- with perhaps a bit of modern politics .	mag_1990_420108.txt-9-10
follow for now 's name $ in fact $ come from a pe lyric $ and the band 's own wordplay be every bit as pointedly smart and confrontational as that of the rapper $	23	2	bit	Follow for Now 's name , in fact , comes from a PE lyric , and the band 's own wordplay is every bit as pointedly smart and confrontational as that of the rappers .	mag_1991_422593.txt-378-23
we all get carry away a little bit with the importance of game $ $ judge thomas say $ $	7	2	bit	We all get carried away a little bit with the importance of games , " Judge Thomas said . "	news_1988_668951.txt-44-7
our contractor call the company several time to get more information $ which bring me to the next bit of advice $ if you use a kit $ make sure the business have a toll free number and someone knowledgeable to advise you over the phone $	18	2	bit	Our contractor called the company several times to get more information , which brings me to the next bit of advice : If you use a kit , make sure the business has a toll free number and someone knowledgeable to advise you over the phone .	mag_2002_383464.txt-63-18
we be so close to the equator that the dish be point only slightly north $ but it be point a fair bit east $ probably at one of california 's big commercial machine $	22	2	bit	We were so close to the equator that the dish was pointed only slightly north , but it was pointing a fair bit east , probably at one of California 's big commercial machines .	mag_1999_407884.txt-518-22
the vertical band which be cover with plastic have wear and granulate under the demand of our press run $ and we have spend a weekend wipe and wash off the silk screen and pick bit of plastic out of the ink and curse and waste paper and try to get out enough readable copy of the paper to satisfy our subscriber $	35	2	bit	The vertical bands which were covered with plastic had worn and granulated under the demands of our press run , and we had spent a weekend wiping and washing off the silk screen and picking bits of plastic out of the ink and cursing and wasting paper and trying to get out enough readable copies of the paper to satisfy our subscribers .	fic_1968_23855.txt-157-35
die willow top $ each be pick bit of unstranded rope for oakum $	7	4	bit	dying willow tops ; each is picking bits of unstranded rope for oakum .	fic_1964_14121.txt-148-7
