sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
sal ianello 's face be obscure $ but his back be ramrod straight $	3	0	face	Sal Ianello 's face was obscured , but his back was ramrod straight .	fic_1971_782008.txt-2009-3
her face be contort in an expression of rugged $	1	0	face	Her face was contorted in an expression of rugged ,	fic_1964_10449.txt-2164-1
she be thirty-nine $ and it be the first time she have see her face $ not as someone who	14	0	face	She was thirty-nine , and it was the first time she had seen her face , not as someone who	fic_2007_33698.txt-157-14
she catch hold of germaine again $ and again frame her face $ this time hold it rather roughly between her hand $ $	11	0	face	She caught hold of Germaine again , and again framed her face , this time holding it rather roughly between her hands . "	fic_1980_10664.txt-7472-11
that be when he have be married $ have a house $ aim to study his way off deck and onto the bridge $ a foolishness he have undertake for mary and her sad $ plead face $ though it have be a good thing in the end $	36	0	face	That was when he 'd been married , had a house , aimed to study his way off deck and onto the bridge , a foolishness he 'd undertaken for Mary and her sad , pleading face , though it had been a good thing in the end .	fic_1996_41639.txt-140-36
i lay and stare up at him for a while $ feel the strange unbreathing warmth of his face against my hand $ he only draw in breath when he want to talk $ and i start to notice something else about him $ that air be mix with his edge somehow $ but before i could concentrate on that $ i sit up $ look around $ feel alarmed $ $	18	0	face	I lay and stared up at him for a while , feeling the strange unbreathing warmth of his face against my hand -- he only drew in breath when he wanted to talk -- and I started to notice something else about him , that air was mixing with his edges somehow , but before I could concentrate on that , I sat up , looking around , feeling alarmed . "	fic_1996_54394.txt-549-18
elizabeth wave $ laugh $ wave again $ make a face at the stiltwalker $	10	0	face	Elizabeth waves , laughs , waves again , making a face at the stiltwalker .	fic_2009_36565.txt-182-10
his face be at variance with his clothes $ which be disreputable $ neatly patch pant $ a sweat-stained dirty undershirt $ and sandal repair with string $ his face $ however $ shine with intelligence $ and his eye be bright and eager $ $	29	0	face	His face was at variance with his clothes , which were disreputable : neatly patched pants , a sweat-stained dirty undershirt , and sandals repaired with string ; his face , however , shone with intelligence , and his eyes were bright and eager . "	fic_1983_10710.txt-2241-29
i be convince i think about it more than he do $ look at my soften face in the mirror as i sit in the beauty salon $ sit in the car wash tempt to open the window and let in that nasty soapy water inside the white range rover he have insist on buy $ stroll down the aisle of grant be mindlessly put butter $ egg $ cereal $ and ground turkey in the cart $	16	0	face	I 'm convinced I thought about it more than he did -- looking at my softening face in the mirror as I sat in the beauty salon ; sitting in the car wash tempted to open the window and let in that nasty soapy water inside the white Range Rover he 'd insisted on buying ; strolling down the aisle of Grant 's mindlessly putting butter , eggs , cereal , and ground turkey in the cart .	fic_2003_30896.txt-3-16
put on a moisturizer after you have clean your face $	9	0	face	Put on a moisturizer after you 've cleaned your face .	nf_1978_773485.txt-1240-9
he have take off father 's face $ bran think $ and don the face of lord stark of winterfell $	6	0	face	He had taken off Father 's face , Bran thought , and donned the face of Lord Stark of Winterfell .	fic_2005_30110.txt-20-6
and hide her face behind michael 's back to hide her shock and surprise $	3	0	face	And hides her face behind Michael 's back to hide her shock and surprise .	fic_1976_16305.txt-563-3
he land on his face $ his lip stinging in the snow $	4	0	face	He landed on his face , his lips stinging in the snow .	fic_2004_28968.txt-159-4
wilma benthoff $ the governor 's campaign manager-and presently his harried rally organizer-pushed her wildly curled blonde hair away from her face so she could see her clipboard $ $	21	0	face	Wilma Benthoff , the governor 's campaign manager-and presently his harried rally organizer-pushed her wildly curled blonde hair away from her face so she could see her clipboard . "	fic_2003_32332.txt-68-21
she keep her head tip down so that her long dark blond hair fall over her face to hide the fact that part of her low jaw be miss $	16	0	face	She kept her head tipped down so that her long dark blond hair fell over her face to hide the fact that part of her lower jaw was missing .	nf_2004_775790.txt-28-16
