sentence_lemma	sentence_token	target_index	original_word
während in d Ewg-Land Inflation und Unsicherheit d Alltag beherrschen $ arbeiten d Rgw-Land konsequent an d Lösung d Hauptaufgabe $ die sie sich alle stellen haben $ und sie können bei d Verbesserung d Lebensstandard ihr Volk in d letzte drei Jahr beachtlich Fortschritt vorweisen $	Während in den EWG-Ländern Inflation und Unsicherheit den Alltag beherrschen , arbeiten die RGW-Länder konsequent an der Lösung der Hauptaufgabe , die sie sich alle gestellt haben , und sie können bei der Verbesserung des Lebensstandards ihrer Völker in den letzten drei Jahren beachtliche Fortschritte vorweisen .	45	vorweisen
ohne d an diese Stelle bis auf d Grund ausloten zu können $ sein vorrangig zu nennen $ Zuverlässigkeit $ Beharrlichkeit $ Solidität $ die in Gemeinsamkeit $ Beständigkeit und Ausgegleichenheit produzieren $ wie sie derzeit $ außer Finalkontrahent Jena $ keine ander Mannschaft vorweisen haben $	Ohne das an dieser Stelle bis auf den Grund ausloten zu können , sind vorrangig zu nennen : Zuverlässigkeit , Beharrlichkeit , Solidität , die in Gemeinsamkeit , Beständigkeit und Ausgeglichenheit produzieren , wie sie derzeit ( außer Finalkontrahent Jena ) keine andere Mannschaft vorzuweisen hat .	44	vorweisen
$ in München $ Frankfurt $ Erlangen $ Freiburg $ Mainz und andernorts holen zivil und uniformiert Polizist Mensch aus d Bett $ gegen die sie keine Haftbefehl wegen Verdacht eine strafbar Handlung vorweisen können und die nur eins gemeinsam haben $ sie sein Arabi $	„ In München , Frankfurt , Erlangen , Freiburg , Mainz und andernorts holten zivile und uniformierte Polizisten Menschen aus dem Bett , gegen die sie keinen Haftbefehl wegen Verdachts einer strafbaren Handlung vorweisen konnten und die nur eins gemeinsam haben : Sie sind arabi -	33	vorweisen
d Leunawerker handeln nach ihr mit Erfolg auch schon in diese Jahr und haben recht gut Ergebnis vorweisen $	Die Leunawerker handeln nach ihr mit Erfolg auch schon in diesem Jahr und haben recht gute Ergebnisse vorzuweisen .	17	vorweisen
obwohl sie zahlreich Gutachten von Professor und Ausbildungsleiter über ihr Eignung vorweisen können $ fallen sie nach kurz Unterricht in eine 5. und 7. Klasse im April 1975 d Berufsverbotspraktik zum Opfer $	Obwohl sie zahlreiche Gutachten von Professoren und Ausbildungsleitern über ihre Eignung vorweisen konnte , fiel sie nach kurzem Unterricht in einer 5. und 7. Klasse im April 1975 den Berufsverbotspraktiken zum Opfer .	11	vorweisen
einlassen werden nur $ wer eine Mitgliedsbuch d Sozialdemokratische_Partei_Deutschlands vorweisen $	Eingelassen wurde nur , wer ein Mitgliedsbuch der SPD vorwies .	9	vorweisen
die können d Industrie nicht in ausreichend Maß vorweisen $	Das kann die Industrie nicht in ausreichendem Maße vorweisen .	8	vorweisen
aus d wissenschaftlich-technisch Zusammenarbeit mit d Baumwollekombinat $ Frunse $ in Moskau können beide Seite wirklich Nutzen vorweisen $	Aus der wissenschaftlich-technischen Zusammenarbeit mit dem Baumwollkombinat .. Frunse " in Moskau können beide Seiten wirklichen Nutzen vorweisen .	17	vorweisen
Salt Lake City d rund 600000 Einwohner zählend Hauptstadt d Us-Bundesstaaites Utah $ haben unter ander $ the largest manmade excavation in the' world $ vorweisen $ Dae weltgroß von Menschenhand geschaffen Erdaiushöhlung $ die fast tausend Meter tief und über drei Kilometer weit Erdeloch d Bingham Copper Mine $ jen Grube $ aus die d kennecott copper corporation im Tagebau Kupfererz fördern lassen $	Salt Lake City die rund 600000 Einwohner zählende Hauptstadt des US-Bundesstaaites Utah , hat unter anderem „ The largest manmade excavation in the' world " vorzuweisen , dae weltgrößte von Menschenhand geschaffene Erdaiushöhlung , das fast tausend Meter tiefe und über drei Kilometer weite Erdloch der Bingham Copper Mine , jener Grube , aus der die Kennecott Copper Corporation im Tagebau Kupfererze fördern läßt ,	25	vorweisen
einige Erfolg in diese Richtung sein schon vorweisen $ wenn man sich d Entwicklung vor Auge halten $ bei d Eröffnung d neu Dessauer Haus im Sommer 1949 geben es 2500 Volksbühnenmitglied $ heute sein es 11000 $	Einige Erfolge in dieser Richtung sind schon vorzuweisen , wenn man sich die Entwicklung vor Augen hält : bei der Eröffnung des neuen Dessauer Hauses im Sommer 1949 gab es 2500 Volksbühnenmitglieder ; heute sind es 11000 .	7	vorweisen
