sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
so they turn their back on all ' this and now and then seek repose with-iii sortie no man 's land $ of bleak contemplation or lunacy $	24	1	contemplation	So they turn their backs on all ' this and now and then seek repose with-iii sortie no man 's land , of bleak contemplation or lunacy .	mag_1965_488173.txt-115-24
it remain the language of reading and contemplation in later century of many english ecclesiastics $ including those of the protestant faith $	7	1	contemplation	It remained the language of reading and contemplation in later centuries of many English ecclesiastics , including those of the Protestant faith .	nf_1962_773607.txt-40-7
where in short he can be by himself in quiet contemplation and suck spiritual nourishment from the liquid communion in his hand and clarify his head $	10	1	contemplation	Where in short he can be by himself in quiet contemplation and suck spiritual nourishment from the liquid Communion in his hand and clarify his head .	fic_1971_10542.txt-1747-10
if i have be allow to live my life in peaceful contemplation $ like a boy lie in the forest next to the lake $ listen to the splash of the water and look at the treetops sway in the breeze beneath the infinitely high sky $	11	1	contemplation	If I had been allowed to live my life in peaceful contemplation , like a boy lying in the forest next to the lake , listening to the splashing of the water and looking at the treetops swaying in the breeze beneath the infinitely high sky ?	fic_1993_25024.txt-4210-11
before i can respond $ draw 's voice change completely $ go from a tone of sheer terror to one of contemplation and calm $ $	21	1	contemplation	Before I can respond , Drew 's voice changes completely , going from a tone of sheer terror to one of contemplation and calm . "	fic_2009_36823.txt-298-21
the first item make her freeze with a just-washed plate in one hand $ her eye look out over their small backyard in startle contemplation $	24	1	contemplation	The first item made her freeze with a just-washed plate in one hand , her eyes looking out over their small backyard in startled contemplation .	fic_1979_10648.txt-8544-24
william sit stare after him $ his sheepish grin fade to a look of contemplation $	14	1	contemplation	William sat staring after him , his sheepish grin fading to a look of contemplation .	fic_1965_780078.txt-1576-14
if $ with the greek $ we regard knowledge as contemplation rather than as a productive art $ then art will be secondary to the aesthetic $ $ creation $ will be secondary to $ taste $ $ and the scientist will assume a low rank than the dilettante $ $	10	1	contemplation	If , with the Greeks , we regard knowledge as contemplation rather than as a productive art , then art will be secondary to the aesthetic , " creation " will be secondary to " taste , " and the scientist will assume a lower rank than the dilettante . "	nf_1973_774239.txt-687-10
perhaps by mark the end of that sad anniversary with such drama $ the bizarre weather phenomenonhad startle him out of thought of death and into the contemplation of wonder $	27	1	contemplation	Perhaps by marking the end of that sad anniversary with such drama , the bizarre weather phenomenonhad startled him out of thoughts of death and into the contemplation of wonders .	fic_1987_10764.txt-10167-27
although i have no doubt that she be capable of grief $ i have thus far see her cry only in contemplation of her own mysterious burden or affliction $ and even then she have seem to release the tear grudgingly $ as if a tremendous inner pressure be force them from her against her will $	21	1	contemplation	Although I had no doubt that she was capable of grief , I had thus far seen her cry only in contemplation of her own mysterious burden or affliction , and even then she had seemed to release the tears grudgingly , as if a tremendous inner pressure were forcing them from her against her will .	fic_1987_10755.txt-1745-21
and since it be relatively quiet $ it offer a good place four contemplation $	13	1	contemplation	And since it is relatively quiet , it offers a good place four contemplation .	mag_1990_419937.txt-112-13
peter baron glance at them all through the front of the shop $ but there be one that detain him in supreme contemplation $	22	1	contemplation	Peter Baron glanced at them all through the fronts of the shops , but there was one that detained him in supreme contemplation .	fic_1970_753.txt-86-22
he imagine how it might have be have he meet her in the city $ in the anonymity of a booth $ elena on one side of the glass $ he on the other $ two stranger trap in their silent contemplation of each other $	41	1	contemplation	He imagined how it might have been had he met her in the city , in the anonymity of a booth , Elena on one side of the glass , he on the other , two strangers trapped in their silent contemplation of each other .	fic_1979_10650.txt-1282-41
i have better go see for myself $ $ brucker say $ leave dewart in bitter contemplation of the pagoda $	16	1	contemplation	I 'd better go see for myself , " Brucker said , leaving Dewart in bitter contemplation of the pagoda .	fic_1965_10465.txt-6287-16
during the christmas season $ jef murray say $ they tap into the pre-modern catholic tradition of $ quiet reflection and contemplation $ $	21	1	contemplation	During the Christmas season , Jef Murray says , they tap into the pre-modern Catholic tradition of " quiet reflection and contemplation . "	news_1998_615388.txt-50-21
