sentence_lemma	sentence_token	index_lemma	index_token	lemma
man sollen d alt Vorurteil abbauen $ denn in d meiste Fall erweisen sich gerade vom Schicksal hart geprüft Mensch als sehr dankbar $	Man sollte die alten Vorurteile abbauen , denn in den meisten Fällen erweisen sich gerade vom Schicksal hart geprüfte Menschen als sehr dankbar .	5	5	abbauen
d Abteilung Wohnungswesen haben in d vergangen Woche beginnen $ ihr bisherig starr und unbeweglich arbeitsweise Schritt für Schritt abbauen $	Die Abteilung Wohnungswesen hat in den vergangenen Wochen begonnen , ihre bisherige starre und unbewegliche Arbeitsweise Schritt für Schritt abzubauen .	19	19	abbauen
d hilfs- und Fehlleistung um weit fünf Prozent abbauen $	die Hilfs- und Fehlleistungen um weitere fünf Prozent abzubauen .	8	8	abbauen
$ und es helfen $ vorhanden Vorurteil abbauen $ $	( Und es half , vorhandene Vorurteile abzubauen . )	7	7	abbauen
d Realität d Nuklearzeitalter veranlassen real denkend Politiker d Westen $ nach Weg zu suchen $ die d wachsend Gefahr aus d selbst initiiert Wettrüsten abbauen werden können $	Die Realitäten des Nuklearzeitalters veranlaßten real denkende Politiker des Westens , nach Wegen zu suchen , die die wachsenden Gefahren aus dem selbst initiierten Wettrüsten abgebaut werden können .	25	25	abbauen
d $ überschüssig $ 1900 Stunde sein gut zu gebrauchen $ um d Überstundenkonto d Rohlingdreherei wesentlich abbauen $	Die .. überschüssigen '' 1900 Stunden sind gut zu gebrauchen , um das Überstundenkonto der Rohlingdreherei wesentlich abzubauen .	17	17	abbauen
d komplex Anwendung werden möglich $ weil wir uns seit Jahr d Prozeßsteuerung von solch groß Anlage intensiv widmen $ wissenschaftlich Vorlauf haben und d Risiko d Anwendung abbauen haben $	Die komplexe Anwendung wird möglich , weil wir uns seit Jahren der Prozeßsteuerung von solchen großen Anlagen intensiv widmen , wissenschaftlichen Vorlauf haben und das Risiko der Anwendung abgebaut haben .	28	22	abbauen
d Vertiefung d Kooperationsbeziehung $ $ d gut Wahrnehmung d wirtschaftsleitend Funktion d Kooperationsrat $ d Arbeit mit Abteilung für Wissenschaft und Technik in d LPG Pflanzenproduktion $ d VEG und in sieben LPG Tierproduktion werden wir helfen $ die nicht gerechtfertigt Differenziertheit zwischen unsere LPG abbauen $	Die Vertiefung der Kooperationsbeziehungen , . die bessere Wahrnehmung der wirtschaftsleitenden Funktionen der Kooperationsräte , die Arbeit mit Abteilungen für Wissenschaft und Technik in den LPG Pflanzenproduktion , den VEG und in sieben LPG Tierproduktion werden uns helfen , die nicht gerechtfertigte Differenziertheit zwischen unseren LPG abzubauen .	46	46	abbauen
er schlagen vor $ zunächst Gespräch über militärisch und politisch Frage auf hoch Ebene mit d Ziel zu führen $ Vertrauen zu bilden und Spannung abbauen $	Er schlug vor , zunächst Gespräche über militärische und politische Fragen auf hoher Ebene mit dem Ziel zu führen , Vertrauen zu bilden und Spannungen abzubauen .	25	25	abbauen
d Autoangebot sein von Jahr zu Jahr wachsen $ aber doch nicht so $ daß d übergroß Nachfrage abbauen werden können $	Das Autoangebot ist von Jahr zu Jahr gewachsen , aber doch nicht so , daß die übergroße Nachfrage abgebaut werden konnte .	18	18	abbauen
d Kooperation sein d geeignet Weg $ um unter d Bedingung unsere Landwirtschaft d Intensivierung zu verwirklichen $ also Produktion und Effektivität zu steigern $ ungerechtfertigt Unterschied abbauen $	Die Kooperation ist der geeignete Weg , um unter den Bedingungen unserer Landwirtschaft die Intensivierung zu verwirklichen , also Produktion und Effektivität zu steigern , ungerechtfertigte Unterschiede abzubauen .	27	27	abbauen
d Brd-Bundestag haben am Donnerstag eine Gesetzentwurf verabschieden $ mit die d Defizit d Rentenversicherung von über 32 Milliarde DM zu Last d Rentner abbauen werden $	Der BRD-Bundestag hat am Donnerstag einen Gesetzentwurf verabschiedet , mit dem das Defizit der Rentenversicherung von über 32 Milliarden DM zu Lasten der Rentner abgebaut wird .	24	24	abbauen
d bochumer Festhalle $ eine ehemalig Werkhalle $ die Maschine bereits demontieren werden $ sollen jetzt auf Befehl d britisch Militärregierung abbauen und nach Jugoslawien schicken werden $	Die Bochumer Festhalle , eine ehemalige Werkhalle , deren Maschinen bereits demontiert wurden , soll jetzt auf Befehl der britischen Militärregierung abgebaut und nach Jugoslawien geschickt werden .	21	21	abbauen
sie zu mildern und schrittweise abbauen $ sein also d Verzicht d westdeutsch Regierung auf jegliche Gebietsanspruch und auf d völkerrechtswidrig Alleinvertretungsanmagrundlegende Voraussetzung $	sie zu mildern und schrittweise abzubauen , ist also der Verzicht der westdeutschen Regierung auf jegliche Gebietsansprüche und auf die völkerrechtswidrige Alleinvertretungsanmagrundlegende Voraussetzung .	5	5	abbauen
auf d innenpolitisch Situation in d Brd eingehen $ sagen mies $ daß d Großkapital versuchen $ sich in d gegenwärtig Kruse noch mehr zu bereichern und d sozial und demokratisch Rechte d Volk noch weiter abbauen $	Auf die innenpolitische Situation in der BRD eingehend , sagte Mies , daß das Großkapital versuche , sich in der gegenwärtigen Kruse noch mehr zu bereichern und die sozialen und demokratischen Rechte des Volkes noch weiter abzubauen .	36	36	abbauen
in Bonn d von ihr errichtet eisern Vorhang abbauen und d kalt Krieg gegen d DDR und ihr Bürger einstellen $	in Bonn den von ihr errichteten eisernen Vorhang abbaut und den kalten Krieg gegen die DDR und ihre Bürger einstellt .	8	8	abbauen
Genscher sagen $ man müssen d Neubeginn in d Ost-West-Beziehung im Jahr 1985 nutzen $ um Mißtrauen und Spannung abbauen $	Genscher sagte , man müsse den Neubeginn in den Ost-West-Beziehungen im Jahr 1985 nutzen , um Mißtrauen und Spannungen abzubauen .	19	19	abbauen
es gelten $ weit Reserve zu erschließen $ um ungerechtfertigt Ertragsunterschied weiter abbauen und überall hoch Ergebnis in d pflanzen- und Tierproduktion zu erreichen $	Es gelte , weitere Reserven zu erschließen , um ungerechtfertigte Ertragsunterschiede weiter abzubauen und überall höchste Ergebnisse in der Pflanzen- und Tierproduktion zu erreichen .	12	12	abbauen
seit 1981 werden 16700 Arbeitsplatz neu gestalten und damit für 2900 Werktätige d Arbeitserschwerr Nisse abbauen $	Seit 1981 wurden 16700 Arbeitsplätze neu gestaltet und damit für 2900 Werktätige die Arbeitserschwerr nisse abgebaut .	15	15	abbauen
in eine seit Jahrhundert ausgeräumt Landschaft beginnen wir mit d Pflanze von Einzelbaum $ z. B. an d Haltebucht d F 6. inzwischen sein eine großangelegt Plan für unsere ganz Lpg-Temtorium zur Neuanläge von Gebüsch und Baumstreifen entwickeln und auch zum Teil schon realisieren werden $ um wind- und Wassererosion abbauen $	In einer seit Jahrhunderten ausgeräumten Landschaft begannen wir mit dem Pflanzen von Einzelbäumen ' z. B. an den Haltebuchten der F 6. Inzwischen ist ein großangelegter Plan für unser ganzes LPG-Temtorium zur Neuanläge von Gebüsch und Baumstreifen entwickelt und auch zum Teil schon realisiert worden , um Wind- und Wassererosionen abzubauen .	50	50	abbauen
zum Beispiel sollen 800 Arbeitsplatz umgestalten und an 71 Erschwernis abbauen werden $	Zum Beispiel sollen 800 Arbeitsplätze umgestaltet und an 71 Erschwernisse abgebaut werden .	10	10	abbauen
wie hier berichten werden $ mischen Walterscheid im Gegenteil kräftig mit $ wenn es darum gehen $ Arbeitsplatz für Jugendliche abbauen $	Wie hier berichtet wurde , mischt Walterscheid im Gegenteil kräftig mit , wenn es darum geht , Arbeitsplätze für Jugendliche abzubauen .	20	20	abbauen
d vom Vorsitzende d Staatsrat d DDR $ Walter Ulbricht $ an d Bundespräsident d Brd $ Doktor Gustav Heinemann $ übersendt Vertragsentwurf zielen darauf ab $ wie es in d Präambel d Entwurf heißen $ $ $ d Spannung zwischen d beide deutsch Staat schrittweise abbauen $ zwischen sie eine geregelt Nebeneinanderleben und eine Verhältnis d gut Nachbarschaft als gleichberechtigt souverän Staat herbeiführen eine geregelt Nebeneinanderleben und eine Verhältnis d gut Nachbarschaft erfordern allerdings elementar Voraussetzung $	Der vom Vorsitzenden des Staatsrates der DDR , Walter Ulbricht , an den Bundespräsidenten der BRD , Dr. Gustav Heinemann , übersandte Vertragsentwurf zielt darauf ab — wie es in der Präambel des Entwurfs heißt — , „ die Spannungen zwischen den beiden deutschen Staaten schrittweise abzubauen , zwischen ihnen ein geregeltes Nebeneinanderleben und ein Verhältnis der guten Nachbarschaft als gleichberechtigte souveräne Staaten herbeizuführen Ein geregeltes Nebeneinanderleben und ein Verhältnis der guten Nachbarschaft erfordern allerdings elementare Voraussetzungen .	46	46	abbauen
mehr als bisher 'wurden dabei Fähigkeit und Neigung d Genosse sowie d Abrechenbarkeit d Auftrag beachten und dadurch Erscheinung d Formalismus weiter abbauen	Mehr als bisher 'wurden dabei Fähigkeiten und Neigungen der Genossen sowie die Abrechenbarkeit der Aufträge beachtet und dadurch Erscheinungen des Formalismus weiter abgebaut	22	22	abbauen
die sein seit 1930 so $ als mit Notverordnung d Rechte und Freiheit d Werktätige systematisch abbauen werden $ im Namen d Demokratie	Das war seit 1930 so . als mit Notverordnungen die Rechte und Freiheiten der Werktätigen systematisch abgebaut wurden — im Namen der Demokratie	16	16	abbauen
so bedauern in d am Dienstag vom Springer-Blatt „bild" zitiert Erklärung d früh Cdu-Bürgermeister Ferdinand Friedensburg $ Christlich_Demokratische_Union $ $ daß im Abkommen d Bonner Anspruch gegenüber Westberlin $ ausdrücklich für unwirksam erklären $ und $ d Bundespräsenz in Westberlin abbauen $ werden $	So bedauert in der am Dienstag vom Springer-Blatt „Bild" zitierten Erklärung der frühere CDU-Bürgermeister Ferdinand Friedensburg ( CDU ) , daß im Abkommen die Bonner Ansprüche gegenüber Westberlin „ ausdrücklich für unwirksam erklärt " und „ die Bundespräsenz in Westberlin abgebaut " werden .	40	40	abbauen
wir sein bestreben $ d Unterschied zwischen Stadt und Land in kulturell Beziehung Schritt für Schritt abbauen $ zu vermindern und endlich zu beseitigen $	Wir sind bestrebt , den Unterschied zwischen Stadt und Land in kultureller Beziehung Schritt für Schritt abzubauen , zu vermindern und endlich zu beseitigen .	16	16	abbauen
angesichts die legen d bis 1990 laufend sechst Fünfjahrplan als Schwerpunkt d Modernisierung bestehend Betrieb $ d Steigerung d Arbeitsproduktivität und eine hoch Auslastung d vorhanden Produktionskapazität fest $ um d inländisch Bedarf zu decken $ d Importe einschränken und somit auch Abhängigkeit vom Ausland abbauen $	Angesichts dessen legt der bis 1990 laufende sechste Fünfjahrplan als Schwerpunkt die Modernisierung bestehender Betriebe , die Steigerung der Arbeitsproduktivität und eine höhere Auslastung der vorhandenen Produktionskapazitäten fest , um den inländischen Bedarf zu decken , die Importe einzuschränken und somit auch Abhängigkeiten vom Ausland abzubauen .	45	45	abbauen
d Bonner Landwirtschaftsminister Schwarz $ Christlich_Demokratische_Union $ haben kürzlich vor eine klein Kreis von Journalist ankündigen er sein fest entschließen $ alle staatlich Subvention Det Aßrarerzeußnisse energisch abbauen $	Der Bonner Landwirtschaftsminister Schwarz ( CDU ) hat kürzlich vor einem kleinen Kreis von Journalisten angekündigt er sei fest entschlossen . alle staatlichen Subventionen deT Aßrarerzeußnisse energisch abzubauen .	27	27	abbauen
vor alle aber sehen sich d Großbourgeoisie jedoch mit d wachsend Unmut d Werktätige konfrontieren $ die sich nicht lang damit abfinden wallen $ daß ihr Lebensstandard Stück für Stück abbauen werden $	Vor allem aber sieht sich die Großbourgeoisie jedoch mit dem wachsenden Unmut der Werktätigen konfrontiert , die sich nicht länger damit abfinden wallen , daß ihr Lebensstandard Stück für Stück abgebaut wird .	30	30	abbauen
so haben also offenbar unsere Bürgerrechtsbewegung d Volksmasse nicht zur Wende mobilisieren $ um d Privilegium d sed- Machtapparat abbauen $ sondern lediglich $ um neu Privilegierte zur Macht zu verhelfen $	So haben also offenbar unsere Bürgerrechtsbewegungen die Volksmassen nicht zur Wende mobilisiert , um die Privilegien des SED- Machtapparates abzubauen , sondern lediglich , um neuen Privilegierten zur Macht zu verhelfen ?	19	19	abbauen
d Land benötigen dringend Fachkraft $ denn d Abhängigkeit d Wirtschaft von Erdöl und Erdgas werden jetzt schrittweise abbauen $	Das Land benötigt dringend Fachkräfte , denn die Abhängigkeit der Wirtschaft von Erdöl und Erdgas wird jetzt schrittweise abgebaut .	18	18	abbauen
bis Ende Juni können d Rückstand bis auf etwa eine Viertelmillion abbauen werden $	Bis Ende Juni konnte der Rückstand bis auf etwa eine Viertelmillion abgebaut werden .	11	11	abbauen
anders als im Kapitalismus $ wo Roboter als $ Jobkiller $ fürchten sein $ forcieren d Werktätige hierzulande die Einsatz auch deshalb $ weil damit monoton $ wenig anspruchsvoll bzw. gesundheitsgefährdend Tätigkeit abbauen werden können $	Anders als im Kapitalismus , wo Roboter als „ Jobkiller " gefürchtet sind , forcieren die Werktätigen hierzulande deren Einsatz auch deshalb , weil damit monotone , wenig anspruchsvolle bzw. gesundheitsgefährdende Tätigkeiten abgebaut werden können .	32	32	abbauen
besondere Aufmerksamkeit werden d Anlage von neu Obstplantage für Zitrusfrucht $ Apfel Nüsse $ Kirsche und Olive schenken $ um d einheimisch Bedarf gut decken zu können und devisenabhangige Importe abbauen $	Besondere Aufmerksamkeit wird der Anlage von neuen Obstplantagen für Zitrusfrüchte , Äpfel Nüsse , Kirschen und Oliven geschenkt , um den einheimischen Bedarf besser decken zu können und devisenabhangige Importe abzubauen .	30	30	abbauen
gerade in diese Tag zeigen sich abermals besonders deutlich $ wo national Politik und wo antinational Politik machen $ wo d Demokratie konsequent entfalten und wo sie systematisch abbauen und unterhöhlen werden $	Gerade in diesen Tagen zeigte sich abermals besonders deutlich , wo nationale Politik und wo antinationale Politik gemacht , wo die Demokratie konsequent entfaltet und wo sie systematisch abgebaut und unterhöhlt wird .	28	28	abbauen
mit ihr Hilfe werden auf alle für eine hoch Ertrag ausschlaggebend Faktor Einfluß nehmen und d auf eine hoch Produktionsniveau bestehend Leistungsunterschied systematisch abbauen $	Mit ihrer Hilfe wird auf alle für einen hohen Ertrag ausschlaggebenden Faktoren Einfluß genommen und die auf einem hohen Produktionsniveau bestehenden Leistungsunterschiede systematisch abgebaut .	23	23	abbauen
d Brd-Bundestag verabschieden am Donnerstag in Bonn eine Gesetzentwurf $ mit die d zu erwartend Defizit in d Kasse d Rentenversicherung in Höhe von über 32 Milliarde DM zu Last d Rentner abbauen werden sollen $	Der BRD-Bundestag verabschiedete am Donnerstag in Bonn einen Gesetzentwurf , mit dem das zu erwartende Defizit in den Kassen der Rentenversicherung in Höhe von über 32 Milliarden DM zu Lasten der Rentner abgebaut werden soll .	32	32	abbauen
wie d Vorsitzende d staatsrates^ Genosse Walter Ulbricht $ in seine heutig Erklärung nachdrücklich unterstreichen $ sein es notwendig $ d Beziehung zwischen beide deutsch Staat zu normalisieren und d kalt Krieg endlich abbauen $	Wie der Vorsitzende des Staatsrates^ Genosse Walter Ulbricht , in seiner heutigen Erklärung nachdrücklich unterstrich . ist es notwendig , die Beziehungen zwischen beiden deutschen Staaten zu normalisieren und den kalten Krieg endlich abzubauen .	33	33	abbauen
gerade wenn wir sehen $ wie in Westdeutschland d letzte demokratisch Rechte abbauen werden $ können wir d Fortschritt in d Entwicklung Umserer sozialistisch Demokratie voll begreifen $	Gerade wenn wir sehen , wie in Westdeutschland die letzten demokratischen Rechte abgebaut werden , können wir den Fortschritt in der Entwicklung umserer sozialistischen Demokratie voll begreifen .	12	12	abbauen
neu Konzernstruktur werden nutzen $ um bereits erringen Mltbestimmungsrechte d Betriebsrat und d Gewerkschaft aushöhlen oder abbauen $	Neue Konzernstrukturen werden genutzt , um bereits errungene Mltbestimmungsrechte der Betriebsräte und der Gewerkschaften auszuhöhlen oder abzubauen .	16	16	abbauen
