sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
but now there be twelve stroke to be sound by the bell of the clock $ and thus it happen $ perhaps $ that more of think creep $ with more of time $ into the meditation of the thoughtful among those who revel $	5	0	stroke	But now there were twelve strokes to be sounded by the bell of the clock ; and thus it happened , perhaps , that more of thought crept , with more of time , into the meditations of the thoughtful among those who revelled .	fic_1855_602.txt-1945-5
shall silence him myself $ without speech or stroke from you be necessary $	8	1	stroke	shall silence him myself , without speech or stroke from you being necessary .	fic_1834_2652.txt-1829-8
stroke after stroke the heavy bell ring midnight $ and it seem $ to each of those excite mind $ as though an age elapse between each	2	3	stroke	Stroke after stroke the heavy bells rang midnight , and it seemed , to each of those excited minds , as though an age elapsed between each	fic_1853_9158.txt-3583-2
when his doom the captive heareth $ how thy summons $ stroke on stroke $ tell the fatal moment neareth $ sound like the heavy stroke distant hear ere fall the oak $	11	3	stroke	When his doom the Captive heareth , How thy summons , stroke on stroke , Tells the fatal moment neareth , Sounding like the heavy stroke Distant heard ere falls the oak !	fic_1853_9069.txt-154-11
but soon after $ death enter his household $ and in succeeding year stroke after stroke of affliction come upon him $	13	4	stroke	But soon after , death entered his household , and in succeeding years stroke after stroke of affliction came upon him .	mag_1851_566048.txt-412-13
it be force upon austria by the formidable proportion of the anti-russian alliance $ which threaten to sever from her at one stroke her italian province if she take part with the enemy $ but it will be observe $ that while lean to the side of the alliance $ she have steadily endeavor to present a minimum of opposition to russia $	22	5	stroke	It was forced upon Austria by the formidable proportions of the anti-Russian alliance , which threatened to sever from her at one stroke her Italian provinces if she took part with the enemy ; but it will be observed , that while leaning to the side of the Alliance , she has steadily endeavored to present a minimum of opposition to Russia .	mag_1856_522858.txt-209-22
the first thing that attract their attention be the sound of a bell $ which strike four stroke very distinctly $ and in a very peculiar manner $ near where the helmsman stand in steer the ship $	17	5	stroke	The first thing that attracted their attention was the sound of a bell , which struck four strokes very distinctly , and in a very peculiar manner , near where the helmsman stood in steering the ship .	fic_1853_3819.txt-945-17
whose branch gray $ hang over the pass traveler 's way $ until the woodman be echo stroke the silence of the forest break $ and fell to earth the giant oak $	17	5	stroke	whose branches gray , Hung o'er the passing traveler 's way , Until the woodman 's echoing stroke The silence of the forest broke , And felled to earth the giant oak .	fic_1855_8110.txt-557-17
with the first peep forth of the bud $ child 's face peep out too from the half-open doorway $ soon young and old laugh to see with what giant stroke nature be put on her color $ and daisy $ clover $ and scarlet anemone laugh back from every sunny slope $	30	6	stroke	With the first peeping forth of the buds , children 's faces peeped out too from the half-open doorways ; soon young and old laughed to see with what giant strokes Nature was putting on her colors ; and daisies , clover , and scarlet anemones laughed back from every sunny slope .	fic_1860_9072.txt-1823-30
for this lightning stroke that have scathed him $ for the blight and blacken of all earthly hope $ what we call language have no tint nor pencil $ $	3	6	stroke	For this lightning stroke that hath scathed him , for the blight and blackening of all earthly hope , what we call language hath no tint nor pencil . "	fic_1858_9231.txt-4046-3
