sentence_lemma	sentence_token	target_index	original_word
marmelad $ confektyrer $ kex och bisquits $ russin $ mandel och fikon $ hallon $ korsbärs $ apelsin och citron saft gurka $ syltlök och pickles $ egen inlägg $ $ $ nor af år skörd $ östgöta grön stufärter och gul kokärt $ all slag grönsak $ fogelföda m $ m $ försälja	Marmelad ; Confektyrer ; Kex och Bisquits ; Russin , Mandel och Fikon ; Hallon , Korsbärs , Apelsin- och Citron safter Gurkor ; Syltlök och Pickles , eget inlägg ; Bruna^bö ^bö nor af årets skörd ; Östgöta gröna Stufärter och gula Kokärter ; alla slags Grönsaker ; Fogelföda m . m . försäljes 	43	kokrt
till jrlsholns fattiggård under januari $ juni 1901 af följa vara af god beskaffenhet $ hvetemjöl $ rågmjöl $ risgryn $ korngryn $ kokärt $ torrfisk $ sill $ strömming $ salt och fotogén $	till JRlsholns fattiggård under januari — juni 1901 af följande varor af god beskaffenhet : hvetemjöl , rågmjöl , risgryn , korngryn , kokärter , torrfisk , sill , strömming , salt och fotogén . 	23	kokrt
vid fattigvårdsstyrelsen sammanträde $ som hålla å rådhus torsdag den 28 i denna månad $ 4 $ m $ $ förrätta proviantauktion för upphandling af $ hvetemjöl $ rågmjöl $ risgryn $ hafregryn $ kokärt $ kaffe och socker att efter rekvisition leverera vid fattighus från den 1 nästa april till den 1 därpå följa juli $	Vid fattigvårdsstyrelsens sammanträde , som hålles å Rådhuset torsdagen den 28 i denna månad kl. 4 e. m . , förrättas proviantauktion för upphandling af : hvetemjöl , rågmjöl , risgryn , hafregryn , kokärter , kaffe och socker att efter rekvisition levereras vid fattighuset från den 1 nästa April till den 1 därpå följande Juli . 	34	kokrt
men $ att leverantör må kunna lemna ved af låg dimension emot reduktion af $ pris som kvantitet $ att ved skola tråfvas till 6 fot höjd $ att proviantartiklarne $ som skola vara af fullgod beskaffenhet $ bestå af oskummad oell skumma mjölk $ sammanmalet rågmjöl $ hvetemjöl $ korngryn $ hafregryn $ kokärt $ färsk nötkött samt mjuk och torr bröd $ äfvensom hveteskorpor $ att anbud skola lämna å mjölk per liter $ å mjöl $ gryn och kokärt per 100 kilogram samt å kött och bröd per kilogram $ att mjölk och bröd skola leverera dagligen $ kött för en eller flere dag efter tillsägelse $ samt en öfrig proviantartiklarne efter rekvisition $ att öfrig vilkor vid leverans tillkännagifvas vid auktion $ samt att betalning erhålla hvar tredje månad $	men , att leverantör må kunna lemna ved af lägre dimensioner emot reduktion af såväl pris som kvantitet ; att veden skall tråfvas till 6 fots höjd ; att proviantartiklarne , som skola vara af fullgod beskaffenhet , bestå af oskummad oell skummad mjölk , sammanmalet rågmjöl , hvetemjöl , korngryn , hafregryn , kokärter , färskt nötkött samt mjukt och torrt bröd , äfvensom hveteskorpor ; att anbud skola lämnas å mjölk per liter , å mjöl , gryn och kokärter per 100 kilogram samt å kött och bröd per kilogram ; att mjölk och bröd skola levereras dagligen , kött för en eller flere dagar efter tillsägelse , samt de öfriga proviantartiklarne efter rekvisition ; att öfriga vilkor vid leveransen tillkännagifvas vid auktionen ; samt att betalning erhålles hvar tredje månad . 	54	kokrt
kokärt $ färsk nötkött samt mjuk och torr bröd $ äfvensom hreteskorpor $ att anbud skola lemnäs å mjölk per liter $ å mjöl $ gryn och kokärt por 100 kilogram samt å kött och bröd per kilogram $ att mjölk och bröd skola leverera dagligen $ kött för en eller flere dag efter tillsägelse $ samt en öfrig proviantartiklarne efter rekvisition $ att öfrig vilkor vid leverans tilltännagifvas vid auktion $ samt att betalning erhålla liva tredje månad $	kokärter , färskt nötkött samt mjukt och torrt bröd , äfvensom hreteskorpor : att anbud skola lemnäs å mjölk per liter , å mjöl , gryn och kokärter por 100 kilogram samt å kött och bröd per kilogram ; att mjölk och bröd skola levereras dagligen , kött för en eller flere dagar efter tillsägelse , samt de öfriga proviantartiklarne efter rekvisition ; att öfriga vilkor vid leveransen tilltännagifvas vid auktionen ; samt att betalning erhålles livar tredje månad . 	0	kokrt
vallgata sälja sammanmalet $ toppadt och siktadt rågmjöl från vattenqvarn samt god kokärt till billig pris $	Vallgatan säljes sammanmalet , toppadt och siktadt Rågmjöl från vattenqvarn samt goda Kokärter till billigaste priser . 	12	kokrt
att proviantartiklarne $ som skola vara af fullgod beskaffenhet $ bestå af oskummad och skumma mjölk $ sammanmalet rågmjöl $ hvetemjöl $ korngryn $ hafregryn $ kokärt $ färsk nötkött samt mjuk och torr bröd $ äfvensom hveteskorpor $ att anbud skola lämna å mjölk per liter $ å mjöl $ gryn och kokärt per 100 kilogram samt å kött och bröd per kilogram $ att mjölk ooh bröd skola leverera dagligen $ kött för en eller flere dag efter tillsägelse $ samt en öfrig proviantartiklarne efter rekvisition $ att öfrig vilkor vid leveransan tillkännagifvas vid auktion $ samt att betalning erbålles hvar tredje månad $	att proviantartiklarne , som skola vara af fullgod beskaffenhet , bestå af oskummad och skummad mjölk , sammanmalet rågmjöl , hvetemjöl , korngryn , hafregryn , kokärter , färskt nötkött samt mjukt och torrt bröd , äfvensom hveteskorpor ; att anbud skola lämnas å mjölk per liter , å mjöl , gryn och kokärter per 100 kilogram samt å kött och bröd per kilogram ; att mjölk ooh bröd skola levereras dagligen , kött för en eller flere dagar efter tillsägelse , samt de öfriga proviantartiklarne efter rekvisition ; att öfriga vilkor vid leveransan tillkännagifvas vid auktionen ; samt att betalning erbålles hvar tredje månad . 	26	kokrt
vallgata sälja sammanmalet $ toppadt och siktadt rågmjöl från vattenqvarn samt god kokärt till billig pris $	Vallgatan säljes sammanmalet , toppadt och siktadt Rågmjöl från vattenqvarn samt goda Kokärter till billigaste priser . 	12	kokrt
att proviantartiklarne $ som skola vara af fullgod beskaffenhet $ bestå af oskummad och skumma mjölk $ sammanmalet rågmjöl $ hvetemjöl $ korngryn $ hafregryn $ kokärt $ färsk nötkött samt mjuk och torr bröd $ äfvensom hveteskorpor $ att anbud skola lämna å mjölk per liter $ å mjöl $ gryn och kokärt per 100 kilogram samt å kött och bröd per kilogram $ att mjölk och bröd skola leverera dagligen $ kött för en eller flere dag efter tillsägelse $ samt en öfrig proviantartiklarne efter rekvisition $ att öfrig vilkor vid leverans tillkännagifvas vid auktion $ samt att betalning erhålla hvar tredje månad $	att proviantartiklarne , som skola vara af fullgod beskaffenhet , bestå af oskummad och skummad mjölk , sammanmalet rågmjöl , hvetemjöl , korngryn , hafregryn , kokärter , färskt nötkött samt mjukt och torrt bröd , äfvensom hveteskorpor ; att anbud skola lämnas å mjölk per liter , å mjöl , gryn och kokärter per 100 kilogram samt å kött och bröd per kilogram ; att mjölk och bröd skola levereras dagligen , kött för en eller flere dagar efter tillsägelse , samt de öfriga proviantartiklarne efter rekvisition ; att öfriga vilkor vid leveransen tillkännagifvas vid auktionen ; samt att betalning erhålles hvar tredje månad . 	26	kokrt
vallgata säljessammanmalet $ toppadt och siktadt rågmjöl från vattenqvarn samt god kokärt till billig pris $	Vallgatan säljessammanmalet , toppadt och siktadt Rågmjöl från vattenqvarn samt goda Kokärter till billigaste priser . 	11	kokrt
prima rågsikt och sammalen rågmjöl $ hvetekli och korngröpe $ urmårbt gotl a $ gul $ grön kokärt hos hj $	Prima Rågsikt och Sammalet Rågmjöl , Hvetekli och Korngröpe , urmårbt gotl a , gula o. gröna Kokärter hos Hj . 	17	kokrt
vallgata sälja sammanmalet $ toppadt och siktadt rågmjöl från vattenqvarn samt god kokärt till billig pris $	Vallgatan säljes sammanmalet , toppadt och siktadt Rågmjöl från vattenqvarn samt goda Kokärter till billigaste priser . 	12	kokrt
vallgata sälja sammanmalet $ toppadt och siktadt rågmjöl från vattenqvarn samt god kokärt till billig pris $	Vallgatan säljes sammanmalet , toppadt och siktadt Rågmjöl från vattenqvarn samt goda Kokärter till billigaste priser . 	12	kokrt
