sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
turn leave $ and drive down the gravel lane about a quarter of a mile until it dead-end at a two-story white victorian with a green roof $ a wrap-around porch $ and a windowed turret $	8	1	lane	Turn left , and drive down the gravel lane about a quarter of a mile until it dead-ends at a two-story white Victorian with a green roof , a wrap-around porch , and a windowed turret .	fic_2004_29297.txt-20-8
curvy lane sound like more of a hazard $ especially for speeder who do n't slow down just because the road curve $	1	1	lane	Curvier lanes sound like more of a hazard , especially for speeders who do n't slow down just because the road curves .	news_2007_637094.txt-45-1
as befit a new gentleman $ he apply for a coat of arm in 1612 $ carter lane $ off fleet street $ still bear his name $	17	1	lane	As befitted a new gentleman , he applied for a coat of arms in 1612 ; Carter Lane , off Fleet Street , still bears his name .	mag_1977_287957.txt-10-17
it take both of his hand to pull the careen car into his own lane $	14	1	lane	It took both of his hands to pull the careening car into his own lane .	fic_2006_30607.txt-118-14
jeff hawkins and engineer tony brownell back their engine into the driveway of a mobile home off tim tam lane $ a gravel road traverse the ridge north of miller peak $	19	1	lane	Jeff Hawkins and Engineer Tony Brownell back their engines into the driveway of a mobile home off Tim Tam Lane , a gravel road traversing the ridge north of Miller Peak .	news_2001_661930.txt-66-19
reunion in the latter two last week bring out more than 300 present and former bunny for a final hop down memory lane $ $	22	1	lane	Reunions in the latter two last week brought out more than 300 present and former bunnies for a final hop down memory lane . "	mag_1986_332451.txt-4-22
the stroke happen as he turn from a feeder lane onto an eight-lane highway $	9	1	lane	The stroke happened as he turned from a feeder lane onto an eight-lane highway .	fic_1986_23984.txt-75-9
they have us down to one lane for repair $	6	1	lane	They have us down to one lane for repairs .	fic_2009_36491.txt-72-6
so he stop $ on the pavement since there be no shoulder $ and all four pile onto the opposite lane $	20	1	lane	So he stopped -- on the pavement since there was no shoulder -- and all four piled onto the opposite lane .	fic_1969_23865.txt-466-20
be take a have beat and dan pull over under a dark lane of tree $	12	1	lane	was taking a had beating and Dan pulled over under a dark lane of trees .	fic_1964_23808.txt-326-12
