sentence_lemma	sentence_token	index_lemma	index_token	lemma
military justice must be military -- a disciplinary prop $	Military justice must be military -- a disciplinary prop .	8	8	prop
.... eat at until i be an empty shell $ until i have no prop leave $ until i want to die then and there $ until i figure i have to die ....	... eating at until I was an empty shell , until I had no props left , until I wanted to die then and there , until I figured I had to die ...	14	14	prop
perhaps the most revolutionary breakthrough in this field be the development of hydraulic prop to replace the old wooden pillar $	Perhaps the most revolutionary breakthrough in this field is the development of hydraulic props to replace the old wooden pillars .	13	13	prop
p210 back in his tokyo apartment $ toshi prop the snapshot up and he draw his father $	| Back in his Tokyo apartment , Toshi props the snapshot up and he draws his father .	8	8	prop
then $ the theory go $ pressure on the dollar might ease $ and the us currency would find and hold its prop &; value in relation to other currency of the world $	Then , the theory goes , pressure on the dollar might ease , and the US currency would find and hold its prop &; value in relation to other currencies of the world .	22	22	prop
lower pitch usually raise engine rpm $ so 25- or 24-inch-pitch prop would likely have result in more rpm and more mph than our 26-inch prop $	Lowering pitch usually raises engine rpm , so 25- or 24-inch-pitch props would likely have resulted in more rpm and more mph than our 26-inch props .	11	11	prop
the helper prop the sign against the wall $ lift a box and turn for his trip below $ leave the poster grin behind him $	THE HELPER props the sign against the wall , lifts a box and turns for his trip below , leaving the poster grinning behind him .	2	2	prop
family -- that agreement would be view as little more than capitalist greed $ a prop for the regime and reinforcement of the shame feel by those who support us $	families -- that agreement would be viewed as little more than capitalist greed , a prop for the regime and reinforcement of the shame felt by those who supported us .	15	15	prop
typically $ high-ranking latin churchman mute their protest $ some be merely prop of their regime $	Typically , high-ranking Latin churchmen mute their protests ; some are merely props of their regimes .	12	12	prop
his job be just to be the medium $ to keep the client talk $ to bring him back when he ramble or become incoherent $ to be his sole friend and his sole prop in this unreal universe $ the one who bring the truth forth $ like john chancellor of ottawa $ who be he $	His job was just to be the medium , to keep the client talking , to bring him back when he rambled or became incoherent , to be his sole friend and his sole prop in this unreal universe , the one who brought the truth forth -- like John Chancellor of Ottawa , who's he ?	34	34	prop
even beckett be overshadow here $ for he lack california as a prop $	Even Beckett is overshadowed here , for he lacks California as a prop .	12	12	prop
but soon wolfie be see leap up and down $ crank the prop by hand $	But soon Wolfie was seen leaping up and down , cranking the prop by hand .	12	12	prop
perhaps it be the extraordinary freshness and clarity to the air at this hour which make for the impression $ or the fact that the few prop which comprise the spare landscape of sea $ sand $ and hill stand out then in such startling relief $	Perhaps it was the extraordinary freshness and clarity to the air at this hour which made for the impression , or the fact that the few props which comprised the spare landscape of sea , sand , and hill stood out then in such startling relief .	26	26	prop
prop $ still try to locate them in a life that have nothing but itself to consider $	props , still tried to locate them in a life that had nothing but itself to consider .	0	0	prop
they pass a group of gray ruin in a hollow $ where the headlight sweep over another mass of rock resist by angular prop broaden to shield at the top and anchor to the ground by hook $	They passed a group of gray ruins in a hollow , where the headlights swept over another mass of rock resisted by angular props broadening to shields at the top and anchored to the ground by hooks .	23	23	prop
this process of adjustment from within be halt in 1874 by military defeat at the hand of the british $ which remove the prop that uphold asante's success $ end the slave trade to the south and encouraging tributary state on the periphery to break away $	This process of adjustment from within was halted in 1874 by military defeat at the hands of the British , which removed the props that upheld Asante's success , ending the slave trade to the south and encouraging tributary states on the periphery to break away .	23	23	prop
and $ primarily $ it have always be the experimentation that have be the purpose of bend consultant $ the consulting end of the business have always be a monetary prop for	And , primarily , it had always been the experimentation that had been the purpose of Bending Consultants ; the consulting end of the business had always been a monetary prop for	30	30	prop
if they be wear for any length of time $ the abdominal muscle $ a key prop for the spine $ be likely to weaken $ and the chance of back injury may increase $	If they are worn for any length of time , the abdominal muscles , a key prop for the spine , are likely to weaken , and the chances of back injury may increase .	16	16	prop
in six month she have go from be a woman with a job and a little apartment and all the normal wardrobe and item -- clock radio $ electric toothbrush $ microwave -- that she have take for grant as prop of any normal life $ to be a woman with a small suitcase she lug about with her and a large fabric carryall $	In six months she had gone from being a woman with a job and a little apartment and all the normal wardrobe and items -- clock radio , electric toothbrush , microwave -- that she had taken for granted as props of any normal life , to being a woman with a small suitcase she lugged about with her and a large fabric carryall .	40	40	prop
employment and spend by state and local government keep a sturdy prop under the national economy during many previous recession $ but now they too be fall $ in part because reagan's budget cut have reduce the flow of federal cash $	Employment and spending by state and local governments kept a sturdy prop under the national economy during many previous recessions , but now they too are falling , in part because Reagan's budget cuts have reduced the flow of federal cash .	11	11	prop
without the prop of day i may sink beneath the surface of muteness into an autism of be $	Without the props of day I may sink beneath the surface of muteness into an autism of being .	2	2	prop
they hope the high prop will keep market price at a profitable level $	they hope the higher props will keep market prices at a profitable level .	4	4	prop
let him know that there be no limit to where nature can take you $ and that where love be concerned $ no prop be need $	Let him know that there's no limit to where nature can take you , and that where love's concerned , no props are needed .	23	21	prop
at the height of saturday's shop activity here $ a 28-year-old man name klaus don his ronald reagan prop $	At the height of Saturday's shopping activity here , a 28-year-old man named Klaus donned his Ronald Reagan props ?	18	18	prop
i have seek that moment out $ or it have seek me $ and i see him stand without prop in the deepen twilight $ ask his father's friend to renounce the vengeance that a few hour before he himself have be furious to exact $	I have sought that moment out , or it has sought me , and I see him standing without prop in the deepening twilight , asking his father's friends to renounce the vengeance that a few hours before he himself had been furious to exact .	19	19	prop
