sentence_lemma	sentence_token	target_index	original_word
um so deutlich artikulieren sich in d Werken und Schrift vom Altertum bis in unsere Zeit d Friedenssehnsucht $	Um so deutlicher artikuliert sich in den Werken und Schriften vom Altertum bis in unsere Zeit die Friedenssehnsucht .	3	artikulieren
d transparent gefaßt Miniatur voll ironisch Esprit und musikantisch Elan sein einfach lustvoll anhören $ wenn sie auch eine wenig zu sanft artikulieren erscheinen $	Die transparent gefaßten Miniaturen voll ironischem Esprit und musikantischem Elan waren einfach lustvoll anzuhören , wenn sie auch ein wenig zu sanft artikuliert erschienen .	22	artikulieren
diese Freude artikulieren sich musikalisch mit ernst Stimme in zwei $ Reflexion $ $ die jeweils mit $ These $ $ Ausdruck humanitär Ringen $ und $ Antithese $ $ stellevertretend für barbarisch Zerstörungsdrang $ verbinden sein $	Diese Freude artikuliert sich musikalisch mit ernster Stimme in zwei „ Reflexionen " , die jeweils mit „ These " , Ausdruck humanitären Ringens , und „ Antithese " , stellvertretend für barbarischen Zerstörungsdrang , verbunden sind .	2	artikulieren
als Wegbereiter d sowjetisch Reportagefotografie erklären sie sich in eine d sozial Inhalt d neu Epoche erschließend Fotografie $ die sich in nüchtern wie fotoästhetisch verdichtet Bildsprache zum Zwecke öffentlich Mitteilung artikulieren $	Als Wegbereiter der sowjetischen Reportagefotografie erklären sie sich in einer den sozialen Inhalt der neuen Epoche erschließenden Fotografie , die sich in nüchterner wie fotoästhetisch verdichteter Bildsprache zum Zwecke öffentlicher Mitteilung artikuliert .	31	artikulieren
$ d Regierung müssen sich endlich klar artikulieren $ wie es weitergehen sollen $ $ verlangen d Lpg-Vorsitzende $	„ Die Regierung muß sich endlich klar artikulieren , wie es weitergehen soll " , verlangt der LPG-Vorsitzende .	7	artikulieren
Recht genau entsprechen d Konvent d Vorstellung jenei Gruppierung d amerikanisch Bourgeoisie $ die sich am 10. August im börsen- und Finanzblatt $ Wall Street Journal $ zu ihr Vorstellung eine Präsident artikulieren haben $	Recht genau entsprach der Konvent den Vorstellungen jenei Gruppierung der amerikanischen Bourgeoisie , die sich am 10. August im Börsen- und Finanzblatt „ Wall Street Journal " zu ihren Vorstellungen eines Präsidenten artikuliert hatte .	32	artikulieren
schon im Frühwerk d Künstler artikulieren sich eine sozial und politisch Gewissen $	Schon im Frühwerk des Künstlers artikulierte sich ein soziales und politisches Gewissen .	5	artikulieren
da spüren man sofort $ daß alt Musik sehr lebendig und überzeugend wirken können $ wenn sie so engagiert und stilkundig $ so klar artikulieren und dynamisch lebendig $ also insgesamt mit soviel außergewöhnlich interpretatorisch Qualität darbieten werden $	Da spürte man sofort , daß alte Musik sehr lebendig und überzeugend wirken kann , wenn sie so engagiert und stilkundig , so klar artikuliert und dynamisch lebendig , also insgesamt mit soviel außergewöhnlicher interpretatorischer Qualität dargeboten wird .	24	artikulieren
alsbald werden klar $ daß Jula $ die bereits in handgeschreiben Schülerzeitung sein Schreibtalent beweisen haben $ d Forderung $ Vorstellung und Idee d Arbeiterpartei am wirkungsvoll im gedruckt Wort zu artikulieren vermögen $	Alsbald wird klar , daß Jula , der bereits in handgeschriebenen Schülerzeitungen sein Schreibtalent bewiesen hatte , die Forderungen , Vorstellungen und Ideen der Arbeiterpartei am wirkungsvollsten im gedruckten Wort zu artikulieren vermag .	31	artikulieren
Empörung und Angst um d Arbeitsplatz werden ebenso vom Publikum artikulieren $ wie Protest gegen d Praxis d sogenannt Abwicklungsverfahren $	Empörung und Ängste um den Arbeitsplatz wurden ebenso vom Publikum artikuliert , wie Proteste gegen die Praxis des sogenannten Abwicklungsverfahrens .	10	artikulieren
