sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
zur Schmiere im Winter werden 4 Gallons oder 30 ℔ Fischtran mit 26 ℔ russisch Talg schmelzen $ diese Schmiere sein daher flüssig als d erst $ und haben d Konsistenz wie beiläufig unsere Schmalz $	19	0	Schmiere	Zur Schmiere im Winter werden 4 gallons oder 30 ℔ Fischthran mit 26 ℔ russischem Talg geschmolzen ; diese Schmiere ist daher flüssiger als die erste , und hat die Consistenz wie beiläufig unser Schmalz .	gerstner_mechanik01_1831-10932-19
d Schmiere $ welche hier in flüssig Öl bestehen $ werden durch d mit eine Schraube gewöhnlich geschließen Öffnung b eingießen und verteilen sich auf d ganz Länge d Achse $ damit aber d Rad von d Achse nicht ablaufen können $ sein d letztere wie Fig. 3 zeigen $ von a bis n abdrehen und es werden zwei 6 Zoll hoch und ½ Zoll dick gußeisern Platte $ $ Fig. 4 und 5 $ mit d Schnitte abwechseln auf einander legen $ zur gut Haltung Filz zwischen diese Platte und d Rad einlegen und d Ganze mit 4 Schraube an d Rad befestigen $	1	0	Schmiere	Die Schmiere , welche hier in flüssigem Oehl besteht , wird durch die mit einer Schraube gewöhnlich geschlossene Oeffnung B eingegossen und vertheilt sich auf der ganzen Länge der Achse ; damit aber das Rad von der Achse nicht ablaufen könne , ist die letztere wie Fig. 3 zeigt , von A bis n abgedreht und es werden zwei 6 Zoll hohe und ½ Zoll dicke gusseiserne Platten , ( Fig. 4 und 5 ) mit den Schnitten abwechselnd auf einander gelegt , zur bessern Haltung Filze zwischen diese Platten und das Rad eingelegt und das Ganze mit 4 Schrauben an das Rad befestigt .	gerstner_mechanik01_1831-11038-1
als Hilfesstoff erscheinen z. B. d Feuerungsmaterial und Kühlapparat in chemisch Gewerk $ d Öl und Fett zum Schmiere d Maschine $ d mannigfach Zusatz zur Bewirkung von Stoffauflösung und Verbindung $ so wie zur Einleitung von Gehrung u. s. W $	18	0	Schmiere	Als Hilfsſtoffe erſcheinen z. B. die Feuerungsmaterialien und Kühlapparate in chemiſchen Gewerken ; das Oel und Fett zum Schmieren der Maſchinen ; die manchfachen Zuſätze zur Bewirkung von Stoffauflöſungen und Verbindungen , ſo wie zur Einleitung von Gährungen u. ſ. w .	baumstark_encyclopaedie_1835-8709-18
Ente und Gans sehen man oft stundenlang beschäftigen $ mit d Schnabel zuerst etwas Schmiere aus diese Bürzeldrüse auspressen und dann d einzeln Feder gleichsam durchkauen und sie so einölen $	14	0	Schmiere	Enten und Gänſe ſieht man oft ſtundenlang beſchäftigt , mit dem Schnabel zuerſt etwas Schmiere aus dieſer Bürzeldrüſe auszupreſſen und dann die einzelnen Federn gleichſam durchzukauen und ſie ſo einzuölen .	vogt_briefe02_1851-3390-14
zum Schmiere dieselbe werden immer eine ziemlich Posten Fett gebrauchen $	1	0	Schmiere	Zum Schmieren derselben wurde immer ein ziemlicher Posten Fett gebraucht .	beck_eisen02_1895-12385-1
zur Schmiere im Sommer nehmen man 3 Gallons oder 221/2 ℔ grönländisch Fischtran und mischen er mit 33 ℔ russisch Talg $ d Maß werden auf eine schwach Feuer bloß schmelzen $ ohne in Südenhitze zu kommen $ und dann in eine Gefäß gießen $	1	0	Schmiere	Zur Schmiere im Sommer nimmt man 3 gallons oder 22½ ℔ grönländischen Fischthran und mischt ihn mit 33 ℔ russischem Talg ; die Masse wird auf einem schwachen Feuer bloss geschmolzen , ohne in Südhitze zu kommen , und dann in ein Gefäss gegossen .	gerstner_mechanik01_1831-10931-1
d Familie d Stinkratz $ Viverrida $ bestehen aus langgestreckt $ spitzschnauzig Tier $ mit lang Schwanz und kurz Fuß $ welche vorn und hinten eine gleich Anzahl von zehn $ vier oder fünf besitzen und in ähnlich Weise wie d Hyäne in d Gegend d After oder d Geschlechtsteil eine Drüsentasche haben $ welche eine stark riechend Schmiere absondern $ die bei einige zum Arzneigebrauch verwenden werden $	58	0	Schmiere	Die Familie der Stinkratzen ( Viverrida ) beſteht aus langgeſtreckten , ſpitzſchnauzigen Thieren , mit langem Schwanze und kurzen Füßen , welche vorn und hinten eine gleiche Anzahl von Zehen , vier oder fünf beſitzen und in ähnlicher Weiſe wie die Hyänen in der Gegend des Afters oder der Geſchlechtstheile eine Drüſentaſche haben , welche eine ſtark riechende Schmiere abſondert , die bei einigen zum Arzneigebrauche verwendet wird .	vogt_briefe02_1851-5257-58
diese Schmiere werden von gelb $ plattgedrückt Drüse absondern $ welche sich im Gesicht zwischen d Nasenloch und Auge befinden und eine oder mehrere Ausführungskanal besitzen $	1	0	Schmiere	Dieſe Schmiere wird von gelben , plattgedrückten Drüſen abgeſondert , welche ſich im Geſicht zwiſchen den Naſenlöchern und Augen befinden und einen oder mehrere Ausführungskanäle beſitzen .	brehm_thierleben01_1864-4640-1
so werden z. B. alle Liedrunge eine bis drei Tag vorher erneuern $ d verschieden Schmiere eben so einige Zeit vorher aufstreichen $ d Wasserzugang genau regulieren $ und d Meßapparat zu handhaben einüben u. s. W. hierauf messen man mittels kubisch Kasten alle einzeln Wasserzugang und reguliert nun d Gang d Maschine dergestalt $ dass alle $ an verschieden Punkt zudringend Grundwasser wegheben werden $	15	0	Schmiere	So wurden z. B. alle Liederungen einen bis drei Tage vorher erneuert , die verschiedenen Schmieren eben so einige Zeit vorher aufgestrichen , die Wasserzugänge genau regulirt , und die Messapparate zu handhaben eingeübt u. s. w. Hierauf maass man mittelst kubischer Kästen alle einzelnen Wasserzugänge und regulirte nun den Gang der Maschine dergestalt , dass alle , an verschiedenen Punkten zudringende Grundwässer weggehoben wurden .	gerstner_mechanik03_1834-8218-15
damals wissen ich $ als ich d Brunnen so gut tun $ hier bringen ich keine zehn Pferd weg und richtig $ keine vier Woche vergehen $ da sein meine Schmiere auflösen $	30	0	Schmiere	Damals wußte ich , als mir der Brunnen ſo gut that : hier bringen mich keine zehn Pferde weg und richtig , keine vier Wochen vergingen , da war meine Schmiere aufgelöſt .	hauptmann_henschel_1899-2305-30
d vorteilhaft Fall finden dann statt $ wenn sich d Schmiere immer wieder erneuern $ wie z. B. bei eine Wagenrad $ wo d fest Achse bei d Umdrehung d Büchse fortwähren eine ander Punkt dieselbe berühren $	10	0	Schmiere	Der vortheilhafteste Fall findet dann statt , wenn sich die Schmiere immer wieder erneuert , wie z. B. bei einem Wagenrade , wo die feste Achse bei der Umdrehung der Büchse fortwährend einen andern Punkt derselben berührt .	gerstner_mechanik01_1831-9112-10
da ferner d eisern Kronrad C beständig mit Schmiere begießen werden $ so sein unter denselben eine Blechkasten zum Sammeln d herabträufeln Schmiere aufstellen und außerdem setzen man in diese Kasten zu jede Seite eine Blech bis zur Höhe d ober Getriebe auf $ damit d Schmiere nicht hinausspritzen $	8	0	Schmiere	Da ferner die eisernen Kronräder C beständig mit Schmiere begossen werden , so ist unter denselben ein Blechkasten zum Sammeln der herabträufelnden Schmiere aufgestellt und ausserdem setzt man in diesen Kasten zu jeder Seite ein Blech bis zur Höhe des obern Getriebes auf , damit die Schmiere nicht hinausspritzt .	gerstner_mechanik03_1834-11166-8
auf d Wide open Eisenbahn brauchen man 2erlei Schmiere im Sommer und Winter $	8	0	Schmiere	Auf der Wide open Eisenbahn braucht man 2erlei Schmiere im Sommer und Winter .	gerstner_mechanik01_1831-10930-8
bei Metall hingegen sein d anwendbar Schmiere zur Verminderung d Widerstand d Reibung d Öl $ jedoch müssen diese ganz rein und frisch $ und nicht ranzig oder oxidieren sein $ weil es sonst d Metall angreifen und diese rosten $	6	0	Schmiere	Bei Metallen hingegen ist die anwendbarste Schmiere zur Verminderung des Widerstandes der Reibung das Oehl , jedoch muss diess ganz rein und frisch , und nicht ranzig oder oxydirt seyn , weil es sonst die Metalle angreift und diese rosten .	gerstner_mechanik01_1831-9109-6
um d erstere zu vermeiden $ haben man in d letztere Jahr d Lager von unten mit Holz schließen $ in welche d Achse laufen $ und man haben von oben eine Öffnung anbringen $ wodurch d flüssig Schmiere auf d Achse zuführen werden $ allein diese Lager $ welche auch auf d budeweise Bahn einführen werden $ haben noch nicht alle Forderung erfüllen $	38	0	Schmiere	Um das erstere zu vermeiden , hat man in den letztern Jahren die Lager von unten mit Holz geschlossen , in welchem die Achse lief , und man hat von oben eine Oeffnung angebracht , wodurch die flüssige Schmiere auf die Achse zugeführt wurde , allein diese Lager , welche auch auf der Budweiser Bahn eingeführt wurden , haben noch nicht alle Forderungen erfüllt .	gerstner_mechanik01_1831-10824-38
immer fühlen sich jedoch d Stück außerordentlich fettig an $ so daß man d zu Mehl gereiben Material zum Schmiere von Holzmaschine $ Glätten d Leder etc. anwenden können $	19	0	Schmiere	Immer fühlen ſich jedoch die Stücke außerordentlich fettig an , ſo daß man das zu Mehl geriebene Material zum Schmieren von Holzmaſchinen , Glätten des Leders ꝛc. anwenden kann .	quenstedt_mineralogie_1854-4135-19
außer sie müssen wir noch eine besondere Absonderungsorgan gedenken $ d sogenannt Bürzeldrüse $ welche in d äußer Haut auf d Rücken d Schwanz unmittelbar an d Steuerfeder dieselbe liegen und eine fettig Schmiere absondern $ womit d Vogel ihr Feder einölen pflegen $	33	0	Schmiere	Außer ihnen müſſen wir noch eines beſonderen Abſonderungsorganes gedenken , der ſogenannten Bürzeldrüſe , welche in der äußeren Haut auf dem Rücken des Schwanzes unmittelbar an den Steuerfedern deſſelben liegt und eine fettige Schmiere abſondert , womit die Vögel ihre Federn einzuölen pflegen .	vogt_briefe02_1851-3388-33
du weißen ja $ sagen er $ Schmiere und Salbe helfen allenthalben $	7	0	Schmiere	Du weißt ja , ſagte er , Schmieren und Salben hilft allenthalben .	kurz_sonnenwirth_1855-3945-7
d Achse $ welche in d Lager Fig. 13 und 14 laufen $ werden gewöhnlich von unten schmieren $ allein man sehen leicht $ dass hierdurch Schmiere verlieren gehen $ und bei bedeutend Transport auch viel Zeit zum Schmiere d Wagen erfordern werden $	26	0	Schmiere	Die Achsen , welche in den Lagern Fig. 13 und 14 laufen , werden gewöhnlich von unten geschmiert , allein man sieht leicht , dass hiedurch Schmiere verloren geht , und bei bedeutenden Transporten auch viel Zeit zum Schmieren der Wägen erfordert wird .	gerstner_mechanik01_1831-10823-26
diese trocken Qualm sein ich nicht wenige zuwider als d vorher angewendet Schmiere $ und ich suchen d Atem so lange anhalten $ bis d arg Dunst sich verziehen $	12	0	Schmiere	Dieser trockne Qualm war mir nicht weniger zuwider als die vorher angewendete Schmiere , und ich suchte den Athem so lange anzuhalten , bis der ärgste Dunst sich verzogen .	parthey_jugenderinnerungen01_1871-367-12
d Beschwerde d Säuberung scheinen sich zu lohnen $ denn zuckersüß sein d Schmiere $ welche d Körper bedecken $	13	0	Schmiere	Die Beſchwerde der Säuberung ſchien ſich zu lohnen , denn zuckerſüß war die Schmiere , welche den Körper bedeckte .	brehm_thierleben01_1864-2353-13
am after befinden sich eine Drüsentasche $ die eine stinkig Schmiere absondern $	10	0	Schmiere	Am After befindet ſich eine Drüſentaſche , die eine ſtinkige Schmiere abſondert .	vogt_briefe02_1851-5243-10
außer diese Oberhautgebilde finden sich in d Haut d Säugetier fast überall Schweißdrüse $ aus eine eng geschlängelt Ausführungsgang bestehend $ die in d Tiefe d Haut mit eine Drüsenknäuel zusammenhängen $ und weit Talgdrüse $ die eine mehr oder minder fettig Schmiere absondern und gewöhnlich d Art in d Haarbalge einmünden $ daß d Haar von ihr Sekret einölen werden $	42	0	Schmiere	Außer dieſen Oberhautgebilden finden ſich in der Haut der Säugethiere faſt überall Schweißdrüſen , aus einem engen geſchlängelten Ausführungsgange beſtehend , der in der Tiefe der Haut mit einem Drüſenknäuel zuſammenhängt , und weitere Talgdrüſen , die eine mehr oder minder fettige Schmiere abſondern und gewöhnlich der Art in die Haarbälge einmünden , daß das Haar von ihrem Sekrete eingeölt wird .	vogt_briefe02_1851-4078-42
d Zapfenlager von Gußeisen wiegen 93 Böhm. Pfund $ es sein d ganz Breite nach mit eine halbzirkelförmig Höhlung für d Zapfen versehen $ oben sein d Ecke stumpf wegnehmen $ damit d Schmiere $ welche immer bei d Ecke herausdrängen werden $ wieder herablaufen können $	33	0	Schmiere	Das Zapfenlager von Gusseisen wiegt 93 böhm. Pfund ; es ist der ganzen Breite nach mit einer halbzirkelförmigen Höhlung für den Zapfen versehen , oben sind die Ecken stumpf weggenommen , damit die Schmiere , welche immer bei den Ecken herausgedrängt wird , wieder herablaufen könne .	gerstner_mechanik03_1834-10183-33
zur Schmiere im Winter werden 4 Gallons oder 30 ℔ Fischtran mit 26 ℔ russisch Talg schmelzen $ diese Schmiere sein daher flüssig als d erst $ und haben d Konsistenz wie beiläufig unsere Schmalz $	1	0	Schmiere	Zur Schmiere im Winter werden 4 gallons oder 30 ℔ Fischthran mit 26 ℔ russischem Talg geschmolzen ; diese Schmiere ist daher flüssiger als die erste , und hat die Consistenz wie beiläufig unser Schmalz .	gerstner_mechanik01_1831-10932-1
werden zweckmässig Schmiere zwischen poliert Fläche legen $ oder vielmehr diese Schmiere in d Körper einreiben $ so werden d Widerstand d Reibung bedeutend vermindern $ indem d Schmiere d Höhlung d polieren Fläche ausfüllen $ und diese Fläche gleichsam in einige Entfernung von einander halten $ wodurch dann d wechselseitig Eingreifen d hervorragend Teilchen beide Fläche in einander vermindern werden $	11	0	Schmiere	Werden zweckmässige Schmieren zwischen polirte Flächen gelegt , oder vielmehr diese Schmieren in die Körper eingerieben , so wird der Widerstand der Reibung bedeutend vermindert , indem die Schmiere die Höhlungen der polirten Flächen ausfüllt , und diese Flächen gleichsam in einiger Entfernung von einander hält , wodurch dann das wechselseitige Eingreifen der hervorragenden Theilchen beider Flächen in einander vermindert wird .	gerstner_mechanik01_1831-9106-11
anstatt d Leute hier eine Wunde mit lau Wasser und gezupft Leinen rein halten tun $ kleben sie allerlei Schmiere und Salbe hinein $	19	0	Schmiere	Anſtatt die Leute hier eine Wunde mit lauem Waſſer und gezupften Leinen rein halten thäten , kleben ſie allerlei Schmieren und Salben hinein .	rosegger_waldschulmeister_1875-2036-19
da solch Rad bei d Bewegung d Wagen auf d Achse immer hin und her schwanken $ so können man wegen d notwendig Spielraum keine flüssig Schmiere anwenden $ und auch d gewöhnlich Schmiere gehen sehr schnell verlieren $	33	0	Schmiere	Da solche Räder bei der Bewegung des Wagens auf den Achsen immer hin und her schwanken , so kann man wegen des nothwendigen Spielraumes keine flüssige Schmiere anwenden , und auch die gewöhnliche Schmiere geht sehr schnell verloren .	gerstner_mechanik01_1831-10633-33
d Schmiere d Wagen werden auf verschieden Art in England bereiten $ und gegenwärtig liefern d meiste Kontrahent $ welche für d Transport auf d Bahn nach d Tonne und Meile zahlen werden $ d Schmiere selbst $	1	0	Schmiere	Die Schmiere der Wägen wird auf verschiedene Art in England bereitet , und gegenwärtig liefern die meisten Kontrahenten , welche für den Transport auf der Bahn nach der Tonne und Meile gezahlt werden , die Schmiere selbst .	gerstner_mechanik01_1831-10925-1
werden zweckmässig Schmiere zwischen poliert Fläche legen $ oder vielmehr diese Schmiere in d Körper einreiben $ so werden d Widerstand d Reibung bedeutend vermindern $ indem d Schmiere d Höhlung d polieren Fläche ausfüllen $ und diese Fläche gleichsam in einige Entfernung von einander halten $ wodurch dann d wechselseitig Eingreifen d hervorragend Teilchen beide Fläche in einander vermindern werden $	28	0	Schmiere	Werden zweckmässige Schmieren zwischen polirte Flächen gelegt , oder vielmehr diese Schmieren in die Körper eingerieben , so wird der Widerstand der Reibung bedeutend vermindert , indem die Schmiere die Höhlungen der polirten Flächen ausfüllt , und diese Flächen gleichsam in einiger Entfernung von einander hält , wodurch dann das wechselseitige Eingreifen der hervorragenden Theilchen beider Flächen in einander vermindert wird .	gerstner_mechanik01_1831-9106-28
um d Leder durchaus weich $ geschmeidig und wasserdicht zu machen und so zu erhalten $ inmitten d hart Prüfung durch Regen $ Eiswasser und Sonnenglut $ genügen nicht eine flüchtig Bestreichung $ sondern es müssen mit sogenannt Schmiere bis zur Sättigung einreiben und d Verfahren dann und wann wiederholt werden $ zu welchem Behuf man etwas davon bei sich führen $	38	0	Schmiere	Um das Leder durchaus weich , geſchmeidig und waſſerdicht zu machen und ſo zu erhalten , inmitten der härteſten Prüfungen durch Regen , Eiswaſſer und Sonnenglut , genügt nicht eine flüchtige Beſtreichung , ſondern es muß mit ſogenannter Schmiere bis zur Sättigung eingerieben und das Verfahren dann und wann wiederholt werden , zu welchem Behufe man etwas davon bei ſich führt .	michelis_reiseschule_1869-635-38
man sein nun auch bemüht $ solch Lager zu konstruieren $ bei welchen d Schmiere so wenig als möglich verlieren gehen $	14	0	Schmiere	Man war nun auch bemüht , solche Lager zu konstruiren , bei welchen die Schmiere so wenig als möglich verloren geht .	gerstner_mechanik01_1831-10822-14
