sentence_lemma	sentence_token	index_lemma	index_token	lemma
stund på vanlig så $ sedan rycka pojkaree fram och börja af all kraft bearbeta klocka med stor påk eller dertill särskildt förfärdiga $ kim $ klubba $	stund på vanligt sått , sedan ryckte pojkaree fram och började af alla krafter bearbeta klockorna med stora påkar eller dertill särskildt förfärdigade » kim ( klubbor . 	14	14	bearbeta
såning på kalljord af en mången kök och bloinsterväxler foreta $ så snar jord tor kal så mycket $ att bo bli full tjenlig att bearbeta $ detia må nu inträffa i denna eller nästa månad $	Såning på kalljord af de flesta köks- och bloinsterväxler foretages , så snart jorden tor kal så mycket , att bon blir fullt tjenlig att bearbetas , detia må nu inträffa i denna eller nästa månad . 	25	25	bearbeta
enär särflilda mafliuer erfordra sör fiber wldare bearbeta och sädana icke löna sig att anflaffa $ förrän niinst 10 torfkolsfabriker komi i $ verksamhet $ skola fiber tills widare exportera $	Enär särflilda mafliuer erfordras sör fibrernas wldare bearbetande och sädana icke löna sig att anflaffa , förrän niinst 10 torfkolsfabriker komina i » verksamhet , skola fibrerna tills widare exporteras . 	7	7	bearbeta
$ utbröto först i provins matanzas och derpä i santiago de cuba $ men af underrättelse $ som nu ingå frän provins santa clara och pina del rio $ sramgär $ att hel ö bliswit planmessig bearbeta af en upprorifle $ som ha för afsigt att pä en gäng börja en gemensam anfall $	©roligheterna utbröto först i provinsen Matanzas och derpä i Santiago de Cuba , men af underrättelser , som nu ingått frän provinserna Santa Clara och Pinar del Rio , sramgär , att hela ön bliswit planmessigt bearbetad af de upprorifle , som haft för afsigt att pä en gäng börja ett gemensamt anfall . 	36	36	bearbeta
statistisk centralbyrå $ som ha motta och bearbeta all folkräkningsuppgift och förteckning samt att pröfva i hvad mån utdrag ur den till församlingsbok höra fastighetslängd böra infordra $ skola ega att vidta en åtgärd och meddela en nära föreskrift $ som för folkräkning ändamålsenlig förbereda och utföra kunna finna erforderlig $	Statistiska centralbyrån , som har mottaga och bearbeta alla folkräkningsuppgifter och förteckningar samt att pröfva i hvad mån utdrag ur den till församlingsboken hörande fastighetslängden bör infordras , skall ega att vidtaga de åtgärder och meddela de närmare föreskrifter , som för folkräkningens ändamålsenliga förberedande och utförande kunna finnas erforderliga . 	7	7	bearbeta
denna pågå $ skola jag bearbeta både den ena och andra $	denna pågår , skall jag bearbeta både den ene och andre . 	5	5	bearbeta
örn förkunskaper i fältmätning och afvägning stå i nära sammanhang med den förhållande $ att $ under förutsättning att termin börja i november $ $ $ en praktisk ölningarna pä fält måste vara afslutade redan under en första vecka af termin $ dels med anledning däraf $ att den relativ blid tid af vinterhalfåret vid denna öfning måste begagna $ dels emedan de på fält erhålla resultat af mätning och afvägning sedan skola under termin lopp bearbeta af lärjunge till karta $ afväguingsprofiler m $ m $ $ jag vilja för egen elei tillägga $ alt enär inträdesålder vid landtmannaskolan böra sätta i regel till liten 19 år $ så hafva flera år förgå $ sedan yngling sluta folkskola och under denna mellantid antagligen hinna glömma mycket $ hvadan man således icke kunna lägga eli afgångsbetyg från folkskola som tillräcklig grund för inträde vid landtmannaskolan $	örn förkunskaper i fältmätning och afvägning står i närmaste sammanhang med det förhållandet , att , under förutsättning att terminen börjar i november * . , de praktiska ölningarna pä fältet måste vara afslutade redan under de första veckorna af terminen , dels med anledning däraf , att den relativt blidaste tiden af vinterhalfåret vid dessa öfningar måste begagnas , dels emedan de på fältet erhållna resultaten af mätningen och afvägningen sedan skola under terminens lopp bearbetas af lärjungen till kartor , afväguingsprofiler m . m . ” Jag vill för egen elei tillägga , alt enär inträdesåldern vid landtmannaskolan bör sättas i regeln till minst 19 år , så hafva flera år förgått , sedan ynglingen slutade folkskolan och under denna mellantid antagligen hunnit glömma mycket , hvadan man således icke kan lägga eli afgångsbetyg från folkskolan som tillräcklig grund för inträde vid landtmannaskolan . 	76	76	bearbeta
$ den vara inte ofta fransman resa öfver hit bara för sig nöje skulle $ anmärka do $ othy i spefull ton $ all under den hon med stålvisp fortfara att bearbeta sockersmet $	— Det är inte ofta fransmän resa öfver hit bara för sitt nöjes skull , anmärkte Do ' othy i spefull ton , allt under det hon med stålvispen fortfor att bearbeta sockersmeten . 	31	31	bearbeta
under två år tid bevara de sig hemlighet och bearbeta guldfält $ men nu ha en omsider bilda en aktiebolag för exploatering af sig claims $	Under två års tid bevarade de sin hemlighet och bearbetade guldfälten , men nu ha de omsider bildat ett aktiebolag för exploatering af sina claims . 	9	9	bearbeta
kwickjock tag i rik fyndighet deraf $ sä kunna man wara säker pä att de bliswa med kraft och rfwer bearbeta $	Kwickjock tag i rika fyndigheter deraf , sä kan man wara säker pä att de bliswa med kraft och rfwer bearbetade . 	20	20	bearbeta
öfvereatt och bearbeta mod hänsyn till förhållande inom vi svensk $ kyrka af $ hofpred $	Öfvereatt och bearbetad mod hänsyn till förhållandena inom vår svenska evangelisk-lutherska kyrka af K. Hofpred . 	2	2	bearbeta
den vara en opassande hetta i ton $ och moder känna sig i hög grad fresta att tillrättavisa hon $ men den vara viktig att bearbeta cecilia just nu $ $ den som först intressera hon vara all en märkvärdig händelse $ som jan upplefde på sjö $ $ och så blef han slutligen hjälte $	Det var en opassande hetta i tonen , och modern kände sig i hög grad frestad att tillrättavisa henne ; men det var viktigt att bearbeta Cecilia just nu : “ Det som först intresserade henne var alla de märkvärdiga händelser , som Jan upplefde på sjön ; — och så blef han slutligen hjälten . 	25	25	bearbeta
enligt hvad man nu veta $ den i den boliviansk provins chichos belägen berg chorolque $ där en arbetarekoloni bearbeta zink och wismuthminor för en engelsk firma räkning på en höjd af mer än $ fot öfver hafvets yta $	enligt hvad man nu vet , det i den bolivianska provinsen Chichos belägna berget Chorolque , där en arbetarekoloni bearbetar zink- och wismuthminor för en engelsk firmas räkning på en höjd af mer än 17,000 fot öfver hafvets yta . 	19	19	bearbeta
petter förstå att bearbeta han med den framgång $ att jan till slut gaf efter $	Petter förstod att bearbeta honom med den framgång , att Jan till slut gaf efter . 	3	3	bearbeta
exakt uppgift härom lemna uppgift om vi stenexport på utland $ hvarvid dock vara att märka $ att till värde af denna export vara att lägga värde af all den mer eller föga bearbeta sten $ som blifvit använd inom land $	exakta uppgifter härom lemna uppgifterna om vår stenexport på utlandet , hvarvid dock är att märka , att till värdet af denna export är att lägga värdet af all den mer eller mindre bearbetade sten , som blifvit använd inom landet . 	33	33	bearbeta
ännu så länge $ antagligen i afvaktan på lösning af fråga om nordlandsjärnvägens sträckning $ bearbeta endast en grufva $ vesteraalid $ af en tjugotal man $	Ännu så länge — antagligen i afvaktan på lösningen af frågan om Nordlandsjärnvägens sträckning — bearbetas endast en grufva , Vesteraalid , af ett tjugotal man . 	15	15	bearbeta
en skotte $ harry stryka $ upptäcka här 1886 en guldförande malmåder $ banket $ $ och snar tillskynda från all håll guldsökare $ som i början mod hög ofullkomlig hjelpmedel bearbeta en första fyndighet $	En skotte , Harry Struken , upptäckte här 1886 en guldförande malmåder ( banket ) , och snart tillskyndade från alla håll guldsökare , som i början mod högst ofullkomliga hjelpmedel bearbetade de första fyndigheterna . 	31	31	bearbeta
sättqvist af träd och buske utsätta likaledes $ då jord bli full tjenlig att bearbeta $	Sättqvistar af träd och buskar utsättas likaledes , då jorden blir fullt tjenlig att bearbetas . 	14	14	bearbeta
baka och bearbeta vid i wien den medföra material $	baka och bearbetade vidare i Wien det medförda materialet . 	2	2	bearbeta
örn den vara angelägen $ sända agent ner till vederböra landsting och bearbeta den medlem personligen $	örn det är angeläget , sändas agenter ner till vederbörande landsting och bearbeta dess medlemmar personligen . 	12	12	bearbeta
en tuppfjäder 1 en vflggsptlnga ooh book få öga på dea $ kunna han flere minnter stå och bearbeta vägg som en murbräcka $	en tuppfjäder 1 en vflggsptlnga ooh booken fick öga på dea , kunde han flere minnter stå och bearbeta väggen som en murbräcka . 	18	18	bearbeta
vecka sedan innehålla den en af denna mot sverige och unionskonung rikta hånfull $ sanningslös och förvränga framställan $ hvarmed sverige in och utländsk fiende under unionskonfliktens olik skede bökt bearbeta opinion hos verld engelsktalande befolkning $	veckor sedan innehöll den en af dessa mot Sverige och unionskonungen riktade hånfulla , sanningslösa och förvrängda framställningar , hvarmed Sveriges in- och utländska fiender under unionskonfliktens olika skeden Bökt bearbeta opinionen hos verldens engelsktalande befolkning . 	30	30	bearbeta
de togo fram pickhackor och spade från mulåsna packning och gingo till verk med att bearbeta jord $ som sparsam betäcka klippafsatserna $	De togo fram pickhackor och spadar från mulåsnornas packning och gingo till verket med att bearbeta jorden , som sparsamt betäckte klippafsatserna . 	15	15	bearbeta
