sentence_lemma	sentence_token	target_index	original_word
the luckless orson gain nothing by his stratagem $ but a useless thump of his own hairy carcase against the tree $ the force of which bring him again upon the ground $	The luckless Orson gained nothing by his stratagem , but a useless thump of his own hairy carcass against the tree , the force of which brought him again upon the ground .	12	thump
i have hope on till i be tired on't $ and by spell i have dream in which it seem like my brother be alive and have come back $ and then my old gourd shell of a heart give a thunderin ' thump $ and fetch me up wide awake $	I have hoped on till I am tired on't , and by spells I have dreams in which it seems like my brother was alive and had come back , and then my old gourd shell of a heart gives a thunderin ' thump , and fetches me up wide awake .	43	thump
cowper sing with homely truth $ thump after thump resound the constant flail $ that seem to swing uncertain $ and yet fall full on the destin have ear $	Cowper sings with homely truth -- Thump after thump resounds the constant flail , That seems to swing uncertain , and yet falls Full on the destin'd ear .	6	thump
all this i43 do at the risk of get a brutual thump $ for aunt	All this I43 did at the risk of getting a brutual thumping , for Aunt	11	thump
at the second thump $ a hole be break in her side $ the sea pour through and over her $ and she begin go to piece $	At the second thump , a hole was broken in her side , the seas poured through and over her , and she began going to pieces .	3	thump
and as she close the door the commodore turn to thurston $ and with another emphatic thump of his cane $ say $ $ well $ sir $	And as she closed the door the commodore turned to Thurston , and with another emphatic thump of his cane , said : " Well , sir !	16	thump
those within see something pass over the opening $ and then hear a thump on the ground $ $	Those within saw something pass over the opening , and then heard a thump on the ground . "	13	thump
there be a naturalness and a continuous flow of expression in mr.- hawthorne's book $ that make them delightful to read $ especially in this our day $ when the fear of triteness drive some writer $ $ even those who might otherwise avoid that reproach $ $ to adopt an abrupt and dislocated style $ administer to our jaded attention frequent thump and twitch $ by mean of outlandish idiom and force inversion $ and now and then fling at our head an incomprehensible $ break-jaw word $ which uncivilized missile stun us to a full stop $ and an appeal to authority $	There is a naturalness and a continuous flow of expression in Mr. Hawthorne's books , that makes them delightful to read , especially in this our day , when the fear of triteness drives some writers , ( even those who might otherwise avoid that reproach , ) to adopt an abrupt and dislocated style , administering to our jaded attention frequent thumps and twitches , by means of outlandish idioms and forced inversions , and now and then flinging at our heads an incomprehensible , break-jaw word , which uncivilized missile stuns us to a full stop , and an appeal to authority .	62	thump
a violent thump be hear at the door of willow croft $ which $ before it could be properly notice $ answer itself $ and burst into the house in the obese and burly shape of climper $ of climper's $ or rather of merrywater $	A VIOLENT thumping was heard at the door of Willow Croft , which , before it could be properly noticed , answered itself , and burst into the house in the obese and burly shape of Climper , of Climper's , or rather of Merrywater .	2	thump
suppose yourself $ my friend $ in a room of tolerable size $ but in height hardly exceed eight foot $ the ceiling be pine board $ and the bare beam be see above $ seemingly ready to enforce on any high-headed wight the practical application of that pithy sentence $ $ stoop as you go through the world $ and you will miss many hard thump $ $ $ a stone fire-place $ rudely construct $ must occupy almost one whole side	Suppose yourself , my friend , in a room of tolerable size , but in height hardly exceeding eight feet ; the ceiling is pine boards , and the bare beams are seen above , seemingly ready to enforce on any high-headed wight the practical application of that pithy sentence -- " Stoop as you go through the world , and you will miss many hard thumps ; " -- a stone fire-place , rudely constructed , must occupy almost one whole side	66	thump
think that i be as capable of make an application of thump and pinch to the part as any one else $ i endeavour to resist this species of medical treatment $	Thinking that I was as capable of making an application of thumps and pinches to the part as any one else , I endeavoured to resist this species of medical treatment .	11	thump
only reflect what a thump there be against my rib $ whenever i think of the subject with which i commence this epistle $ a pretty story i make of it $ indeed $ but then it be natural that it should be so $ after all $	Only reflect what a thumping there is against my ribs , whenever I think of the subject with which I commenced this epistle : a pretty story I made of it , indeed ; but then it is natural that it should be so , after all .	4	thump
