sentence_lemma	sentence_token	index_lemma	index_token	lemma
Produktion von je 1000 Kubikmeter Plaste $ Rohstahl und Aluminium verhalten sich wie 1 $ 3 $ 5 $	Produktion von je 1000 Kubikmeter Plaste , Rohstahl und Aluminium verhält sich wie 1 : 3 : 5 .	4	4	Kubikmeter
mit Hufe eine weitverzweigt System von Entwasserungsätollen $ jährlich sein etwa dreißig Kilometer Vortrieb planen $ können spät 240 Kubikmeter Wasser pro Minute aus Kohle und Erdreich pumpen werden $	Mit Hufe eines weitverzweigten Systems von Entwasserungsätollen — jährlich sind etwa dreißig Kilometer Vortrieb geplant — können später 240 Kubikmeter Wasser pro Minute aus Kohle und Erdreich gepumpt werden .	19	19	Kubikmeter
fast eine Million Mark im Jahr springen heraus $ wenn unsere ganz Besatzung d Förderbrücke pro Kubikmeter Abraum d Kosten um nur eine Pfennig senken $	Fast eine Million Mark im Jahr springen heraus , wenn unsere ganze Besatzung der Förderbrücke pro Kubikmeter Abraum die Kosten um nur einen Pfennig senkt .	16	16	Kubikmeter
21,1 Million Kubikmeter Abraum können im erst Halbjahr zusätzlich bewegen werden $	21,1 Millionen Kubikmeter Abraum konnten im ersten Halbjahr zusätzlich bewegt werden .	2	2	Kubikmeter
wir haben wir dafür durch d Fertigstellung von 24000 Kubikmeter fest Siloraum im kommend Jahr gut Voraussetzung schaffen $	Wir haben uns dafür durch die Fertigstellung von 24000 Kubikmeter festen Siloraumes im kommenden Jahr gute Voraussetzungen geschaffen .	9	9	Kubikmeter
d Reisigverarbeitung liegen bei etwa 150000 Kubikmeter im Jahr $	Die Reisigverarbeitung liegt bei etwa 150000 Kubikmetern im Jahr .	6	6	Kubikmeter
d Mischfutterauflleger besitzen eine Ladevolumen 19 Kubikmeter $ zum Transport von Schlachtvieh $ aber auch von zucht- und	Der Mischfutterauflleger besitzt ein Ladevolumen 19 Kubikmetern , Zum Transport von Schlachtvieh , aber auch von Zucht- und	6	6	Kubikmeter
De Regierunc d Niederlande lehnen ab $ d amerikanisch Konzern $ piaeid oil $ d Lieferung von etwa 140 Milliarde Kubikmeter Erdgas aus d holländisch Teil Tles Festlandsockel in d Brd zu erlauben $	De Regierunc der Niederlande lehnte ab , dem amerikanischen Konzern „ Piaeid Oil " die Lieferung von etwa 140 Milliarden Kubikmeter Erdgas aus dem holländischen Teil Tles Festlandsockels in die BRD zu erlauben .	20	20	Kubikmeter
d Verordnung d Senat werden ohne Debatte zur Kenntnis nehmen $ die d Miete ab 1. Januar bzw. Februar 1958 um drei Prozent erhöhen $ d Gaspreis um drei Pfennig je Kubikmeter heraufsetzen $ die	Die Verordnungen des Senats wurden ohne Debatte zur Kenntnis genommen , die die Mieten ab 1. Januar bzw. Februar 1958 um drei Prozent erhöhen , den Gaspreis um drei Pfennig je Kubikmeter heraufsetzen , das	31	31	Kubikmeter
Monat $ und d Wolga $ Don-Kanal mit seine 30 Schleuse $ viel Staudamm und Pumpstation $ d Wasserkraftwerk Zimlianskaja $ d riesig Stausee von 12,6 Mrd. Kubikmeter Fassungsvermögen sein beenden $ Moskau sein dann Hafen von fünf Meer $ Maschine fest Ausmaß entstehen in diese Jahr $ um d gewaltig Bauvorhaben in d Sowjetunion planmäßig zu beenden $ Bagger von 40 M Höhe $ Lastwagen von 25 Fassungsvermögen $	Monate , und der Wolga — Don-Kanal mit seinen 30 Schleusen , vielen Staudämmen und Pumpstationen , dem Wasserkraftwerk Zimlianskaja , dem riesigen Stausee von 12,6 Mrd. Kubikmeter Fassungsvermögen ist beendet , Moskau ist dann Hafen von fünf Meeren , Maschinen festesten Ausmaßes entstanden in diesem Jahr , um die gewaltigen Bauvorhaben in der Sowjetunion planmäßig zu beenden : Bagger von 40 m Höhe , Lastwagen von 25 Fassungsvermögen .	27	27	Kubikmeter
