sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
i will take the quilt cover $ sheet $ and quilt with me and wash them $	10	0	quilt	I 'll take the quilt cover , sheet , and quilt with me and wash them .	fic_1995_39362.txt-547-10
next thing i know $ i be sit in a room with six other student $ listen to evelyn dixon explain the technique for construct our first project $ a log cabin quilt $	32	0	quilt	Next thing I knew , I was sitting in a room with six other students , listening to Evelyn Dixon explain the techniques for constructing our first project , a log cabin quilt .	fic_2009_36595.txt-134-32
him on the quilt $ and the little fellow have finally stick his head out of his shell and take a couple of step $ before poop quite impressively right there on the bed $	3	0	quilt	him on the quilt , and the little fellow had finally stuck his head out of his shell and taken a couple of steps , before pooping quite impressively right there on the bed .	fic_2006_32227.txt-58-3
despite the warmth of april $ i fling my mother 's quilt onto my bed $	11	0	quilt	Despite the warmth of April , I flung my mother 's quilt onto my bed .	fic_2003_27792.txt-295-11
a quilt by irene bettit $ which be select for the vermont exhibit of the gathering project $ result in her receive great recognition for its quality $	1	0	quilt	A quilt by Irene Bettit , which was selected for the Vermont exhibit of the Gatherings project , resulted in her receiving great recognition for its quality .	fic_1994_41330.txt-132-1
she ask if they could lie on a quilt on the floor $	8	0	quilt	She asked if they could lie on a quilt on the floor .	fic_1966_10470.txt-484-8
throat and general aches $ and spend long lazy day in bed $ play tent with the quilt $	17	0	quilt	throats and general aches , and spend long lazy days in bed , playing tent with the quilt .	fic_1964_10443.txt-6397-17
her sister settle back under the quilt $ and jessie pick up her shoe $	6	0	quilt	Her sister settled back under the quilt , and Jessie picked up her shoe .	fic_2009_36450.txt-72-6
but my mother say it be just one of many quilt her grandmother have around the house $	10	0	quilt	But my mother says it was just one of many quilts her grandmother had around the house .	fic_2003_29829.txt-42-10
curl into a fetal position not far from the fire $ or frank-enstein 's foot with a wad of quilt for a pillow $ summer try everything to make herself drowsy $ from count sheep to imagine the flower she would plant in next summer 's garden $	19	0	quilt	Curled into a fetal position not far from the fire -- or Frank-enstein 's feet with a wad of quilt for a pillow , Summer tried everything to make herself drowsy , from counting sheep to imagining the flowers she would plant in next summer 's garden .	fic_1993_1040085.txt-1649-19
but the question of who hispanics really be - what this riotous quilt of 20-plus national origin have in common and do not - can not be answer by any head count $ even one as curious as the census $	12	0	quilt	But the question of who Hispanics really are - what this riotous quilt of 20-plus national origins has in common and does not - can not be answered by any head count , even one as curious as the census .	news_2001_661942.txt-4-12
now she wonder if they have overlook something $ a familial connection lose to memory but document in a threadbare antique quilt $	21	0	quilt	Now she wondered if they had overlooked something , a familial connection lost to memory but documented in a threadbare antique quilt .	fic_2003_29829.txt-4-21
popular pattern like the double wedding ring and log cabin be use again and again $ and yet every quilt be its own $ the touch of its maker be always visible $	19	0	quilt	Popular patterns like the Double Wedding Ring and Log Cabin are used again and again , and yet every quilt is its own ; the touch of its maker is always visible .	fic_1994_41330.txt-169-19
