sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
beställning kunna äfven göra i så väl öfverrock som kostym oell leverera denna efter sista mode oell med garanti för densamma välsittande $	15	0	mode	Beställningar kunna äfven göras i så väl öfverrockar som kostymer oell levereras dessa efter sista mode oell med garanti för desammas välsittande . 	bib11653811_18990930_145317_150_0002_alto.xml-8-15
rekommendera sig välsorterad lager af mode och kort vara $ klä och oklädd hatt $ blomma $ band $ moiiteiingsartiklar m $ m $	5	0	mode	rekommenderar sitt välsorterade lager af Mode- och korta varor , klädda och oklädda Hattar , Blommor , Band , Moiiteiingsartiklar m . m . 	bib19277330_18950608_0_67_0001_alto.xml-46-5
blomma $ spets $ hårklädsel $ halskrås $ för säsong öfverblifna dam och barnhatt samt mössa slutförsälja ytterst billig i alma palmgrens mode och kortvaruaffär $ 18 smedjegatan 18 $	22	0	mode	Blommor , Spetsar , Hårklädsel , Halskrås , för säsongen öfverblifna Dam- och Barnhattar samt Mössor slutförsäljes ytterst billigt i Alma Palmgrens Mode- och Kortvaruaffär , 18 Smedjegatan 18 . 	bib15873936_18961219_147385_148_0004_alto.xml-7-22
kompetent att på $ kand sköta ten mode aflär $ få plats stiax för fir eller säsong $	7	0	mode	kompetent att på eg-eu kand sköta tn mode aflär , får plats stiax för fir eller säsong . 	bib19225758_18950812_144022_185_0004_alto.xml-206-7
yppighet så att de se ut som lefvande mode docka för att kunna äfven på modemarkna den $	8	0	mode	yppighet så att de se ut som lefvande mode dockor för att kunna äfven på modemarkna den . 	bib11653811_19020917_145317_142_0004_alto.xml-40-8
rekommendera sig välsorterad lager af mode $ och kort vara till en billig pris herrartiklar $ krage $ manschett halsduk i vacker mönster $ rosett linnevock in $	5	0	mode	rekommenderar sitt välsorterade lager af mode * och korta varor till de billigaste priser Herrartiklar , kragar , manschetter halsdukar i vackra mönster , rosetter linnevock in . 	bib19277330_18950810_0_94_0001_alto.xml-80-5
han ta kanna och slå i en hel kopp full $ och när han få den i ordning $ ta han sked $ äta och säga $ $ $ den måste väl vara mode $ den $ $ och så äta lian långsam och försigtigt med sked $ äta och äta $ men den bli ingenting utaf den $	33	0	mode	Han tager kannan och slår i en hel kopp full , och när han fått det i ordning , tager han skeden , äter och säger : «Ja , det måste väl vara moden , det ! » Och så äter lian långsamt och försigtigt med skeden , äter och äter , men det blir ingenting utaf det . 	bib11653811_18950930_145317_151_0003_alto.xml-15-33
prenumerera derför på $ $ $ $ $ hvilken som bekant nu utkomma i betydlig utvidgadt format och i hvarje $ ha omkring 70 mode och handarbetsmönster med omkring 70 tillskärning mönster för blott 10 öre $	24	0	mode	Prenumerera derför på ‘ •Nordisk Mönster-Tidning " , hvilken som bekant nu utkommer i betydligt utvidgadt format och i hvarje n:r har omkring 70 mode- och handarbetsmönster med omkring 70 tillskärnings mönster för blott 10 öre . 	bib11653811_18970410_145317_56_0003_alto.xml-145-24
ny mode $ utmärka tyg tilljytterst billig pris nu inkomma i stor urval hos	1	0	mode	Nyaste mode , utmärkta tyger tilljytterst billiga priser nu inkomna i stort urval hos 	bib19225758_18950313_144022_61_0001_alto.xml-53-1
omkring 70 mode oell $ med omkring 70 tillskäringsmönster tor endast 10 öre $	2	0	mode	Omkring 70 mode- oell liandarbets.mönster med omkring 70 tillskäringsmönster tor endast 10 öre . 	bib15873936_18961229_147385_152_0001_alto.xml-43-2
