sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
climb out $ she pull a heavy-duty trash bag from the glove compartment and work air into it $	8	0	bag	Climbing out , she pulled a heavy-duty trash bag from the glove compartment and worked air into it .	fic_2003_48246.txt-1066-8
she sit down and tear off the sunday-comics wrap on the big package $ which turn out to be a bag of leather scrap in several color $ $	20	0	bag	She sat down and tore off the Sunday-comics wrapping on the bigger package , which turned out to be a bag of leather scraps in several colors . "	fic_1993_1040077.txt-3779-20
i will show you the closet where we find the bag $	10	0	bag	I 'll show you the closet where we found the bag .	fic_1998_28261.txt-115-10
$ open the bag $ fumble through its content $ here $	3	0	bag	( Opens the bag , fumbling through its contents ) Here !	fic_1963_13496.txt-829-3
on finish my lunch $ i wad up the paper bag and thrust it into my backpack $	10	0	bag	ON FINISHING my lunch , I wadded up the paper bag and thrust it into my backpack .	fic_2002_47054.txt-385-10
berlin train station man 's room -- night 251 bag sling -- limp out -- bourne have change clothes $	9	0	bag	BERLIN TRAIN STATION MEN 'S ROOM -- NIGHT 251 Bag slung -- limping out -- BOURNE has changed clothes .	fic_2004_780503.txt-2051-9
tor put his bag of laundry in the corner next to the door $ $	3	0	bag	Tor put his bag of laundry in the corner next to the door . "	fic_1995_39362.txt-493-3
he then withdraw a brown bag from his coat and set it down atop the magazine $ $	5	0	bag	He then withdrew a brown bag from his coat and set it down atop the magazines . "	fic_2004_49844.txt-274-5
$ i have be work so hard for 25 years-why can n't i have another pair of manolo blahnik shoe or that bag that i love $ $	22	0	bag	, I have been working so hard for 25 years-why ca n't I have another pair of Manolo Blahnik shoes or that bag that I love ? "	mag_2006_385869.txt-220-22
as she wrap the tube in a laboratory requisition form and tuck the little package into a plastic bag $ judy resolve to come back and give beatrice 's hair a full one hundred stroke of brush $	18	0	bag	As she wrapped the tubes in a laboratory requisition form and tucked the little package into a plastic bag , Judy resolved to come back and give Beatrice 's hair a full one hundred strokes of brushing .	fic_1998_43802.txt-21-18
slim be smoke $ lie stoically on his side on his sleeping bag $ gut it out $	12	0	bag	Slim is smoking , lying stoically on his side on his sleeping bag , gutting it out .	mag_1989_480911.txt-315-12
