sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
lack of subtlety be one of earl 's most appealing trait $ and rick have to use every ounce of restraint and concentration to keep his mind on the road $	18	1	ounce	Lack of subtlety was one of Earl 's most appealing traits , and Rick had to use every ounce of restraint and concentration to keep his mind on the road .	fic_1999_55547.txt-401-18
he could entertain an outsider with story and send him home smile $ without ever reveal an ounce of himself $	17	3	ounce	He could entertain an outsider with stories and send him home smiling , without ever revealing an ounce of himself .	nf_1999_775061.txt-335-17
and even with all her loneliness $ all her solitude $ that be the last thing i expect $ her cry in a way that make something inside me give way $ and there be not another man with an ounce of heart in him who would n't have do what i do then $ walk across the lawn and take her hand	40	3	ounce	and even with all her loneliness , all her solitude , that was the last thing I expected , her crying in a way that made something inside me give way , and there 's not another man with an ounce of heart in him who would n't have done what I did then : walk across the lawn and take her hand	fic_1993_1040070.txt-1791-40
when he kiss her goodnight it take every ounce of willpower to push him away $	8	3	ounce	When he kissed her goodnight it took every ounce of willpower to push him away .	fic_1983_10709.txt-343-8
cucumber sandwich #8 thin slice white bread 1/2 cup mayonnaise $ approximately #1 cucumber $ about 6 ounce salt to taste if desire freshly ground pepper to <nul>	17	3	ounce	Cucumber Sandwiches #8 thin slices white bread 1/2 cup mayonnaise , approximately #1 cucumber , about 6 ounces Salt to taste if desired Freshly ground pepper to taste.	news_1985_671502.txt-122-17
consume every last ounce of energy in her be $	3	3	ounce	consuming every last ounce of energy in her being .	fic_1979_16029.txt-54-3
because of redistricting $ the tenth district now have more register democrat than republican $ and peggy heckler will need every ounce of her vigor to hold the constituency for the republican party $	21	3	ounce	Because of redistricting , the Tenth District now has more registered Democrats than Republicans , and Peggy Heckler will need every ounce of her vigor to hold the constituency for the Republican Party .	mag_1966_217503.txt-11-21
this creature would have kill him without an ounce of remorse $ but he could n't even take one of its eye in cold blood $ not even if it would solve the mystery of cassiodorus $	8	3	ounce	This creature would have killed him without an ounce of remorse , but he could n't even take one of its eyes in cold blood , not even if it would solve the mystery of Cassiodorus .	fic_1988_780086.txt-4115-8
to keep the stomach in your household healthy and happy $ practise an ounce of prevention to keep food poison out from under your roof $	13	3	ounce	To keep the stomachs in your household healthy and happy , practise an ounce of prevention to keep food poisoning out from under your roof .	mag_1993_408277.txt-77-13
but pilgrim do n't need an ounce of self-promotion when he have harold baxter $ one of those classic salesman who $ in the word of a philadelphia money manager $ $ could sell refrigerator to eskimo $ $	6	3	ounce	But Pilgrim did n't need an ounce of self-promotion when he had Harold Baxter , one of those classic salesmen who , in the words of a Philadelphia money manager , " could sell refrigerators to Eskimos . "	mag_2004_412399.txt-58-6
yet population radically decline in the course of only three year in the 1970s-one woman at a time $ without an ounce of government involvement $	21	3	ounce	Yet population radically declined in the course of only three years in the 1970s-one woman at a time , without an ounce of government involvement .	mag_2006_398384.txt-317-21
with the announcement crichton iv intend to make today $ he know he have need every ounce of shield $	16	3	ounce	With the announcement Crichton IV intended to make today , he knew he 'd need every ounce of shielding .	fic_1998_43217.txt-5-16
cohn $ desperate $ not one ounce of cooperation from anyone around here $	6	3	ounce	COHN ( Desperate ) Not one ounce of cooperation from anyone around here .	fic_1976_13976.txt-2004-6
in an instant $ every ounce of cool air be suck out and replace with this blast of summer air - a hot $ wet slap in the face $	5	3	ounce	In an instant , every ounce of cool air was sucked out and replaced with this blast of summer air - a hot , wet slap in the face .	fic_2006_28074.txt-156-5
