sentence_lemma	sentence_token	target_index	original_word
whatever the rag pay the paparazzi $ it be enough to keep them come back for more $	Whatever the rags paid the paparazzi , it was enough to keep them coming back for more .	2	rag
i must have draw back from the rag $ obsessive cleanliness now seem to me less embarrassing than it seem that day $ new orleans be a dirty city when i be young $ with open sewer and epidemic $ because willy say something in cajun french and the rag be take out of my hand $	I must have drawn back from the rag -- obsessive cleanliness now seems to me less embarrassing than it seemed that day , New Orleans being a dirty city when I was young , with open sewers and epidemics -- because Willy said something in Cajun French and the rag was taken out of my hand .	7	rag
to rag to bind the wound of the spartiates and their ally $	to rags to bind the wounds of the Spartiates and their allies .	1	rag
here be a business grow up in the sterile soil of the bad depression in our history $ without artificial stimulation $ like a rag $ to riches story $ that succeed more by the under-stimulation of <nul> s.-a peters than by any frantic $ go-getter $ activity $	Here was a business grown up in the sterile soil of the worst depression in our history , without artificial stimulation , like a rags " to riches story , that succeeded more by the under-stimulation of O. S. Peters than by any frantic " go-getter " activity .	24	rag
yet here be this wretch $ look fully like a cadaver that would not lie down $ here in this roar huge wilderness $ in this valley where surely no white human have ever be before $ except mary and her fellow captive last summer $ here be ghetel $ refuse to die yet $ sit here at this moment on a boulder tear strip of cloth from the rag of her dress to wrap around her foot $ still try to take care of herself $	Yet here was this wretch , looking fully like a cadaver that would not lie down ; here in this roaring huge wilderness , in this valley where surely no white human had ever been before , except Mary and her fellow captives last summer , here was Ghetel , refusing to die yet , sitting here at this moment on a boulder tearing strips of cloth from the rags of her dress to wrap around her feet , still trying to take care of herself .	69	rag
as soon as the coal be aboard $ pappy tung and his deck coolie would go after the coal dust with hose $ scrubber and rag $ and in an hour or two the san pablo would be as brass-gleaming white as ever $	As soon as the coal was aboard , Pappy Tung and his deck coolies would go after the coal dust with hoses , scrubbers and rags , and in an hour or two the San Pablo would be as brass-gleaming white as ever .	25	rag
christopher rearrange the floor plan for maximum light $ install stock kitchen cabinet gently age with a tea-stained rag $ below $ $ and focus on simple pine and paint furnishing $	Christopher rearranged the floor plan for maximum light , installed stock kitchen cabinets gently aged with a tea-stained rag ( below ) , and focused on simple pine and painted furnishings .	18	rag
have exist forever without be consider pro-cologne in cologne $ a town of monk and bone $ and pavement fang ' d with murderous stone and rag $ and hag $ and hideous wench $ i count two and seventy stench $ all well define $ and	have existed forever without being considered pro-Cologne In Cologne , a town of monks and bones , And pavements fang ' d with murderous stones And rags , and hags , and hideous wenches ; I counted two and seventy stenches , All well defined , and	26	rag
flame spring from the tallow-soaked rag on the firepikes $ give more smoke than light $	Flame sprang from the tallow-soaked rags on the firepikes , giving more smoke than light .	5	rag
a handful of soldier $ dress in rag $ dark-skinned and solemn $ arm with knife and rifle $ stand guard over them $ display only marginal interest $ $	A handful of soldiers , dressed in rags , dark-skinned and solemn , armed with knives and rifles , stood guard over them , displaying only marginal interest . "	7	rag
