sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
diverse $ berrar jntretzenter i kull fabrik behaga hos underteckna sammanträda till bolagsstämma $ thorsdag d $	12	0	bolagsstmma	Diverse : berrar Jntretzenter i Kullens Fabrik behagade hos undertecknad sammanträda till Bolagsstämma , Thorsdagen d . 	bib19225772_18260228_148004_24_0004_alto.xml-12-12
553 $ b bolagsstämma i page med oelägarne uti del här i stad inrätta oiscont werk $ mer $ herr coinmerce rzdel $ borgmästare och riddare af ttongl $	3	0	bolagsstmma	553 ( b Bolagsstämma i Pag med Oelägarne uti del här i staden inrättade Oiscont werk , Mer " Herr Coinmerce RZdel , Borgmästaren och Riddaren af ttongl . 	bib19520388_18100620_147487_25_0003_alto.xml-1-3
till me of den wid bolagsstämma dcn 22 $ mznad fatta besitta $ bebagade herre $ i stvkkholins slöförsäkrings bolag enhällig sammanträda i gnla sal 8 börs lördag ben 2g denna $ klocka $	5	0	bolagsstmma	Till Me of det wid Bolagsstämman dcn 22 sistl. mZnad fattade besitt , bebagade Herrar Aktie-Ägare i Stvkkholins SlöförsäkringS Bolag enhälligt sammanträda i gnla Salen 8 Börsen Lördagen ben 2G dennes , klock . 	bib13506739_18260825_144030_185_0001_alto.xml-30-5
$ ivid hällne allmän bolagsstämma den 22 denna fatta bestut $ komma den wid harwarande skepp warf ligga $ af ek och furu pä crawel nppbygda galeas ny försök kalla $ om $ swära last $ att ytterlig till salu utbjuda $ och som denna fartyg nu mera blnwit utrustadt och sitta i segelbar stand metz tillhöra segel och tacklage jemte $ skeppsankare och en bät $ all $ $ 9 $ $ 9 bastant $ säga lemnäs hogade köpare tillfälle $ att $ efter $ nära kännedom pä ställ om denna fartyg $ bcffatfenhet $ strifteligen göra fin anbud $ stälde till warfs direktion härstädes $ hwilka stä öppna att emotta och beswaras till nästkommande augusti månad stut $	4	0	bolagsstmma	Skepps-Warf ivid hällne allmänna Bolagsstämman den 22 dennas fattade Bestut , kommer den wid harwarande Skepps Warf liggande , af Ek och Furu pä Crawel nppbygda Galeas Nya Försöket kallad , om ^6 swära laster , att ytterligare till salu utbjudas ; och som detta Fartyg nu mera blnwit utrustadt och satt i segelbart stand metz tillhörande Segel och Tacklage jemte 3:ne Skeppsankare och en Bät , allt nvtteo&lt ; 9 eo&lt ; 9 bastant ; sa lemnäs hogade köpare tillfälle , att , efter inhämtad närmare kännedom pä stället om detta Fartygs , bcffatfenhet , strifteligen göra fine anbud , stälde till Warfs Direktionen härstädes , hwilka stä öppna att emottagas och beswaras till nästkommande Augusti månads stut . 	bib19227291_18300804_145289_31_0004_alto.xml-1-4
förklara $ arr iii hinder förekomma $ del eommirreradc $ äfwen i den händelse att leclningarne till delaktighet i nämna bolag ej $ wid beröra mänads stut $ upp gä till full 10 million $ mä $ genom kungörelse i allmän tidning $ pä sätl 6 $ $ puncrcn i en för bolager öflrcrenskomne grund iunehäller $ till bolagsstämma sammankalla all de $ som i teckning delta $ för att besluta $ buruwida bolag stall trä i wetksamher $ eller icke $ samt derjemte förordna $ att teckninearnc böra under liten $ och äfwcn $ efter $ efter kungörelse utfärda $ pä lik sätt som förnr $ sorrgä $ narda all en $ som i teckning redan delta eller före d $	58	0	bolagsstmma	förklara , arr iiiter hinder förekommer , del Eommirreradc , äfwen i den händelse att leclningarne till delaktighet i nämnde Bolag ej , wid berörde mänadS stut , upp gä till fulla 10 millioner , mä , genom kungörelse i Allmänna Tidningarne , pä sätl 6 : !e puncrcn i de för Bolager öflrcrenskomne grunder iunehäller , till Bolagsstämma sammankalla alla dem , som i teckningen deltagit , för att besluta , buruwida Bolaget stall träda i wetksamher , eller icke , samt derjemte förordnat , att teckninearnc borde under liten , och äfwcn ' efter ' efter kungörelsens utfärdande , pä lika sätt som förnr , sorrgä ; narda alla de , som i teckningen redan deltagit eller före d . 	bib13506739_18280426_144030_97_0002_alto.xml-9-58
wid adolphbergs hclsvbrunn blifwcr altman bolagsstämma fjäll ben 17 nästinstundande november $ hwarwid samielige interessenterne erinra $ $ akt antingen sjelfire eller genom laga ombud sig infinna till öfwerläggning uti nägra brunn rörande angelägenhet $ drebro dcn 4 september $ $ $	5	0	bolagsstmma	Wid Adolphbergs hclsvbrunn blifwcr altman Bolagsstämma fjällen ben 17 nästinstundande November , hwarwid samielige Interessenterne erinra ? , akt antingen sjelfire eller genom laga ombud sig infinna till öfwerläggning uti nägra Brunnen rörande angelägenheter , drebro dcn 4 September » «07 . 	bib11653825_18071001_145134_116_0007_alto.xml-1-5
i anseende tiz messankommande förhinder blsswer den i daglig allehanda den 19 mars anvonccradt atö bolagsstämma lördag de $ 24 $ april $ i $ för onsdag den 28 i samma mana $	15	0	bolagsstmma	I anseende tiZ messankommande förhinder blsswer den i Dagligt Allehanda den 19 Mars anvonccradt Atö Bolagsstämma Lördagen de » 24 nästk. April , i ftdtt.ct för Onsdagen den 28 i samma manad . 	bib13506739_18190324_144030_69_0002_alto.xml-1-15
till lamtelige lottägare härmedelst ivarda anmoda sig infinna $ för alt blif roa underrätta om bruk och egendom drift och n $ $ m $ m $ $ hwarwid flere frägor till a $ $ $ en lvrekomma $ och deribland de som wid sist öfwer $ ständne bolagsstämma till denna blif hänskut $	48	0	bolagsstmma	till lamtelige Lottägare härmedelst ivarda anmodade sig infinna , för alt blif roa underrättade om Brukens och EgendomarneS drift och n ?irwarande tillställd m . m . , hwarwid flere frägor till a ' göran&gt ; de lvrekomma , och deribland de som wid sist öfwer » ständne Bolagsstämma till denna blifwit hänskut . 	bib11653806_18091017_145120_122_0004_alto.xml-3-48
per aktie komma att rrtäggas och sist inom denna vara $ $ tgäng ull riksens stånd rlkkgäldskoiitvr för porpbvrwerkct $ räkning insätta $ deremot hwar $ c bolagsjnierestent $ som ssdant fullgöra $ äeer att wid miga fir bolagsstämma $ frsn be här i stad warande $ $ uttaga porphprarbrten för halfwa iallttningen $ eller efter 5 r $ per aktie $ kommande enligt bolag beflni te latta te $ för bulltkn zswannämde sammanstöta inom den utsätta tid ej gores $ att anse dädanefter lafö $ alldeles förfallen $ hwarjemle herre aktieägare bestutit a $ t direktion ej äga till intagande i bola $	38	0	bolagsstmma	per Aktie kommer att rrtäggas och sist inom detta är » » tgäng ull Riksens Ständers RlkkgäldSKoiitvr för Porpbvrwerkct » räkning insättas , deremot hwar , c BolagSJnierestent , som ssdant fullgör , äeer att wid miga firs Bolagsstämma , frSn ber här i staden warande P.rphvrlagret , uttaga Porphprarbrten för halfwa ialLttningen , eller efter 5 R . per aktie ; kommandes enligt Bolagets beflni te latt ter , för bulltkn Zswannämde sammanstött inom den utsatte tiden ej gores , att anses dädanefter lafö » alldeles förfallne , hwarjemle Herrar Aktieägare bestutit a , t Direktionen ej äger till intagande i Bola . 	bib11653828_18041229_144028_302_0004_alto.xml-1-38
samtelige herre intressent uti sjuntorps fabrik anmoda sammanträda hos underteknad $ bsende uti $ bergs hus wid äonqsgatan $ tisdag den 30 denna $ $ 10 $ m $ $ till den ordinarie bolagsstämma hälla $ bwarwid ibland annan äfwen förekomma wal af en ny directeur i den afgäendes ställe $	33	0	bolagsstmma	Samtelige Herrar Intressenter uti Sjuntorps Fabrik anmodas sammanträda hos underteknad , bsende uti Spegel-Fabrikör BergS huS wid Äonqsgatan , Tisdagen den 30 dennes , kl. 10 f. m . , till den Ordinarie Bolagsstämmans hällande , bwarwid ibland annat äfwen förekommer wal af en ny Directeur i den afgäendes ställe . 	bib19225772_18240330_148004_36_0004_alto.xml-16-33
med delägare $ gt $ ramlösa brunnsinrättning hålla bolagsstämma i $ derstädes $ onsdag den iz innewarande juli $ klocka n lo föremivagrn $	8	0	bolagsstmma	Med delägarne & gt ; Ramlösa Brunnsinrättning hålles Bolagsstämma i Brunns-salen derstädes , OnSdagen den iz innewarande Julis , klock n lo föremivagrn . 	bib19520388_18070708_147487_26_0007_alto.xml-1-8
f som wid bolagsstämma i göra sö fö jnteressenter infnnuo sig $ anmoda herre $ $ teres senter att till allmän bolagsstämma sammanttäda ö warfwet kust den 10 denna it in f m $ anböllande directionen $ att de af jnteressenterne $ som icke äga särdeles förfall $ wille sta lnffnna $ gärna flere frögor af wigt komma wid tillfälle $ att till afgöra förelägga $	3	0	bolagsstmma	f Som wid Bolagsstämman i gör sö fö Jnteressenter infnnuo sig , anmodas Herrar ^ » teres senter att till allmän Bolagsstämma sammanttäda ö Warfwet Kusten den 10 dennes it in f m , anböllande Directionen , att de af Jnteressenterne , som icke äga särdeles förfall , wille sta lnffnna , helst flere frögor af wigt komma wid tillfället , att till afgörande föreläggas . 	bib19225772_18280617_148004_68_0004_alto.xml-4-3
hwarje annan bolag $ utom i orden $ oerhörd stadga $ att ingen wid denna werks bolagsstämma erkänna som fullmägtig $ hwilken ej sjelf vara delägare $ och äfwen denna $ i fall man ka $ finna en sadan $ ej fara rösta för mer än för en jemsörelsewis obetydlig summa $ ärva skånstastäberne $ ehuru med en betydlig $ uti bolag $ likwäl $ $ utestänga ifrän all rättighet att delta i öfwcrläggningarne om werkets angelägenhet $ eller åtminstone ifrån allt inflytande pä werkets organisation och förwallning $	16	0	bolagsstmma	hwarje annat Bolag , utom i Ordnar , oerhörda stadgande , att ingen wid detta Werks Bolagsstämmor erkännes som Fullmägtig , hwilken ej sjelf är delägare , och äfwen denne , i fall man ka » finna en sadan , ej far rösta för mer än för en jemsörelsewis obetydlig summa , ärv SkånstaStäberne , ehuru med en betydlig Actie-del uti Bolaget , likwäl de facto utestängde ifrän all rättighet att deltaga i öfwcrläggningarne om WerketS angelägenheter , eller åtminstone ifrån allt inflytande pä Werkets organisation och förwallning . 	bib19227291_18271031_145289_44_0005_alto.xml-4-16
$ gustaf adolph i landscrona bestämma termin i iunii månad till bete ära allmän bolagsstämma härstädes $ ha för mellankomne hinder mast utsätta till fredag den 1 iiästinstundsndc 3utii $ $ 9 förmidd $ $ da jemwäl efter 4 $ wal förrätta lill ny efterträdare uti den afgå föreståndare ställe $ hwilket till $ warfs bokagclg underräkiclse kungöres $	14	0	bolagsstmma	Skepps-Warfwet Gustaf Adolph i Landscrona bestämde termin i Iunii månad till betta ärs allmänna Bolagsstämma härstädes , har för mellankomne hinder mast utsättas till Fredagen den 1 iiästinstundsndc 3utii , kl. 9 förmidd . , da jemwäl efter 4 §- wal förrättas lill ny efterträdare uti den afgående Föreståndarens ställe ; hwilket till resp. Warfs Bokagclg underräkiclse kungöreS . 	bib11653806_18080524_145120_57_0006_alto.xml-9-14
revision af härwaronde discont werkö förwaltning och räkenstaver för sist $ $ ar komma att företa den nste instunda juni $ $ och fredag den 14 derpå följa $ lo förmiddag hålla bolagsstämma $ hivarnu samtrligr $ warda anmoda vch kalla $ $ nied underrättelse $	32	0	bolagsstmma	Revision af härwaronde Discont Werkö Förwaltning och Räkenstaver för sist ! , ar kommer att företagas den nste instundande Juni ! , och Fredagen den 14 derpå följande kl. lo förmiddagen hålles Bolagsstämma , hivarNU samtrligr Actir-Ägare warda anmodade vch kallad ? / nied underrättelse , 	bib19520388_18110424_147487_17_0002_alto.xml-1-32
$ $ anmoda samtelige bolag delägare att biwista den ärlig bolagsstämma $ som komma att hälla uti stor beurssalen i stockholm tisdag $ $ näst $ $	10	0	bolagsstmma	Diskont-Inrättning , anmodas samtelige Bolagets Delägare att biwista den ärliga Bolagsstämman , som kommer att hällas uti stora Beurssalen i Stockholm Tisdagen d. i:ste näst ! . 	bib19225772_18130505_148004_50_0002_alto.xml-1-10
discont werkö förwoltning och räkensiaper för sistledit vara igl $ samt derpä följa bolagsstämma $ komma att uppskjuta till riksdag stut $ dä företagande deraf $ innan $ behörig tid $ stoll i tidning kungöra $ sä $ varda denna respeciiwe actieägare tillkännagifwit $	13	0	bolagsstmma	Discont werkö förwoltning och räkensiaper för sistledit är igl » samt derpä följande Bolagsstämma , kommer att uppskjutas till Riksdagens stut , dä företagandet deraf , innan , behörig tid , stoll i tidningarne kungöras , sä » varder detta respeciiwe Actieägare tillkännagifwit . 	bib19520388_18120527_147487_22_0004_alto.xml-6-13
att till allmcn bolagsstämma uti södertclje stad och rä $	3	0	bolagsstmma	att till Allmcn Bolagsstämma uti Södertclje Stad och Rä ? 	bib13506739_18160501_144030_100_0001_alto.xml-1-3
samtlig herre ledamot af samfund $ 6c $ behaga allmän sammanlräda dag fredag den it denncs $ $ precis 6 $ m $ direktlonen af stockholm $ $ lär härigenom anmoda her $ rar $ att sammanträda till allmän bolagsstämma $ som särdag den 12 nsjlfom $	39	0	bolagsstmma	Samtlige Herrar Ledamöter af Samfundet W. 6c W. behagade allmänt sammanlräda dag Fredag den it denncS , kl. precis 6 e. m . Direktlonen af Stockholm * SjöiSrsäkringS-Bolag lär härigenom anmoda Her » rar Aktie-Ägare att sammanträda till Allmän Bolagsstämma , som Särdagen den 12 nSjlfom . 	bib13506739_18270511_144030_109_0002_alto.xml-2-39
vara 1823 $ $ 4 $ m $ $ förfcdde med de actiebrcf $ hwilka komma ctt bestämma grund för röstberäk $ ningen $ i händelse $ ägo $ af en wid bolagsstämma förekomma fräqor icke skola finna annor $ lunda s $ genom omröstning afgöra $	32	0	bolagsstmma	är 1823 , kl. 4 e. m . » förfcdde med deras Actiebrcf , hwilka komma ctt bestämma grunden för röstberäk » ningen , i händelse » ägo » af de wid Bolagsstämman förekommande fräqor icke skulle Funna annor » lunda S » genom omröstning afgöras . 	bib11653823_18221218_144010_295_0003_alto.xml-9-32
samtelige delägare uti trollhätte canal och slusiwerks bolag an $ mödås och kalla härmedelst att den $ 31 $ trettiondeförste instunda januari $ $ lo förmiddag $ sammanträda a handels societet rum i götheborg $ till hasta af extra bolagsstämma i anledning af en af kongl $	39	0	bolagsstmma	Samtelige Delägare uti Trollhätte Canal och Slusiwerks Bolag an » mödås och kallas härmedelst att den ( 31 ) Trettiondeförste instundande Januari , kl. lo förmiddagen , sammanträda a Handels Societetens Rum i Götheborg , till hastande af Extra Bolagsstämma i anledning af ett af Kongl . 	bib19225772_18261229_148004_150_0001_alto.xml-1-39
nädiga regkeniente $ lagtima bolagsstämma komma att hälla i stockholn $	4	0	bolagsstmma	Nädiga Regkeniente , Lagtima Bolagsstämma kommer att hällas i Stockholn ! 	bib11653823_18300419_144010_88_0003_alto.xml-14-4
