sentence_lemma	sentence_token	index_lemma	index_token	lemma
unsere Delegation beglückwünschen sie und d ganz bulgarisch Volk zu d so erfolgreich Bilanz $ die ihr Erster Sekretär d ZK $ unsere teuer Freund und Genosse Todor Shiwkow $ für d Zelt zwischen d Ix. und X. Parteitag ziehen können $ sowie zu d grandios Programm $ die d x. Parteitag vorliegen $	Unsere Delegation beglückwünscht Sie und das ganze bulgarische Volk zu der so erfolgreichen Bilanz , die Ihr Erster Sekretär des ZK , unser teurer Freund und Genosse Todor Shiwkow , für die Zelt zwischen dem IX. und X. Parteitag ziehen konnte , sowie zu dem grandiosen Programm , das dem X. Parteitag vorliegt .	52	52	vorliegen
d Streikpostenstehen mit Schild $ $ hier werden streiken oder $ hier arbeiten Streikbrecher sollen in jede Fall zur namentlich Feststellung durch d Polizei führen $ $ selbst $ wenn eine strafbar Handlung nicht vorliegen mögen $ $ wie es im Artikel heißen $	Das Streikpostenstehen mit Schildern . „ Hier wird gestreikt oder „ Hier arbeiten Streikbrecher soll in jedem Fall zur namentlichen Feststellung durch die Polizei führen , „ selbst , wenn eine strafbare Handlung nicht vorliegen mag " , wie es im Artikel Heißt .	34	34	vorliegen
so berichten Volkskorrespondent Rolf g e i ß 1 e r aus d VEB Industriebau $ daß man dort zum Beispiel d Seifert-Methode einfach zu d Akte legen $ bis aus ander Betrieb Erfahrung vorliegen $	So berichtet Volkskorrespondent Rolf G e i ß 1 e r aus dem VEB Industriebau , daß man dort zum Beispiel die Seifert-Methode einfach zu den Akten legt , bis aus anderen Betrieben Erfahrungen vorliegen .	34	34	vorliegen
zum eine $ weil drei bei alle Unterschiedlichkeit sehr bemerkenswert $ Faust $ -aufführungen d letzte Jahr vorliegen $ Leipzig $ Weimar $ Berlin $ $ die Erfahrung und Ergebnis nicht ignorieren werden können noch sollen $ zum andern $ weil gerade d Hallenser Ensemble in sehr kurz Zeit eine Theaterpraxis nahezu explosionsartig hervorbringen haben $ wo d politisch und d Ästhetische eine im gut Sinn bewegend $ d Gemüt wie d gesellschaftlich Vorgang Mitbewegende $ Identität eingehen sein $ zum zeitgenössisch Volkstheater mit hoch Anspruch $	Zum einen , weil drei bei aller Unterschiedlichkeit sehr bemerkenswerte „ Faust " -Aufführungen der letzten Jahre vorliegen ( Leipzig , Weimar , Berlin ) , deren Erfahrungen und Ergebnisse nicht ignoriert werden können noch sollen ; zum andern , weil gerade das Hallenser Ensemble in sehr kurzer Zeit eine Theaterpraxis nahezu explosionsartig hervorgebracht hat , wo das Politische und das Ästhetische eine im besten Sinne bewegende ( die Gemüter wie die gesellschaftlichen Vorgänge mitbewegende ) Identität eingegangen sind : zum zeitgenössischen Volkstheater mit hohem Anspruch .	17	17	vorliegen
d Gastgeber zürnen mit Recht allerdings d Unparteiische $ und die Unfähigkeit werden im Mittestadion noch übertreffen $ wo d groß Favorit d $ breit Masse $ $ nicht d berufen Sachverständige $ Prenzlauer Berg $ zweimal zwei Tor gegen Spandau vorliegen und mit eine an Namen repräsentativ Hintermannschaft diese Vorsprune nicht verteidigen können $	Der Gastgeber zürnte mit Recht allerdings dem Unparteiischen , und dessen Unfähigkeit wurde im Mittestadion noch übertreffen , wo der große Favorit der „ breiten Masse " , nicht der berufenen Sachverständigen , Prenzlauer Berg , zweimal zwei Tore gegen Spandau vorlag und mit einer an Namen repräsentativen Hintermannschaft diesen Vorsprune nicht verteidigen konnte .	41	41	vorliegen
anders sagen $ stimmen d sowjetisch Entwurf eine solch Mitteilung $ die d amerikanisch Seite vorliegen $ völlig mit d Inhalt d sowjetisch Vorschlag vom 29. Juni überein $ die nach d Erklärung Amerikani^ scheren Offizielle von d Usa ohne irgendwelche Vorbedingung annehmen werden sein $	Anders gesagt , stimmte der sowjetische Entwurf einer solchen Mitteilung , der der amerikanischen Seite vorliegt , völlig mit dem Inhalt des sowjetischen Vorschlags vom 29. Juni überein , der nach den Erklärungen amerikani^ scher Offizieller von den USA ohne irgendwelche Vorbedingungen angenommen worden war .	15	15	vorliegen
$ auf d gestrig Sitzung d Außenminister werden d Diskussion über d .konkreten Frage $ die d Konferenz zur Behandlung $ vorliegen $ $ fortsetzen $	¦ Auf der gestrigen Sitzung der Außenminister Wurde die Diskussion über die .konkreten Fragen , die der Konferenz zur Behandlung - vorliegen , ' fortgesetzt .	21	21	vorliegen
auf all diese Frage antworten ich $ daß ->s nicht vernünftig sein $ daß eine derartig Erwägung keine Kritik standhalten können und daß keine Grund für eine derartig Erwähnen $ vorliegen $	Auf all diese Fragen antworte ich , daß ->s nicht vernünftig ist , daß eine derartige Erwägung keiner Kritik standhalten kann und daß kein Grund für eine derartige Erwähn » vorliegt .	30	30	vorliegen
im Ganze werden dann eine Fernsehwerk vorliegen $ die über eine Zeitraum von 50 Jahr verfolgen $ was in diese Land aus d ehemalig Habenichts an d Havel werden sein $	Im Ganzen wird dann ein Fernsehwerk vorliegen , das über einen Zeitraum von 50 Jahren verfolgt , was in diesem Land aus den ehemaligen Habenichtsen an der Havel geworden ist .	6	6	vorliegen
Horst Hemtze $ mehr als 25000 $ ganz exakt Zahl werden in Kürze vorliegen $	Horst Hemtze : Mehr als 25000 , ganz exakte Zahlen werden in Kürze vorliegen .	13	13	vorliegen
es werden vereinbaren $ d Mannschaft gemäß d Festlegung d beide deutsch olympisch Komitee nach d Leistungsprinzip zu ermitteln $ wobei entweder Ausscheidungskampf oder in Falle $ in die eine leistungsmäßig klar Überlegenheit einzeln Athlet vorliegen $ d vorherig Nominierune durch beide Verband entscheiden sollen $	Es wurde vereinbart , die Mannschaft gemäß den Festlegungen der beiden deutschen Olympischen Komitees nach dem Leistungsprinzip zu ermitteln , wobei entweder Ausscheidungskämpfe oder in Fallen , in denen eine leistungsmäßig klare Überlegenheit einzelner Athleten vorliegt , die vorherige Nominierune durch beide Verbände entscheiden soll .	35	35	vorliegen
De' Perspektivplan d Wojewodschaft d Geaenwärtiq in Warschau Zu' Prüfung und Bestätigung vorliegen $ sehen $ wie es scheinen $ außerordentlich akzeptabel Lösung vor $	De' Perspektivplan der Wojewodschaft der geaenwärtiq in Warschau zu' Prüfung und Bestätigung vorliegt , sieht , wie es scheint , außerordentlich akzeptable Lösungen vor .	12	12	vorliegen
d $ Geologie von Sachsen werden noch im Jahr 1960 gedruckt vorliegen $	Die „ Geologie von Sachsen wird noch im Jahre 1960 gedruckt vorliegen .	11	11	vorliegen
hier fehlen eine Angebot d Ddr-Betrieb $ obwohl auch noch keine reif Lösung im Weltmaßstab vorliegen $	Hier fehlt ein Angebot der DDR-Betriebe , obwohl auch noch keine reifen Lösungen im Weltmaßstab vorliegen .	15	15	vorliegen
wir stehen auf diese Gebiet $ obwohl d Praxis immer dringend Ergebnis benötigen $ noch am Anfang unsere Forschung und sein sehr froh $ Dafj nun erst Resultat vorliegen	Wir stehen auf diesen Gebieten , obwohl die Praxis immer dringender Ergebnisse benötigt , noch am Anfang unserer Forschungen und sind sehr froh , dafj nun erste Resultate vorliegen	28	28	vorliegen
d Hauptverwaltung benachrichtigen d Stadtbezirk von d beabsichtigt Auflösung d VF $ b asbesijraht erst $ nachdem fest Beschluß bei sie vorliegen und d Abtransport d Naschmen schon verfugen sein $	Die Hauptverwaltung benachrichtigte den Stadtbezirk von der beabsichtigten Auflösung des VF . B Asbesijraht erst , nachdem feste Beschlüsse bei ihr vorlagen und der Abtransport der naschmen schon verfugt war .	21	21	vorliegen
wie überaus groß d Interesse am meinungs- und Erfahrungsaustausch zu diese Thema sein $ beweisen d Tatsache $ daß in d Kommission schon am Mittag 113 Wortmeldung vorliegen $	Wie überaus groß das Interesse am Meinungs- und Erfahrungsaustausch zu diesem Thema ist , beweist die Tatsache , daß in der Kommission schon am Mittag 113 Wortmeldungen vorlagen .	27	27	vorliegen
