sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
you hit him and he work like a donkey $ like a soldier who can not break his oath of allegiance to king and country $	8	0	donkey	You hit him and he works like a donkey , like a soldier who can not break his oath of allegiance to king and country .	fic_1993_25024.txt-2073-8
somewhere down the slope a tether donkey begin to bray $	6	0	donkey	Somewhere down the slope a tethered donkey began to bray .	fic_1974_10580.txt-8228-6
in a few instance the donkey carry his tail about for period of up to an hour before acknowledge or discover his new identity $	5	0	donkey	In a few instances the donkey carried his tail about for periods of up to an hour before acknowledging or discovering his new identity .	nf_1990_774020.txt-820-5
in north america $ as elsewhere $ to celebrate christmas $ tree be force through living room door and load down with an anthropologist 's dream of symbolic ornaments-birds $ donkey $ candy $ star $ and sleighs with fat $ bearded gentleman in strange red suit $	30	0	donkey	In North America , as elsewhere , to celebrate Christmas , trees are forced through living room doors and loaded down with an anthropologist 's dream of symbolic ornaments-birds , donkeys , candies , stars , and sleighs with fat , bearded gentlemen in strange red suits .	nf_1991_746789.txt-20-30
be sit beside the road $ in her misery roast a piece of a dead donkey $	15	0	donkey	was sitting beside the road , in her misery roasting a piece of a dead donkey .	nf_1988_773806.txt-873-15
plow $ harvest $ weed $ thresh $ little girl and boy water buffalo $ shepherd large flock of goose and duck or herd of pig $ fisherman cast their net $ gang of worker lay railroad track $ cart pull by donkey $ buffalo $ or man $ transport stone $ brick $ <nul>	42	0	donkey	plowing , harvesting , weeding , threshing ; little girls and boys watering buffalo , shepherding large flocks of geese and ducks or herds of pigs ; fishermen casting their nets ; gangs of workers laying railroad tracks ; carts pulled by donkeys , buffalo , or men , transporting stone , brick , sorghum.	mag_1973_431860.txt-18-42
to some it sound like a mob of crow $ to other a donkey 's bray $	13	0	donkey	To some it sounds like a mob of crows , to others a donkey 's bray .	fic_1994_54030.txt-305-13
why do n't you wear a cap $ you donkey $	9	0	donkey	Why do n't you wear a cap , you donkey ?	fic_1970_10536.txt-1122-9
each day $ in his modestly size office decorate with donkey illustration and photo $ he think about how to make their live better $	10	0	donkey	Each day , in his modestly sized office decorated with donkey illustrations and photos , he thinks about how to make their lives better .	news_2007_637936.txt-1-10
earlall right $ i be about as subtle as a donkey 's ass $	10	0	donkey	EARLAll right , I 'm about as subtle as a donkey 's ass .	fic_1990_16024.txt-1643-10
the goal of a balance budget $ which have be enshrine in the gramm -- rudman law $ be now replace by a process analogous to a donkey chase a carrot tie to the end of a stick $	27	0	donkey	The goal of a balanced budget , which had been enshrined in the Gramm -- Rudman law , is now replaced by a process analogous to a donkey chasing a carrot tied to the end of a stick .	mag_1990_388658.txt-36-27
pastoralist breed and manage camel $ donkey $ sheep and goat as well as cattle $	6	0	donkey	Pastoralists breed and manage camels , donkeys , sheep and goats as well as cattle .	nf_1990_773851.txt-1129-6
you know $ $ althea stokes have tell my mother $ in that big $ sad donkey voice	16	0	donkey	You know , " Althea Stokes had told my mother , in that big , sad donkey voice	fic_1999_30759.txt-67-16
all i remember be shrek and the donkey help me up $ and liza minnelli give me a towel $ $ say the singer-guitarist $	7	0	donkey	All I remember is Shrek and the donkey helping me up , and Liza Minnelli giving me a towel , " said the singer-guitarist .	mag_2009_405388.txt-18-7
i have be treat like a donkey for such a while $ sometimes i fear i have begin think like one $ $	6	0	donkey	I 've been treated like a donkey for such a while , sometimes I fear I 've begun thinking like one . "	fic_1993_1040075.txt-370-6
let you play in the mountain while i bring donkey out to work and pick olive $	9	0	donkey	Let you play in the mountains while I bring donkeys out to work and pick olives ?	fic_1984_10723.txt-1278-9
mcgarry do you remember the scene where the donkey cart break down $ in the village $	8	0	donkey	MCGARRY Do you remember the scene where the donkey cart breaks down , in the village ?	fic_1961_14307.txt-2701-8
when yusuf and his borrow donkey return home $ footsore and hungry after five	5	0	donkey	WHEN YUSUF and his borrowed donkey returned home , footsore and hungry after five	fic_2005_50069.txt-390-5
$ a donkey $ $ cyrus say quickly $ realize that the adult conspiracy prevent her from know the other term $ $	2	0	donkey	" A donkey , " Cyrus said quickly , realizing that the Adult Conspiracy prevented her from knowing the other term . "	fic_2008_36244.txt-94-2
just as the donkey game show that play should not be relegate casually to the garbage-can category of expressive behavior ' $	3	0	donkey	just as the donkey game showed that play should not be relegated casually to the garbage-can category of expressive behavior ' .	nf_1990_774020.txt-1017-3
i know i sound like a donkey but hush $	6	0	donkey	I know I sound like a donkey but hush .	fic_1988_13990.txt-761-6
he add that he need to work with his donkey awhile $	9	0	donkey	He added that he needed to work with his donkey awhile .	fic_1970_782001.txt-2725-9
they sit with the motor idle until the farmer lead the donkey to a stand of tall grass into which he fold himself as the donkey begin to graze $ $	25	0	donkey	They sat with the motor idling until the farmer led the donkey to a stand of tall grass into which he folded himself as the donkey began to graze . "	fic_2000_28733.txt-74-25
she board a donkey and ride off into the jungle with jahausa $	3	0	donkey	She boards a donkey and rides off into the jungle with Jahausa .	fic_1992_16254.txt-452-3
the cobbled street and narrow sidewalk have be flush with water and some child be play around the raise platform where the donkey and mare have be mate on that long-ago fateful day $	22	0	donkey	The cobbled streets and narrow sidewalks had been flushed with water and some children were playing around the raised platform where the donkey and mare had been mated on that long-ago fateful day .	fic_1984_10723.txt-3174-22
two boy race by on their donkey $ madly wave shaggy palm leaf $ and call $ $ do n't you want to see the king $ $	6	0	donkey	Two boys raced by on their donkeys , madly waving shaggy palm leaves , and calling , " Do n't you want to see the king ? "	fic_1987_10753.txt-7846-6
as mashiab remove the tail to cry of donkey ' $ shlomo tickle him $	8	0	donkey	As Mashiab removed the tail to cries of donkey ' , Shlomo tickled him .	nf_1990_774020.txt-861-8
we see dravot 's whole army $ now of truly impressive size $ on the march with all its panoply $ banner $ drum $ woman camp follower $ herd of goat $ a supply train of donkey $	37	0	donkey	We see Dravot 's whole Army , now of truly impressive size , on the march with all its panoply : banners , drums , women camp followers , herds of goats , a supply train of donkeys .	fic_1975_16400.txt-1817-37
finally the two man and their donkey vanish over a rise in the street $ but she keep watch and finally they appear again $ high above the town of montelepre $ enter the range of mountain that surround the town $	6	0	donkey	Finally the two men and their donkey vanished over a rise in the street , but she kept watching and finally they appeared again , high above the town of Montelepre , entering the range of mountains that surrounded the town .	fic_1984_10723.txt-684-6
no rare wood here $ no perfumed wine $ no choir of boy $ but bael with the head of a man and a spider 's body $ cat and toad grow out of his neck $ commandingforty-six legion of devil $ behemoth $ full stomachedas omensetter 's wife have be with her skin like shining satin $ but otherwise an elephant devour grass like the ox $ his whole strength in his loin and his virtue fit in the button of his belly $ commanding thrice seven regiment of fury $ astaroth $ the ugly angel $ vulgarly astride a dragon $ lead forty legion $ forcas on a donkey $ marchocias vomit $ buer in a wheel of hoof revolve $ asmodeus $ theutus $ incubus $ demon after demon draw delightfully by angelo $ who make god 's finger like an amorous engine for the vatican $	110	0	donkey	No rare woods here , no perfumed wine , no choirs of boys , but Bael with the head of a man and a spider 's body , cat and toad growing out of his neck , commandingforty-six legions of devils ; Behemoth , full stomachedas Omensetter 's wife had been with her skin like shining satin , but otherwise an elephant devouring grass like the oxen , his whole strength in his loins and his virtue fitted in the button of his belly , commanding thrice seven regiments of furies ; Astaroth , the ugly angel , vulgarly astride a dragon , leading forty legions ; Forcas on a donkey ; Marchocias vomiting ; Buer in a wheel of hooves revolving ; Asmodeus ; Theutus ; Incubus -- demon after demon drawn delightfully by Angelo , who made God 's finger like an amorous engine for the Vatican .	fic_1966_10472.txt-5131-110
well $ hell $ marty $ $ say kramer $ figure that $ have be a fellow soldier with him in the bullshit skirmish at reverend bacon 's $ he could go on a nickname basis with the dauntless little irish donkey $ $ the kid	41	0	donkey	Well , hell , Marty , " said Kramer , figuring that , having been a fellow soldier with him in the bullshit skirmish at Reverend Bacon 's , he could go on a nickname basis with the dauntless little Irish Donkey , " the kids	fic_1987_782034.txt-8660-41
street scene and marketplace be hypnotic $ cow $ donkey $ goat $ camel $ chicken $ elephant share the road with car $ bus $ truck $ motorcycle $ human-powered	9	0	donkey	Street scenes and marketplaces are hypnotic : cows , donkeys , goats , camels , chickens , elephants sharing the roads with cars , buses , trucks , motorcycles , human-powered	nf_1999_774012.txt-1341-9
his donkey festoon with goat rib cage and leg $	1	0	donkey	his donkey festooned with goat rib cages and legs ?	mag_1978_479996.txt-153-1
a few example of how antwerp ' 93 hope to promote this discussion $ $ zingaro $ $ a circus opera employ a georgian man 's choir $ a berber woman 's choir $ gypsy $ and a menagerie of 12 breed of horse $ donkey $ and goose $ all perform together in harmony $ $ pigeon and pencil $ $ a commission symphonic work perform by young musician from antwerp 's moroccan community $ and the antwerp ' 93 ark $ a performing art $ refuge $ that will stage group of young dancer $ musician $ and actor from around the world $	45	0	donkey	A few examples of how Antwerp ' 93 hopes to promote this discussion : " Zingaro , " a circus opera employing a Georgian men 's choir , a Berber women 's choir , Gypsies , and a menagerie of 12 breeds of horses , donkeys , and geese , all performing together in harmony ; " Pigeons and Pencils , " a commissioned symphonic work performed by young musicians from Antwerp 's Moroccan community ; and the Antwerp ' 93 ark , a performing arts " refuge " that will stage groups of young dancers , musicians , and actors from around the world .	news_1993_655718.txt-34-45
the front room $ one of the man introduce the motif of the donkey tree ' to mock zackaria 's paternity $	13	0	donkey	the front room , one of the men introduced the motif of the donkey tree ' to mock Zackaria 's paternity .	nf_1990_774020.txt-757-13
she think of him as ride on a donkey $ share a truck with a load of sheep $ walk along the dusty track and clay road $ hide in olive grove and in the wind alley of small town before he slip across the far edge of the spanish plain into portugal $	8	0	donkey	She thought of him as riding on a donkey , sharing a truck with a load of sheep , walking along the dusty tracks and clay roads , hiding in olive groves and in the winding alleys of small towns before he slipped across the far edge of the Spanish plain into Portugal .	fic_1983_10704.txt-1836-8
passatempo kill the uncle who give him his first donkey $ $	9	0	donkey	Passatempo killed the uncle who gave him his first donkey . "	fic_1984_10723.txt-2046-9
the donkey 's work have just begin $ he have a much less pleasant task before him $	1	0	donkey	The donkey 's work had just begun ; he had a much less pleasant task before him .	fic_1984_10723.txt-620-1
one have frieze of donkey $ ox and olive tree $ and could have be carve during the start of any middle eastern culture $	4	0	donkey	One has friezes of donkeys , oxen and olive trees , and could have been carved during the start of any Middle Eastern culture .	nf_1999_774019.txt-609-4
next to an open green door hang a vertical sign $ and mrs.- pollifax bring out her small camera and take a picture of the charming vignette $ a courtyard $ a door $ a leafy green tree $ a donkey cart park next to the door $ '	40	0	donkey	Next to an open green door hung a vertical sign , and Mrs. Pollifax brought out her small camera and took a picture of the charming vignette : a courtyard , a door , a leafy green tree , a donkey cart parked next to the door . '	fic_1983_10710.txt-482-40
$ some donkey $ more likely $ $ say heatter wryly $ $	2	0	donkey	" Some donkey , more likely , " said Heatter wryly . "	fic_1977_10620.txt-714-2
from beirut last week he cable his report on a 23-day trek in which he cross the peak $ plateau and wadis from aden to the saudi arabian border $ travel a total of 1,000 mile by camel $ donkey $ car and shoe leather without once leave royalist-held territory $ see map $ $	39	0	donkey	From Beirut last week he cabled his report on a 23-day trek in which he crossed the peaks , plateaus and wadis from Aden to the Saudi Arabian border , traveling a total of 1,000 miles by camel , donkey , car and shoe leather without once leaving royalist-held territory ( see map ) .	mag_1963_269445.txt-16-39
in valdeverdeja $ water be still sell house to house from earthenware jar haul by mule $ and the villager go around in two-wheeled cart pull by donkey $	27	0	donkey	In Valdeverdeja , water was still sold house to house from earthenware jars hauled by mules , and the villagers went around in two-wheeled carts pulled by donkeys .	fic_1996_29811.txt-147-27
in her mind 's eye she see a long line of camel $ horse $ donkey slowly move up this trackless valley to arrive at this oasis with its glacier-fed run water $ so incongruous in the midst of the heat and sun and desert $	15	0	donkey	In her mind 's eye she saw a long line of camels , horses , donkeys slowly moving up this trackless valley to arrive at this oasis with its glacier-fed running water , so incongruous in the midst of the heat and sun and desert .	fic_1983_10710.txt-2763-15
the two young carabinieri with their machine pistol be not so much to be fear $ they be carelessly approach the donkey $ not take their prisoner seriously $	21	0	donkey	The two young carabinieri with their machine pistols were not so much to be feared ; they were carelessly approaching the donkey , not taking their prisoners seriously .	fic_1984_10723.txt-770-21
he jerk the donkey to a halt and hold up his hand to aspanu $	3	0	donkey	He jerked the donkey to a halt and held up his hand to Aspanu .	fic_1984_10723.txt-755-3
he do n't accept defeat gracefully $ and be know by his fellow seminarian as the donkey $ or the	16	0	donkey	He did n't accept defeat gracefully , and was known by his fellow seminarians as the donkey , or the	fic_1975_10601.txt-83-16
the man who have leave santa vittoria with the donkey and the mule come back to the city early one evening	9	0	donkey	The men who had left Santa Vittoria with the donkey and the mule came back to the city early one evening	fic_1966_781993.txt-2170-9
we take observation position and spot two horseman on the horizon trail a pair of donkey load with provision $	15	0	donkey	We took observation positions and spotted two horsemen on the horizon trailing a pair of donkeys loaded with provisions .	fic_1976_10615.txt-992-15
p.-a 21 feng many night i ride on my donkey over the mountain and i think of new poem $	9	0	donkey	p. 21 FENG Many nights I ride on my donkey over the mountains and I think of new poems .	fic_1968_13276.txt-831-9
it be instantly at home with the badtemperedfowls who fight each other over the scrap toss them from the doorway $ and the donkey stand $ abject and morose $ near the cactus bush where the wash be hang to dry $	23	0	donkey	It was instantly at home with the badtemperedfowls who fought each other over the scraps tossed them from the doorway , and the donkey standing , abject and morose , near the cactus bush where the wash was hung to dry .	fic_1969_10510.txt-1908-23
he have be $ wash the head of a donkey $ $	9	0	donkey	He had been " washing the head of a donkey . "	fic_1985_10731.txt-2411-9
part of the fun lay in the donkey ' be unaware of his acquire identity $	7	0	donkey	Part of the fun lay in the donkey ' being unaware of his acquired identity .	nf_1990_774020.txt-815-7
culture shock in this north african country hit you like a million volt $ upon arrival $ you be overwhelm by leathery-faced man wear long robe with point hood or turban $ veiled woman with tattooed hand $ deformed beggar $ donkey cart in chaotic street $ muslim prayer wail from towering mosque $	41	0	donkey	Culture shock in this North African country hits you like a million volts : Upon arrival , you 're overwhelmed by leathery-faced men wearing long robes with pointed hoods or turbans ; veiled women with tattooed hands ; deformed beggars ; donkey carts in chaotic streets ; Muslim prayers wailing from towering mosques .	news_1993_630370.txt-2-41
i cry as well $ not just for love of hera-ra $ but in the terrible fear of know that the animal would not have get ill if i have keep him away from the donkey ' bag $ $	35	0	donkey	I cried as well , not just for love of Hera-Ra , but in the terrible fear of knowing that the animal would not have gotten ill if I had kept him away from the donkeys ' bags . "	fic_1983_10704.txt-9963-35
he understand the influence that give their ambition strength and direction $ the enlightenment and flowering of scientific curiosity $ the puritan ethic that place religion in the service of profit $ a vision of industrial progress that would free man from donkey work $ a dream of dynasty in which reward would be pass on to multiply through the effort of one 's son $	42	0	donkey	He understands the influences that gave their ambitions strength and direction : the Enlightenment and flowering of scientific curiosity ; the Puritan ethic that placed religion in the service of profit ; a vision of industrial progress that would free men from donkey work ; a dream of dynasty in which rewards would be passed on to multiply through the efforts of one 's sons .	mag_1981_297232.txt-5-42
they watch for another hour and then as the donkey enter the mountain range and take the upward path $ pisciotta say $ $ damn $ that rider be small than his donkey $	32	0	donkey	They watched for another hour and then as the donkey entered the mountain range and took the upward path , Pisciotta said , " Damn , that rider is smaller than his donkey .	fic_1984_10723.txt-1931-32
$ never mind donkey $ $ cleo say $ $	3	0	donkey	" Never mind donkeys , " Cleo said . "	fic_1987_10753.txt-7144-3
if we kill one at the top of the mountain $ we will have to cache it somewhere and then return for mel 's donkey $ jenny $ to pack the meat and the trophy out $ $	24	0	donkey	If we kill one at the top of the mountain , we will have to cache it somewhere and then return for Mel 's donkey , Jenny , to pack the meat and the trophy out . "	mag_1973_105602.txt-74-24
a new beauty in donkey 's year $ and his taste be perfect $ so it be flatter $ $	4	0	donkey	a new beauty in donkey 's years , and his taste is perfect , so it 's flattering . "	fic_1960_10402.txt-120-4
he resume his anecdote in italian about the donkey that have get into the ground the previous week $ lay waste to a vegetable patch $ and chew up a wholep260chapter of manuscript $	8	0	donkey	He resumed his anecdote in Italian about the donkey that had gotten into the grounds the previous week , laid waste to a vegetable patch , and chewed up a wholep260chapter of manuscript .	fic_1971_10544.txt-4957-8
it be rare that a female mule can conceive $ they be classify as a sterile animal $ product of the union between a mare and donkey $	26	0	donkey	It is rare that a female mule can conceive ; they are classified as a sterile animal , product of the union between a mare and donkey .	fic_1984_10723.txt-413-26
mary end her reverie when she hear the clop of the mcmahon donkey $ $	12	0	donkey	Mary ended her reverie when she heard the clop of the McMahon donkey . "	fic_1993_53894.txt-128-12
i believe joshua do pray to god and the sun stand still $ on her israeli trip she become frighten while travel over the twist road of the rugged judean hill $ until a $ spirit $ reprimand her $ $ if joseph could bring mary over these rough mountain on a donkey $ you ought a be ashamed of yourself $ mahalia $ $	52	0	donkey	I believe Joshua did pray to God and the sun stood still " On her Israeli trip she became frightened while traveling over the twisting roads of the rugged Judean Hills , until a " Spirit " reprimanded her : " If Joseph could bring Mary over these rough mountains on a donkey , you ought a be ashamed of yourself , Mahalia . "	mag_1961_246109.txt-19-52
the mating of the donkey and the miracle mule fail $	4	0	donkey	The mating of the donkey and the Miracle Mule failed .	fic_1984_10723.txt-926-4
