sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
Produktion von je 1000 Kubikmeter Plaste $ Rohstahl und Aluminium verhalten sich wie 1 $ 3 $ 5 $	4	0	Kubikmeter	Produktion von je 1000 Kubikmeter Plaste , Rohstahl und Aluminium verhält sich wie 1 : 3 : 5 .	2532889X_1969-03-29_01_216.tcf.xml-21-4
mit Hufe eine weitverzweigt System von Entwasserungsätollen $ jährlich sein etwa dreißig Kilometer Vortrieb planen $ können spät 240 Kubikmeter Wasser pro Minute aus Kohle und Erdreich pumpen werden $	19	0	Kubikmeter	Mit Hufe eines weitverzweigten Systems von Entwasserungsätollen — jährlich sind etwa dreißig Kilometer Vortrieb geplant — können später 240 Kubikmeter Wasser pro Minute aus Kohle und Erdreich gepumpt werden .	2532889X_1962-01-13_01_037.tcf.xml-8-19
fast eine Million Mark im Jahr springen heraus $ wenn unsere ganz Besatzung d Förderbrücke pro Kubikmeter Abraum d Kosten um nur eine Pfennig senken $	16	0	Kubikmeter	Fast eine Million Mark im Jahr springen heraus , wenn unsere ganze Besatzung der Förderbrücke pro Kubikmeter Abraum die Kosten um nur einen Pfennig senkt .	2532889X_1981-01-22_01_062.tcf.xml-113-16
21,1 Million Kubikmeter Abraum können im erst Halbjahr zusätzlich bewegen werden $	2	0	Kubikmeter	21,1 Millionen Kubikmeter Abraum konnten im ersten Halbjahr zusätzlich bewegt werden .	2532889X_1976-07-10_01_007.tcf.xml-23-2
wir haben wir dafür durch d Fertigstellung von 24000 Kubikmeter fest Siloraum im kommend Jahr gut Voraussetzung schaffen $	9	0	Kubikmeter	Wir haben uns dafür durch die Fertigstellung von 24000 Kubikmeter festen Siloraumes im kommenden Jahr gute Voraussetzungen geschaffen .	2532889X_1980-12-13_01_085.tcf.xml-25-9
d Reisigverarbeitung liegen bei etwa 150000 Kubikmeter im Jahr $	6	0	Kubikmeter	Die Reisigverarbeitung liegt bei etwa 150000 Kubikmetern im Jahr .	26120215_1980_08_21_01_046.tcf.xml-6-6
d Mischfutterauflleger besitzen eine Ladevolumen 19 Kubikmeter $ zum Transport von Schlachtvieh $ aber auch von zucht- und	6	0	Kubikmeter	Der Mischfutterauflleger besitzt ein Ladevolumen 19 Kubikmetern , Zum Transport von Schlachtvieh , aber auch von Zucht- und	2532889X_1974-06-29_01_214.tcf.xml-18-6
De Regierunc d Niederlande lehnen ab $ d amerikanisch Konzern $ piaeid oil $ d Lieferung von etwa 140 Milliarde Kubikmeter Erdgas aus d holländisch Teil Tles Festlandsockel in d Brd zu erlauben $	20	0	Kubikmeter	De Regierunc der Niederlande lehnte ab , dem amerikanischen Konzern „ Piaeid Oil " die Lieferung von etwa 140 Milliarden Kubikmeter Erdgas aus dem holländischen Teil Tles Festlandsockels in die BRD zu erlauben .	26120215_1973_01_07_01_337.tcf.xml-3-20
d Verordnung d Senat werden ohne Debatte zur Kenntnis nehmen $ die d Miete ab 1. Januar bzw. Februar 1958 um drei Prozent erhöhen $ d Gaspreis um drei Pfennig je Kubikmeter heraufsetzen $ die	31	0	Kubikmeter	Die Verordnungen des Senats wurden ohne Debatte zur Kenntnis genommen , die die Mieten ab 1. Januar bzw. Februar 1958 um drei Prozent erhöhen , den Gaspreis um drei Pfennig je Kubikmeter heraufsetzen , das	26120215_1957_12_22_02_236.tcf.xml-4-31
Monat $ und d Wolga $ Don-Kanal mit seine 30 Schleuse $ viel Staudamm und Pumpstation $ d Wasserkraftwerk Zimlianskaja $ d riesig Stausee von 12,6 Mrd. Kubikmeter Fassungsvermögen sein beenden $ Moskau sein dann Hafen von fünf Meer $ Maschine fest Ausmaß entstehen in diese Jahr $ um d gewaltig Bauvorhaben in d Sowjetunion planmäßig zu beenden $ Bagger von 40 M Höhe $ Lastwagen von 25 Fassungsvermögen $	27	0	Kubikmeter	Monate , und der Wolga — Don-Kanal mit seinen 30 Schleusen , vielen Staudämmen und Pumpstationen , dem Wasserkraftwerk Zimlianskaja , dem riesigen Stausee von 12,6 Mrd. Kubikmeter Fassungsvermögen ist beendet , Moskau ist dann Hafen von fünf Meeren , Maschinen festesten Ausmaßes entstanden in diesem Jahr , um die gewaltigen Bauvorhaben in der Sowjetunion planmäßig zu beenden : Bagger von 40 m Höhe , Lastwagen von 25 Fassungsvermögen .	26120215_1951_09_02_03_019.tcf.xml-58-27
