sentence_lemma	sentence_token	index_lemma	index_token	lemma
mürrisch und knurrig legen er d Gummikragen ab $ $ Treift d Manschette zum Ellenbogen $	Mürrisch und knurrig legt er den Gummikragen ab , « treift die Manschetten zum Ellenbogen .	12	12	Manschette
Popelinebluse mit Spachtelspitze und Samtband an d Manschette und am Kragen $ dazu eine durchgeknöpft Flanellrock $ die Plisseefalte erst auf d Hüfte beginnen $	Popelinebluse mit Spachtelspitze und Samtband an den Manschetten und am Kragen ; dazu ein durchgeknöpfter Flanellrock , dessen Plisseefalten erst auf der Hüfte beginnen .	7	7	Manschette
dann kommen eine Päckchen mit fein gestickt Wäsche zum Vorschein $ Tuch und Manschette $ zuletzt Brief von d Mutter und von Elisabeth $	Dann kam ein Päckchen mit feiner gestickter Wäsche zum Vorschein , Tücher und Manschetten , zuletzt Briefe von der Mutter und von Elisabeth .	13	13	Manschette
Wassili Wassiljewitsch $ eine stark $ gut gekleidet Herr $ mit eine Nadel im Schlips und golden Knopf an gestärkt $ unter d Ärmel eine gediegen Jacke hervorspringend Manschette $ haben eine groß schön $ weich Gesicht mit glatt Haut und greisenhaft rosig $ schon leicht erschlaffend Wange $	Wassili Wassiljewitsch , ein starker , gut gekleideter Herr , mit einer Nadel im Schlips und goldenen Knöpfen an gestärkten , unter den Ärmeln einer gediegenen Jacke hervorspringenden Manschetten , hatte ein großes schönes , weiches Gesicht mit glatter Haut und greisenhaft rosigen , schon leicht erschlaffenden Wangen .	28	28	Manschette
strafen 135. Telefon 5 $ 3701 und 56 37 02 Fischgrat $ mit abknöpfbar mit Pelzbesatz $ embroß-kra- 750 MDN $ Zuschrift Erb. an HO 6812. Jg. Akademiker suchen dringend eine nicht- 117 Berlin $ Bahnhofstr. 2a Pelzkragen $ $ 434.- gen und Manschette 331.10 $ wieder mal ins erfaßt möbliert Zimmer. Zuschr. Untel HO 6823 $	Strafte 135. Telefon 5 « 3701 und 56 37 02 Fischgrat , mit abknöpfbarem mit Pelzbesatz , Embroß-Kra- 750 MDN . Zuschriften erb. an HO 6812. Jg. Akademiker sucht dringend ein nicht- 117 Berlin . Bahnhofstr. 2a Pelzkragen >. . 434.- gen und Manschetten 331.10 ... wieder mal ins erfaßtes möbliertes Zimmer. Zuschr. untel HO 6823 .	43	43	Manschette
es werden eine neu Paste entwickeln $ die sich zur Pflege alle synthetisch Faser eignen $ speziell aber d Kragen und Manschette an synthetisch Hemd und Bluse mühelos säubern $	Es wurde eine neue Paste entwickelt , die sich zur Pflege aller synthetischen Fasern eignet , speziell aber die Kragen und Manschetten an synthetischen Hemden und Blusen mühelos säubert .	21	21	Manschette
Leerzim $ ab August oder $ Beste Gumml-Prie $ $ je 3 Dtz. Kragen und Manschette mit Sprungelasiischer Moqlichkeit zu pachten oder zu kaufen 1193 Berlin $ am S-Bhf. Treptower Park Sept $	Leerzim , ab August oder ( Beste Gumml-Prie ) . Je 3 Dtz. Kragen und Manschetten mit sprungelasiischer moqlichkeit zu pachten oder zu kaufen 1193 Berlin , am S-Bhf. Treptower Park Sept .	15	15	Manschette
mürrisch und Imurrig legen er d Gummikragen ab $ Mreift d Manschette zum Ellenbogen $ $ .erde raus und rein $ grün $ Farbe her $ Hammer $ Nägel $ $ $ eine paar fachlich-sachlich Erläuterung zum gleichfalls bastelnd Oberlehrer von nebenan $	Mürrisch und Imurrig legt er den Gummikragen ab , Mreift die Manschetten zum Ellenbogen . . .Erde raus und rein ,' grüne ' Farbe her , Hammer , Nägel . . . ein paar fachlich-sachliche Erläuterungen zum gleichfalls bastelnden Oberlehrer von nebenan .	11	11	Manschette
Schaffell $ Leop -muster $ Kragen u. Manschette $ Dkl -br $ 1,5 TM $ dazu pass Pelzkappe $ Hut $ 100,—. tel. 6457081 $ Smolk. $ $ ab 17 Uhr da -laderiacfce $ Schw $	Schaffell , Leop -Muster , Kragen u. Manschetten , dkl -br , 1,5 TM , dazu pass Pelzkappe / Hut , 100,—. Tel. 6457081 ( Smolk. ) , ab 17 Uhr Da -Laderiacfce . schw .	7	7	Manschette
Praxis $ Su. Int. Material $ tätigk. erb. ausf. angeb. an 215 und in d Ifa-Fachfillalen Schwedt $ Eberswalde $ Strausberg $ für Anz.-Berger $ 1162 Ber in Kragen und Manschette ten- Ing. $ Wbl. $ Technologie d. elektrisch Kürze und Verlängern d Ärmel Walde $ Eisenhüttenstadt $ Beeskow und Frankfurt $ Oder $ Gerätsbau $ Su. Int. Tätigk $ 7049 bz-pav.. 108 Berlin Reparatur werden auch an d oben angeführt ing. f. mb $ hs-fernstud $ $ su. int. tätigk $ $ Mögl. Mont.-Ration $ $ Ration $ $ Artikel ausführen nicht Bed. $ m. ent.-möglichk $ a 58399 bz-fil.. 1017 Berlin d Auftragsannahme erfolgen in Teilkonstrukteur $ Bau $ suchen Tätigkeit Jg. Mann $ m. Fahrerl. i u. v $ elektro- dipl $ Landw. $ Su. nach 6j $	Praxis , su. int. Material ) Tätigk. Erb. ausf. Angeb. an 215 und in den IFA-Fachfillalen Schwedt , Eberswalde , Strausberg , Für Anz.-Berger , 1162 Ber in Kragen und Manschetten ten- Ing. , wbl. , Technologie d. Elektrischen Kürzen und Verlängern der Ärmel walde , Eisenhüttenstadt , Beeskow und Frankfurt ( Oder ) Gerätsbaues , su. int. Tätigk . 7049 BZ-Pav.. 108 Berlin Reparaturen werden auch an den oben angeführten Ing. f. MB ( HS-Fernstud . ) su. int. Tätigk . , mögl. Mont.-Ration . , Ration . , Artikeln ausgeführt nicht Bed. . m. Ent.-Möglichk . A 58399 BZ-Fil.. 1017 Berlin Die Auftragsannahme erfolgt in Teilkonstrukteur ( Bau ) sucht Tätigkeit Jg. Mann , m. Fahrerl. I u. V , Elektro- Dipl .- landw. , su. nach 6j .	30	30	Manschette
