sentence_lemma	sentence_token	target_index	original_word
ich werden vor Einreichung eine solch Artikel auch d angegreifen Seite Stellung nehmen lassen $	Ich würde vor Einreichung eines solchen Artikels auch die angegriffene Seite Stellung nehmen lassen .	3	Einreichung
im Produktionsaufgebot werden in alle Zweig d Industrie eine erhöht vorschlags- und Erfindertätigkeit erreichen 14,7 Prozent alle beschäf-1 Tigten d Industrie beteiligen sich an d Einreichung von Verbesserungsvorschlag $	Im Produktionsaufgebot wurde in allen Zweigen der Industrie eine erhöhte Vorschlags- und Erfindertätigkeit erreicht 14,7 Prozent aller Beschäf-1 tigten der Industrie beteiligten sich an der Einreichung von Verbesserungsvorschlägen .	25	Einreichung
d Aufgabe d Wahlkommission hören sich sehr nüchtern und organisatorisch an $ sie leiten d Vorbereitung und Durchführung d Wahl $ gewährleisten d strikt Einhaltung d wahlrechtlich Bestimmung $ fordern zur Einreichung von Wahlvorschlag auf und bestätigen d von d Ausschuß d national Front beschließen Wahlvorschlag $	Die Aufgaben der Wahlkommissionen hören sich sehr nüchtern und organisatorisch an : Sie leiten die Vorbereitung und Durchführung der Wahlen . gewährleisten die strikte Einhaltung der wahlrechtlichen Bestimmungen , fordern zur Einreichung von Wahlvorschlägen auf und bestätigen die von den Ausschüssen der Nationalen Front beschlossenen Wahlvorschläge .	31	Einreichung
heute dauern bei wir in d Regel d Zeit $ von d Einreichung d Ver $	Heute dauert bei uns in der Regel die Zeit . von der Einreichung der Ver -	12	Einreichung
d Sekretariat d Bundesvorstand d FDGB haben zur Einreichung von Vorschlagen zur Verleihung d Nationalpreis 1952 und zur Verleihung d Ehrentitel $ Held d Arbeit $ $ $ verdient Erfindct* $ $ verdient Aktivist $ und $ Brigade d gut Qualität $	Das Sekretariat des Bundesvorstände des FDGB hat zur Einreichung von Vorschlagen zur Verleihung der Nationalpreise 1952 und zur Verleihung der Ehrentitel „ Held der Arbeit " , „ Verdienter ErfindCT* , „ Verdienter Aktivist " und „ Brigade der besten Qualität "	8	Einreichung
wie d $ deutsch Tischtennissport $ in Nr. 13 lakonisch mitteilen $ sein d $ Einreichung von Genehmigungsantrag für d Zeit vom 1. bis 6. August zwecklos $ $	Wie der „ Deutsche Tischtennissport " in Nr. 13 lakonisch mitteilt , ist die „ Einreichung von Genehmigungsanträgen für die Zeit vom 1. bis 6. August zwecklos " .	15	Einreichung
bei d Einreichung ihr Vorschlag zu d behandeln Frage handeln d Sowietunion völlig konsequent und in voll Obereirstimmung mit d Grundsatz ihr Außenpolit'k $ Wolcher Dns wichtig Prinzip d friedlich Koexistenz d Staat $ Ugrunde liegen $	Bei der Einreichung ihrer Vorschlage zu der behandelten Frage handele die Sowietunion völlig konsequent und in voller Obereirstimmung mit den Grundsätzen ihrer Außenpolit'k . wolcher dns wichtige Prinzip der friedlichen Koexistenz der Staaten « ugrunde liege .	2	Einreichung
technisch Wissenschaft Agrarwissenschaft Wirtschaftswissenschaft Lehrkraft für d berufstheoretisch Unterricht $ Einreichung d Bewerbungsunterlage nur $ über d Abt. Berufsbildung/berufsberatung d Rat d Kreis und Bezirk philosophisch-historisch Wissenschaft $ staats- und Rechtswissenschaft $ nur Fachrichtung Philosophie $ wissenschaftlich Kommunismus $ Geschichte $ kultur- $ kunst- $ erziehungs- und Sportwissenschaft $ nur Fachrichtung Kulturwissenschaft $ literatur- und Sprachewissenschaft $ nur Fachrichtung Journalistik $ Kunst $ nur Fachrichtungsgruppe Musik und Fachrichtung Buchgestaltung $ Fotografik $ vollständig Bewerbungsunterlage sein bis zum 5. Oktober 1976 an d Zentralstelle für d Hochschulefemstudium d Ministerium für hoch- und Fachschulwesen Abteilung Information und Aufnahme 8027 Dresden $	Technische Wissenschaften Agrarwissenschaften Wirtschaftswissenschaften Lehrkräfte für den berufstheoretischen Unterricht ( Einreichung der Bewerbungsunterlagen nur . über die Abt. Berufsbildung/Berufsberatung der Räte der Kreise und Bezirke Philosophisch-Historische Wissenschaften , Staats- und Rechtswissenschaften ( nur Fachrichtungen Philosophie , Wissenschaftlicher Kommunismus , Geschichte ) Kultur- , Kunst- , Erziehungs- und Sportwissenschaften ( nur Fachrichtung Kulturwissenschaft ) Literatur- und Sprachwissenschaften ( nur Fachrichtung Journalistik ) Kunst ( nur Fachrichtungsgruppe Musik und Fachrichtungen Buchgestaltung , Fotografik ) Vollständige Bewerbungsunterlagen sind bis zum 5. Oktober 1976 an die Zentralstelle für das Hochschulfemstudium des Ministeriums für Hoch- und Fachschulwesen Abteilung Information und Aufnahme 8027 Dresden .	10	Einreichung
Altersrentner bei Einreichung ihr Antrag behilflich zu sein und in alle Frage erschöpfend Auskunft in verständlich Form zu geben $	Altersrentnern bei Einreichung ihrer Anträge behilflich zu sein und in allen Fragen erschöpfende Auskunft in verständlicher Form zu geben .	2	Einreichung
was sein die für eine Sekretariat $ die erst eineinhalb Monat vor d letzte Termin d Einreichung d Vorschlag durch d Zeitung $ darauf aufmerksam machen werden müssen $ daß d Zentralrat d FDJ ja auch vorschlagsberechtigt sein $	Was ist das für ein Sekretariat , das erst eineinhalb Monate vor dem letzten Termin der Einreichung der Vorschläge durch die Zeitung . darauf aufmerksam gemacht werden muß , daß der Zentralrat der FDJ ja auch ¦vorschlagsberechtigt ist .	16	Einreichung
d Wähler erhalten d Stimmezettel Wahieebiete sein $ Einreichung von Wahlvorschlag und d $ 1 $	Die Wähler erhalten die Stimmzettel Wahieebiete sind : Einreichung von Wahlvorschlägen und die ( 1 )	8	Einreichung
weit Maßnahme dienen d wirksam Hilfe für d Erfinder bei d Ausarbeitung und Einreichung d Patentanmeldung $ bei d Erprobung und Realisierung ihr Idee $	Weitere Maßnahmen dienen der wirksamen Hilfe für die Erfinder bei der Ausarbeitung und Einreichung der Patentanmeldungen , bei der Erprobung und Realisierung ihrer Ideen .	13	Einreichung
Bewerbung politisch unbelastet Bewerber Einreichung d Gehaltsanspruch und eine Lichtbild sein zu richten an Rewl-Verband $ Potsdam $ brandenburger Straße 49—52 $ Personalabteilung Stadttheater Guhen suchen ab sofort $	Bewerbungen politisch unbelasteter Bewerber Einreichung der Gehaltsansprüche und eines Lichtbildes sind zu richten an Rewl-Verband , Potsdam , Brandenburger Straße 49—52 , Personalabteilung Stadttheater Guhen sucht ab sofort :	4	Einreichung
