sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
<nul> the hidden diary of marie antoinette a novel by erickson $ carolly <nul> martin 's griffin erickson $ carolly june 17 $ 1769 my name be archduchess maria antonia $ call antoinette $ and i be thirteen year and seven month old $ and this be the record of my life $	48	0	record	@@1875 The Hidden Diary of Marie Antoinette A Novel By Erickson , Carolly St. Martin 's Griffin Erickson , Carolly June 17 , 1769 My name is Archduchess Maria Antonia , called Antoinette , and I am thirteen years and seven months old , and this is the record of my life .	fic_2006_27875.txt-0-48
ms.- czajwolski say they would come out to her house before the final determination $ but unless martha have some sort of serious problem $ like a criminal record $ thing should go smoothly $ $	28	0	record	Ms. Czajwolski said they would come out to her house before the final determination , but unless Martha had some sort of serious problems , like a criminal record , things should go smoothly . "	fic_1993_1040060.txt-858-28
it do not detract from the record of mcgovern $ mccarthy and the other to say that gruening and morse be the first and most forceful and effective critic of the war $	6	0	record	It does not detract from the record of McGovern , McCarthy and the others to say that Gruening and Morse were the first and most forceful and effective critics of the war .	mag_1972_488012.txt-223-6
he have no embarrassing record of achievement one way or the oily $	4	0	record	he had no embarrassing record of achievement one way or the oilier .	mag_1975_479699.txt-100-4
$ we almost have to arm wrestle with the secret service $ later on because the record ' be go $	16	0	record	" We almost had to arm Wrestle with the Secret Service , later on because the records ' were gone .	news_1973_730777.txt-21-16
credit come easily $ recognize the company 's record of success $ bank extend kroh development $39 million in unsecured loan $	8	0	record	Credit came easily : recognizing the company 's record of success , banks extended Kroh Development $39 million in unsecured loans .	mag_1987_334553.txt-23-8
but the pressure of try to govern -- carter will be judge on his record and be eager to show that he can get thing dune -- and also cam -- paign impinge on the white house $ $	14	0	record	But the pressures of trying to govern -- Carter will be judged on his record and is eager to show that he can get things dune -- and also cam -- paign impinge on the White House . "	mag_1979_490065.txt-441-14
i hope you can help straighten out the record with mann $ bent-a -- car $ a mend and 1 take a vacation last june to florida $	8	0	record	I hope you can help straighten out the records with Mann ) Bent-a -- Car , A Mend and 1 took a vacation last June to Florida .	news_1980_734633.txt-45-8
city record indicate that a four-unit complex be build there last year and that pada $ who approve only minor work on the site $ do nothing when he see alleged illegal construction $	1	0	record	City records indicate that a four-unit complex was built there last year and that Pada , who approved only minor work on the site , did nothing when he saw alleged illegal construction .	news_2000_621987.txt-16-1
// the ease with which johnson score be symbolic of his transition to the nfl from east carolina $ where he set or tie 18 school record $	26	0	record	// The ease with which Johnson scored was symbolic of his transition to the NFL from East Carolina , where he set or tied 18 school records .	mag_2008_139224.txt-4-26
my record of mrs.- john 's remark be rule out $ turner be not on trial $	1	0	record	My record of Mrs. Johns 's remark was ruled out ; Turner was not on trial .	fic_1975_648.txt-3457-1
as the incumbent mayor $ he must run on his record but he would do well to listen to those modern-minded democrat who have sound advice to offer in respect to improve existing policy and program $	10	0	record	As the incumbent Mayor , he must run on his record but he would do well to listen to those modern-minded Democrats who have sound advice to offer in respect to improving existing policies and programs .	news_1969_727946.txt-19-10
it conclude that federal be past growth record and its project growth be proper justification for it to go through the normal certification process $	7	0	record	It concluded that Federal 's past growth record and its projected growth were proper justification for it to go through the normal certification process .	nf_1983_774351.txt-1869-7
// during those year $ state court record show $ mr.- cody be mainly in reform school or state prison $	7	0	record	// During those years , state court records show , Mr. Cody was mainly in reform school or state prison .	news_1982_671097.txt-110-7
many $ like mr.- morale $ be incarcerate on their own admission $ since the united state have no access to cuba ' s criminal record $	25	0	record	Many , like Mr. Morales , were incarcerated on their own admission , since the United States has no access to Cuba ' s criminal records .	news_1981_670933.txt-32-25
for the record $ my sister would not be catch dead in a ross $ or any other store with the slogan $ dress for less $ $	2	0	record	For the record , my sister would not be caught dead in a Ross , or any other store with the slogan " dress for less . "	fic_2006_27859.txt-63-2
the parc have a pretty good track record when it come to radical new vision $ even if its record of hold onto them have be spotty at best $	19	0	record	The PARC has a pretty good track record when it comes to radical new visions , even if its record of holding onto them has been spotty at best .	mag_2000_369006.txt-22-19
the stewardess recover and tell her story $ which $ in her own writing $ will be add to this record $	20	0	record	The stewardess recovered and told her story , which , in her own writing , will be added to this record .	fic_1975_648.txt-1673-20
sam brown $ who kill the two policeman in nyack $ have an arrest record go back to 1958 $	14	0	record	Sam Brown , who killed the two policemen in Nyack , had an arrest record going back to 1958 .	mag_1981_494150.txt-48-14
mr.- caristo assert that the charge have damage his personal and business reputation and that he have become a target because the commission want $ for political purpose $ to $ impugn $ the city 's school building record $	38	0	record	Mr. Caristo asserted that the charges had damaged his personal and business reputations and that he had become a target because the commission wanted " for political purposes " to " impugn " the city 's school building record .	news_1961_721905.txt-39-38
as part of the review process $ all available medical information be obtain $ and this include study and hospital record $	20	0	record	As part of the review process , all available medical information was obtained , and this included study and hospital records .	nf_2001_746879.txt-32-20
