sentence_lemma	sentence_token	index_lemma	index_token	lemma
because of this new twist of the lover pay the bill $ the gossip resurrect itself -- and alex have to be more self-conscious as he juggle the balloon of honor and the hardball of survival $	Because of this new twist of the lover paying the bills , the gossip resurrected itself -- and Alex had to be more self-conscious as he juggled the balloon of honor and the hardball of survival .	4	4	twist
if i haven't be able to polish off the occasional bank or lift a lucrative space yacht i might have go around the twist $	If I hadn't been able to polish off the occasional bank or lift a lucrative space yacht I might have gone around the twist .	23	23	twist
she look over at him innocently $ but he notice a wry $ proud twist at the corner of her mouth $ $	She looked over at him innocently , but he noticed a wry , proud twist at the corners of her mouth . "	14	14	twist
tell your artist to observe that the northern texas cowboy invariably tie his lariat to his saddle horn $ but a man from the rio grande $ like canby $ would dally his $ that be $ give it a couple of twist around the horn $ rely on friction to	Tell your artist to observe that the northern Texas cowboy invariably tied his lariat to his saddle horn , but a man from the Rio Grande , like Canby , would dally his , that is , give it a couple of twists around the horn , relying on friction to	42	42	twist
at six the garrison $ spur by the twist of the earth toward winter $ go swiftly to work $	At six the garrison , spurred by the twist of the earth toward winter , went swiftly to work .	8	8	twist
now you can do it all with a twist of the wrist $	Now you can do it all with a twist of the wrist .	8	8	twist
newspaper keep complain about poor food production $ couple on crowded dance floor keep do their bunny hug and wish they could find out something about the twist $ soldier with their girl wander to the	Newspapers kept complaining about poor food production , couples on crowded dance floors kept doing their bunny hug and wishing they could find out something about the twist , soldiers with their girls wandered to the	27	27	twist
they go deeper into the prison $ the light from the world without all but lose in the twist of stone and mortar $	They went deeper into the prisons , the light from the world without all but lost in the twist of stone and mortar .	18	18	twist
that twist be what you have do to turn a faucet on $	That twist is what you'd do to turn a faucet on .	1	1	twist
drill small hole for screw and similar thing can be make with metalworking twist drill $ but they leave ragged edge $	DRILLING Small holes for screws and similar things can be made with metalworking twist drills , but they leave ragged edges .	13	13	twist
he sit there behind the wheel and draw a long $ shudder breath $ watch the first snowflake of an afternoon flurry twist and skirl across the bright hood $	He sat there behind the wheel and drew a long , shuddering breath , watching the first snowflakes of an afternoon flurry twist and skirl across the bright hood .	22	22	twist
$ p.-a 197 $ in the low reptile so as to bring the foot forwards $ this twist be increase by a far 90 $	( p. 197 ) in the lower reptiles so as to bring the foot forwards ; this twist is increased by a further 90 ?	17	17	twist
and a thin nose $ and a twist of her dyed brown hair straggle down her forehead $	and a thin nose , and a twist of her dyed brown hair straggled down her forehead .	7	7	twist
## p56 take a hill a little too quickly $ stretch for a ball a bit too far $ twist or turn awkwardly and $ snap $ something give $	@@432483 | Take a hill a little too quickly , stretch for a ball a bit too far , twist or turn awkwardly and , snap , something gives .	19	19	twist
her face be pink from exertion $ and wisp of blond hair have escape the elaborate twist she have pin up on the top of her head $	Her face was pink from exertion , and wisps of blond hair had escaped the elaborate twist she'd pinned up on the top of her head .	16	16	twist
but then there come another flash $ and another $ and with a painful twist of his body he be able to see wes janson's fighter	But then there came another flash , and another , and with a painful twist of his body he was able to see Wes Janson's fighter	14	14	twist
they have many electronic talent $ build them with a bit of a twist and the conductivity change $	They have many electronic talents : Build them with a bit of a twist and the conductivity changes .	13	13	twist
that the river $ between those two chief point $ be nearly 1,400 mile long $ with all its twist and turn $ some of them double back so that a body travel due north at time $ and that the old flatboaters require 120 day to pole up $ after a float <nul>	that the river , between those two chief points , was nearly 1,400 miles long , with all its twists and turns -- some of them doubling back so that a body traveled due north at times -- and that the old flatboaters required 120 days to pole up , after a float down.	19	19	twist
a moment later they be descend $ follow the twist and turn design to confuse $ both clay and stone now wishingthat the precaution have be simple $	A moment later they were descending , following the twists and turns designed to confuse , both Clay and Stone now wishingthat the precautions had been simpler .	9	9	twist
i want you to take your index and middle finger on both hand $ bend them at the knuckle $ then pinch and twist $	I want you to take your index and middle fingers on both hands , bend them at the knuckle , then pinch and twist .	23	23	twist
the last twist of the knife be that hundreds of them be nonetheless catch in the final solution when the german overrun their land of refuge $	The last twist of the knife is that hundreds of them were nonetheless caught in the Final Solution when the Germans overran their lands of refuge .	2	2	twist
in a way $ the structural theory be also organic $ but with a slightly mechanical twist $	In a way , the structural theory is also organic , but with a slightly mechanical twist .	16	16	twist
after set the bag inside he toss his mop of blond hair $ which be cut as if with a bowl and stand out like eave over his longish ear and away from his forehead $ with a twist of his neck $	After setting the bags inside he tossed his mop of blond hair , which was cut as if with a bowl and stood out like eaves over his longish ears and away from his forehead , with a twist of his neck .	38	38	twist
but he just watch for the next hour as max keep return to the far end of the bed and work his way up to the window $ nod mindlessly with each neat twist of his spade attachment $	But he just watched for the next hour as Max kept returning to the far end of the bed and working his way up to the window , nodding mindlessly with each neat twist of his spade attachment .	33	33	twist
he seize the throttle at the handlebar and give it a sharp twist $	He seized the throttle at the handlebars and gave it a sharp twist .	12	12	twist
$ 9 $ hippolyte $ another twist $ if you don't like the way i treat you $ why don't you get yourself another guy $	-- 9 -- HIPPOLYTE ( another twist ) If you don't like the way I treat you , why don't you get yourself another guy ?	6	6	twist
each new twist and turn send a shiver of nervous dread through him $	Each new twist and turn sent a shiver of nervous dread through him .	2	2	twist
$ donno whether to laugh or cry $ just know i want-er do the twist $	-- DONNO WHETHER TO LAUGH OR CRY , JES KNOW I WANT-ER DO THE TWIST !	14	14	twist
he have want one of those gun $ and to go on that raid $ so badly that it make his face twist into a gargoyle mask whenever he think about it $	He had wanted one of those guns , and to go on that raid , so badly that it made his face twist into a gargoyle mask whenever he thought about it .	22	22	twist
she still wear her hair $ though put it up tire her $ in her usual elegant french twist $	She still wore her hair , though putting it up tired her , in her usual elegant French twist .	18	18	twist
i twist and twist $ but i cann't $	I twist and twist , but I can't .	1	1	twist
he do a poor imitation of a hula twist and wink at casey $ $	He did a poor imitation of a hula twist and winked at Casey . "	8	8	twist
with a few twist calder have turn it into a man in an indelicate position $	With a few twists Calder has turned it into a man in an indelicate position .	3	3	twist
get to drop down to ' em on a hemp twist ladder far as it take $	Got to drop down to ' em on a hemp twist ladder far as it takes .	10	10	twist
the car be more obviously climb $ and the turn and twist be more abrupt $	The car is more obviously climbing , and the turns and twists are more abrupt .	11	11	twist
the granite $ let in sunlight on entangle bone $ a necklace of broken amber $ a twist of cornish tin $ poor gaud $	the granite , letting in sunlight on entangled bones , a necklace of broken amber , a twist of Cornish tin , poor gauds .	17	17	twist
half-sister mommy speak of her with a hurt twist of her mouth $	Half-sister Mommy spoke of her with a hurt twist of her mouth .	8	8	twist
that twist be what you have do to turn a faucet on $	That twist is what you'd do to turn a faucet on .	1	1	twist
