sentence_lemma	sentence_token	target_index	original_word
af tidning kalmar i kalmar ha central nödhjiilpskooioiittén för lindra af nöd i norrland denna dag emotta krona $ 50 $ femtio krona $ sorn härmed kvittera stockholm den 17 november 1902 å central nödhjälpskonmiittéens vägnar $	Af Tidningen Kalmar i Kalmar har Centrala Nödhjiilpskooioiittén för lindrande af nöden i Norrland denna dag emottagit kronor ( 50 ) femtio kronor , sorn härmed kvitteras Stockholm den 17 november 1902 Å Centrala Nödhjälpskonmiittéens vägnar : 	6	central
man ringa upp central $ svara $ kalla $ $ och man ha då endast att lugn vänta $ till den svar erhålla af den ef terfrågade person $	man ringt upp centralen , svaras » kallad » , och man har då endast att lugnt vänta , till dess svar erhålles af den ef terfrågade personen . 	3	central
en vacker våning om 6 å 7 rum med nutid beqvämligheter $ central belägen $ gärna vid eller i närhet af tysk torg $ önska hyra från den 1 oktober 1895 $	En vacker Våning om 6 å 7 rum med nutidens beqvämligheter , centralt belägen , helst vid eller i närheten af Tyska torget , önskas hyra från den 1 Oktober 1895 . 	12	central
enar sahlin och vagnmakare $ fredenholm ansågo $ att stämma böra uppdra åt kyrkoråd att efterhöra någon annan mera central belägen gudstjänstlokal $ oär högmässa kunna hålla $ lie $ och nämdes bland därför lämplig lokal luthersk missionshus och hög alim $	Enar Sahlin och vagnmakaren F. Fredenholm ansågo , att stämman borde uppdraga åt kyrkorådet att efterhöra någon annan mera centralt belägen gudstjänstlokal , oär högmässa kunde hållas kl. li , och nämdes bland därför lämpliga lokaler Lutherska missionshuset och högre alim . 	19	central
samtal eger rlkstolefonabonnont i stock holme och den grannskap utvexla ej endast med abonnent inom samma central oller vexelstation $ utan äfven med samtlig abonnent inom hel stockholmsområde och sålunda all en i ofvannämda katalogutdrag upptagen $	samtal eger rlkstolefonabonnont i Stock holm och dess grannskap utvexla ej endast med abonnenter inom samma central- oller vexelstation , utan äfven med samtlige abonnenter inom hela Stockholmsområdet och sålunda alla de i ofvannämda katalogutdrag upptagne . 	16	central
vid gymnastisk central institut i stockholm 1895 och gymna stiklärarekursen år därpå samt 1896 kurs vid infanteriskjutskola $	vid gymnastiska central institutet i Stockholm 1895 och gymna stiklärarekursen året därpå samt 1896 kursen vid infanteriskjutskolan . 	2	central
en restauration $ mångårig $ med central läge $ kunna få öfvertagas den 1 april nied eller utan inventarier $	En Restauration , mångårig , med centralt läge , kan få öfvertagas den 1 April nied eller utan inventarier . 	6	central
de klädesplagg $ som hafva förfärdiga för nödlidande skolbarn i norrland $ på arbetsmöte anordna af sjukvårdsförening syförening $ hafva $ jämte en kläder $ som blifvit tor simma i ändamål skänka af flera medlem inom samhälle $ enligt anvisning af central nödhjälpskommittéen i stockholm $ afsändts till jörn järn vägsstation för vid befordran till pastorsämbete i arjepluog $	De klädesplagg , som hafva förfärdigats för nödlidande skolbarn i Norrland , på arbetsmöten anordnade af Sjukvårdsföreningens syförening , hafva , jämte de kläder , som blifvit tor sam ina ändamål skänkta af flera medlemmar inom samhället , enligt anvisning af Centrala Nödhjälpskommittéen i Stockholm , afsändts till Jörns järn vägsstation för vidare befordran till pastorsämbetet i Arjepluog . 	41	central
tambur och kök $ central belägen $ ljus $ hög och varm $ beqväm inreda $	tambur och kök , centralt belägna , ljusa , höga och varma , beqvämt inredda . 	4	central
i mellersta skåne naturskön trakt belägen väl renomerande handelslägenhet $ med central läge $ vid kyrka och skola $ där flera väg sammanstöta $ och omkring $ kr $	I mellersta Skånes naturskönaste trakt belägen väl renomerande handelslägenhet , med centralt läge , vid kyrka och skola , där flera vägar sammanstöta , och omkring 25,000 kr . 	11	central
med central läge $ passa till tobaksaffär $ önska byra snar svar i bref under märke $ butik 181 $ 5 $ $ nerikes allehandas kontor	med centralt läge , passande till tobaksaffär , önskas byra Snarast svar i bref under märke ” Butik 181 ) 5 ” , Nerikes Allehandas kontor 	1	central
ha i dag afgifvits till central nöd hjälpskomitén i stockholm $	har i dagarne afgifvits till Centrala nöd hjälpskomitén i Stockholm . 	5	central
med central läge vid trafikera gata $ passa för diversehandel $ uthyra från den 1 oktober $	med centralt läge vid trafikerad gata , passande för diversehandel , uthyres från den 1 Oktober . 	1	central
9 hyresgäst $ köpa $ extra kontant $ till $ af 80 $ $ $ $ med läge mot söder eller öster och $ eii central born möjlig $	9 hyresgäster , köpe * extra kontant , till pri§ af 80 & 100,000 kr. , med läge mot söder eller öster och : eii centralt Born möjligt . 	25	central
motionär $ som anse den utredning $ drätselkammare gifvit han motion $ nog knapphändig $ förmena att $ örn den än skola blifva någon bekväm efter anläggning af vattenledning att erhålla vatten för en i motion åsyfta ändamål $ tillgång på vattenhämtningsställe redan mi vara så god $ att den skola kunna låta sig göra att genomföra den föreslå anordning i stad central del $	Motionären , som ansåg den utredning , drätselkammaren gifvit hans motion , nog knapphändig , förmenade att , örn det än skulle blifva något bekvämare efter anläggning af vattenledning att erhålla vatten för de i motionen åsyftade ändamål , tillgången på vattenhämtningsställen redan mi vore så god , att det skulle kunna låta sig göra att genomföra den föreslagna anordningen i stadens centralare delar . 	62	central
central $ $ rum och en ofvanrum $ kök $ öfrig $ beqvämligheter till uthyrning $	Centralt : 3:ne rum och ett ofvanrum , kök o. öfriga - beqvämligheter till uthyrning . 	0	central
manjemkningen $ som ur central bank synpunkt utgöra en afgjord försämring af regering förslag $ få mi att kämpa mot en manstark opposition förste kammare $	manjemkningen , som ur central bank synpunkt utgör en afgjord försämring af regeringens förslag , fick mi att kämpa mot en manstark opposition Förste kammaren . 	4	central
den uti hörnhus af drottninggatan och stor torg central ligga $ stor och elegant butiklägenhet $ som för närvara förhyra al ny klädeshandel $ bli ledig att hyra den 1 oktober 1895 $	Den uti hörnhuset af Drottninggatan och Stora torget centralt liggande , stora och eleganta Butiklägenhet , som för närvarande förhyres al nya Klädeshandeln , blir ledig att hyra den 1 Oktober 1895 . 	8	central
en butik med kontor $ central och bra läge $	En Butik med kontor , centralt och bra läge . 	5	central
ifrågavarande fastighet $ som ha en synnerligen fördelaktig läge i en af stad central och mycket trafikera del $ innefatta tvänne hel tomt $ hvaraf den ena vara hörntomt $ och vara bebygga med $ stor boningshus samt nödig uthus $	Ifrågavarande fastighet , som har ett synnerligen fördelaktigt läge i en af stadens centralaste och mest trafikerade delar , innefattar tvänne hela tomter , hvaraf den ena är hörntomt , och är bebyggd med 2:ne större boningshus samt nödiga uthus . 	13	central
uthyra från den 1 oktober en central belägen lägenhet om 3 rum oeh kök $ tambur $ skafleri m $ m $ i 2 vån $	uthyres från den 1 Oktober en centralt belägen lägenhet om 3 rum oeh kök , tambur , skafleri m . m . i 2 vån . 	6	central
om 1 $ 2 $ 3 rum och kök samt enkelrum $ äfvensom en handelsbutik central belägen uthyra från $ oktober $	om 1 , 2 , 3 rum och kök samt enkelrum , äfvensom en handelsbutik centralt belägen uthyres från l:a Oktober . 	15	central
st $ ub treflig lägenhet på 4 å 5 rum med $ $ kök $ central läge $ önska hyra till den 1 okt $	ST * ub treflig lägenhet på 4 å 5 rum med ™■ * kök , centralt läge , önskas hyra till den 1 Okt . 	15	central
flera af en central och sydamerikansk revolution som ske på sista tid $ hafva uppstå genom denna firma åtgötande $	flera af de Central- och Sydamerikanska revolutionerna som skett på sista tiden , hafva uppstått genom denna firmas åtgötande . 	3	central
sat sig $ att ökning väsentligen komma på stad periferiska del $ medan do central stå stilla eller gå tillbaka $	sat sig , att ökningen väsentligen kommer på stadens periferiska delar , medan do centrala stå stilla eller gå tillbaka . 	14	central
engelska låta hon jag förstå $ att hon slutligen bestämma sig för att icke anta plats $ därför att vi ej bo i någon af en central stadsdel $	engelska lät hon mig förstå , att hon slutligen bestämt sig för att icke antaga platsen , därför att vi ej bodde i någon af de centralare stadsdelarna . 	26	central
en gammal $ bra fruntimmer $ önska hyra den oktober $ 1 eller 2 omöblerad rum inom egon tambur $ med eller utan kök med nödig beqvämlighoter $ något central belägen å $ oller östermalm $	Ett äldre , bättre fruntimmer , Önskar hyra den Oktober : 1 eller 2 omöblerade Rum inom egon tambur , med eller utan kök med nödiga beqvämlighoter , något centralt belägna å Norr- oller Östermalm . 	29	central
