sentence_lemma	sentence_token	index_lemma	index_token	lemma
zur Schmiere im Winter werden 4 Gallons oder 30 ℔ Fischtran mit 26 ℔ russisch Talg schmelzen $ diese Schmiere sein daher flüssig als d erst $ und haben d Konsistenz wie beiläufig unsere Schmalz $	Zur Schmiere im Winter werden 4 gallons oder 30 ℔ Fischthran mit 26 ℔ russischem Talg geschmolzen ; diese Schmiere ist daher flüssiger als die erste , und hat die Consistenz wie beiläufig unser Schmalz .	1	1	Schmiere
d Schmiere $ welche hier in flüssig Öl bestehen $ werden durch d mit eine Schraube gewöhnlich geschließen Öffnung b eingießen und verteilen sich auf d ganz Länge d Achse $ damit aber d Rad von d Achse nicht ablaufen können $ sein d letztere wie Fig. 3 zeigen $ von a bis n abdrehen und es werden zwei 6 Zoll hoch und ½ Zoll dick gußeisern Platte $ $ Fig. 4 und 5 $ mit d Schnitte abwechseln auf einander legen $ zur gut Haltung Filz zwischen diese Platte und d Rad einlegen und d Ganze mit 4 Schraube an d Rad befestigen $	Die Schmiere , welche hier in flüssigem Oehl besteht , wird durch die mit einer Schraube gewöhnlich geschlossene Oeffnung B eingegossen und vertheilt sich auf der ganzen Länge der Achse ; damit aber das Rad von der Achse nicht ablaufen könne , ist die letztere wie Fig. 3 zeigt , von A bis n abgedreht und es werden zwei 6 Zoll hohe und ½ Zoll dicke gusseiserne Platten , ( Fig. 4 und 5 ) mit den Schnitten abwechselnd auf einander gelegt , zur bessern Haltung Filze zwischen diese Platten und das Rad eingelegt und das Ganze mit 4 Schrauben an das Rad befestigt .	1	1	Schmiere
als Hilfesstoff erscheinen z. B. d Feuerungsmaterial und Kühlapparat in chemisch Gewerk $ d Öl und Fett zum Schmiere d Maschine $ d mannigfach Zusatz zur Bewirkung von Stoffauflösung und Verbindung $ so wie zur Einleitung von Gehrung u. s. W $	Als Hilfsstoffe erscheinen z. B. die Feuerungsmaterialien und Kühlapparate in chemischen Gewerken ; das Oel und Fett zum Schmieren der Maschinen ; die manchfachen Zusätze zur Bewirkung von Stoffauflösungen und Verbindungen , so wie zur Einleitung von Gährungen u. s. w .	18	18	Schmiere
Ente und Gans sehen man oft stundenlang beschäftigen $ mit d Schnabel zuerst etwas Schmiere aus diese Bürzeldrüse auspressen und dann d einzeln Feder gleichsam durchkauen und sie so einölen $	Enten und Gänse sieht man oft stundenlang beschäftigt , mit dem Schnabel zuerst etwas Schmiere aus dieser Bürzeldrüse auszupressen und dann die einzelnen Federn gleichsam durchzukauen und sie so einzuölen .	14	14	Schmiere
zum Schmiere dieselbe werden immer eine ziemlich Posten Fett gebrauchen $	Zum Schmieren derselben wurde immer ein ziemlicher Posten Fett gebraucht .	1	1	Schmiere
zur Schmiere im Sommer nehmen man 3 Gallons oder 221/2 ℔ grönländisch Fischtran und mischen er mit 33 ℔ russisch Talg $ d Maß werden auf eine schwach Feuer bloß schmelzen $ ohne in Südenhitze zu kommen $ und dann in eine Gefäß gießen $	Zur Schmiere im Sommer nimmt man 3 gallons oder 22½ ℔ grönländischen Fischthran und mischt ihn mit 33 ℔ russischem Talg ; die Masse wird auf einem schwachen Feuer bloss geschmolzen , ohne in Südhitze zu kommen , und dann in ein Gefäss gegossen .	1	1	Schmiere
d Familie d Stinkratz $ Viverrida $ bestehen aus langgestreckt $ spitzschnauzig Tier $ mit lang Schwanz und kurz Fuß $ welche vorn und hinten eine gleich Anzahl von zehn $ vier oder fünf besitzen und in ähnlich Weise wie d Hyäne in d Gegend d After oder d Geschlechtsteil eine Drüsentasche haben $ welche eine stark riechend Schmiere absondern $ die bei einige zum Arzneigebrauch verwenden werden $	Die Familie der Stinkratzen ( Viverrida ) besteht aus langgestreckten , spitzschnauzigen Thieren , mit langem Schwanze und kurzen Füßen , welche vorn und hinten eine gleiche Anzahl von Zehen , vier oder fünf besitzen und in ähnlicher Weise wie die Hyänen in der Gegend des Afters oder der Geschlechtstheile eine Drüsentasche haben , welche eine stark riechende Schmiere absondert , die bei einigen zum Arzneigebrauche verwendet wird .	58	58	Schmiere
diese Schmiere werden von gelb $ plattgedrückt Drüse absondern $ welche sich im Gesicht zwischen d Nasenloch und Auge befinden und eine oder mehrere Ausführungskanal besitzen $	Diese Schmiere wird von gelben , plattgedrückten Drüsen abgesondert , welche sich im Gesicht zwischen den Nasenlöchern und Augen befinden und einen oder mehrere Ausführungskanäle besitzen .	1	1	Schmiere
so werden z. B. alle Liedrunge eine bis drei Tag vorher erneuern $ d verschieden Schmiere eben so einige Zeit vorher aufstreichen $ d Wasserzugang genau regulieren $ und d Meßapparat zu handhaben einüben u. s. W. hierauf messen man mittels kubisch Kasten alle einzeln Wasserzugang und reguliert nun d Gang d Maschine dergestalt $ dass alle $ an verschieden Punkt zudringend Grundwasser wegheben werden $	So wurden z. B. alle Liederungen einen bis drei Tage vorher erneuert , die verschiedenen Schmieren eben so einige Zeit vorher aufgestrichen , die Wasserzugänge genau regulirt , und die Messapparate zu handhaben eingeübt u. s. w. Hierauf maass man mittelst kubischer Kästen alle einzelnen Wasserzugänge und regulirte nun den Gang der Maschine dergestalt , dass alle , an verschiedenen Punkten zudringende Grundwässer weggehoben wurden .	15	15	Schmiere
damals wissen ich $ als ich d Brunnen so gut tun $ hier bringen ich keine zehn Pferd weg und richtig $ keine vier Woche vergehen $ da sein meine Schmiere auflösen $	Damals wußte ich , als mir der Brunnen so gut that : hier bringen mich keine zehn Pferde weg und richtig , keine vier Wochen vergingen , da war meine Schmiere aufgelöst .	30	30	Schmiere
