sentence_lemma	sentence_token	target_index	original_word
his wheat-colored hair seem to glow in the night and the plane of his face ....	His wheat-colored hair seemed to glow in the night and the planes of his face ...	11	plane
reduction be only need in patient near skeletal maturity whose fracture have more than 50-70 degree of angulation in either the sagittal or coronal plane $ rab &; grottkau $ 2001 $ $	Reduction is only needed in patients near skeletal maturity whose fracture has more than 50-70 degrees of angulation in either the sagittal or coronal plane ( Rab &; Grottkau , 2001 ) .	24	plane
they have be make good progress $ in spite of their greenness $ next day mr.- fulton be plan to stretch the silk over the plane $ it have already be give a preliminary coat of a kind of flexible varnish which be also a part of mr.- fulton's invention $	They had been making good progress , in spite of their greenness ; next day Mr. Fulton was planning to stretch the silk over the planes ; it had already been given a preliminary coat of a kind of flexible varnish which was also a part of Mr. Fulton's invention .	25	plane
to provide a contrast to the open plane of christ's nude torso $	to provide a contrast to the open planes of Christ's nude torso .	7	plane
a low-angle plane be best for work directly across the grain $ but an ordinary smooth plane can be use $	A low-angle plane is best for work directly across the grain , but an ordinary smoothing plane can be used .	2	plane
figure planer the electrical counterpart of hand plane use rotary cutter $ broad chisel-edged blade mount on a strong cylinder strike the wood with a slice action $ <nul>	Figure PLANERS The electrical counterparts of hand planes use rotary cutters : broad chisel-edged blades mounted on a strong cylinder strike the wood with a slicing action ( Fig.	7	plane
if you try to take off too much with each cut $ the plane will jump and the surface will be poor $	If you try to take off too much with each cut , the plane will jump and the surface will be poor .	13	plane
and the stanley label no long dominate the display of socket wrench $ screwdriver $ adjustable squeeze-handle pliers $ level $ wood plane $ counter punch $ chisel $ and bolt cutter $	And the Stanley label no longer dominates the displays of socket wrenches , screwdrivers , adjustable squeeze-handle pliers , levels , wood planes , counter punches , chisels , and bolt cutters .	22	plane
then $ arm with fact $ the population need only use its untapped brain power to usher in $ a high plane of civilization $ that would make classical greece or the renaissance look like cultural wasteland by comparison $ $	Then , armed with facts , the population need only use its untapped brain power to usher in " a higher plane of civilization " that would make classical Greece or the Renaissance look like cultural wastelands by comparison . "	21	plane
the bone surface indicate that movement be predominantly in a single plane $ with the massive finger move inward toward the middle of the body $	The bone surfaces indicate that movement was predominantly in a single plane , with the massive fingers moving inward toward the middle of the body .	11	plane
there be an exhilaration to fly airplane in those day $ their slow speed and light wing-loadings allow short turn $ sharp dive $ and quick pull-out that be impossible in faster plane $	There was an exhilaration to flying airplanes in those days : their slow speed and light wing-loadings allowed short turns , sharp dives , and quick pull-outs that are impossible in faster planes .	32	plane
over the next several year $ he say $ the coast guard will get s60 more people $ two new 270-foot vessel and al twin-engine plane $	Over the next several years , he said , the Coast Guard will get S60 more people , two new 270-foot vessels and al twin-engine planes .	25	plane
instead $ i order more coffee and look again at the cable that have come with my plane ticket $	Instead , I ordered more coffee and looked again at the cable that had come with my plane ticket .	17	plane
it be go to be wonderful to see her again $ and suddenly it be all he could think of as the small plane land on the narrow airstrip $ and he hasten off p224 the plane behind mark $ who be practically jet propel $ out the door $ and down the rickety metal stairway $ and then he come to ' a screeching halt in front of val $ not sure whether to shake hand or kiss her or just say hi $	It was going to be wonderful to see her again , and suddenly it was all he could think of as the small plane landed on the narrow airstrip , and he hastened off | the plane behind Mark , who was practically jet propelled , out the door , and down the rickety metal stairway , and then he came to ' a screeching halt in front of Val , not sure whether to shake hands or kiss her or just say hi .	23	plane
she have be a fool to take it with her onto the plane $	She'd been a fool to take it with her onto the plane .	11	plane
foursome in a pool in los angeles county a telephone company executive form a $ plane pool $ that fly four man from claremont ' $ to santa monica every day $	Foursome in a pool In Los Angeles County a telephone company executive formed a " plane pool " that flies four men from Claremont ' - to Santa Monica every day .	15	plane
they put him on a plane to floyd bennett field in brooklyn $ and the plane land in the sun and there be a good saltwater breeze $	They put him on a plane to Floyd Bennett Field in Brooklyn , and the plane landed in the sun and there was a good saltwater breeze .	5	plane
many traveler know jamaica bay as the last body of water their plane skim over before land on a runway $	Many travelers know Jamaica Bay as the last body of water their plane skims over before landing on a runway .	12	plane
csaudi arabia have not request that the plane be outfit with multiple ejection rack $ which would allow the plane to carry a substantial bomb load $	CSaudi Arabia has not requested that the plane be outfitted with multiple ejection racks , which would allow the plane to carry a substantial bomb load .	7	plane
troy turn it to the right $ and the plane turn to the right $ just	Troy turned it to the right , and the plane turned to the right , just	9	plane
jeffrey drop the bomb that he be not go with her and tell her to board the plane $	Jeffrey drops the bomb that he is not going with her and tells her to board the plane .	17	plane
it will provide an elaborate system of vent to allow relief of air pressure in either upper or low compartment of a plane if a hole be suddenly open in the fuselage because of a door loss $ a bomb blast or other mishap $	It will provide an elaborate system of vents to allow relief of air pressure in either upper or lower compartments of a plane if a hole is suddenly opened in the fuselage because of a door loss , a bomb blast or other mishap .	22	plane
but the vindicator crew $ grady think proudly $ still exercisesjudgment $ the plane still respond to our hand $	But the Vindicator crew , Grady thought proudly , still exercisesjudgment , the plane still responds to our hands .	13	plane
the senior command $ not catch onto the ruse $ insist the plane could be repair and radio it be dispatch a repair crew to khe sanh $	The senior command , not catching onto the ruse , insisted the plane could be repaired and radioed it was dispatching a repair crew to Khe Sanh .	12	plane
at least i have get a window seat on the left side of the plane $ which $ according to the flight attendant $ should help me get a quick peek at pearl harbor right before we land and maybe even diamond head after we take off again $	At least I've got a window seat on the left side of the plane , which , according to the flight attendant , should help me get a quick peek at Pearl Harbor right before we land and maybe even Diamond Head after we take off again .	13	plane
he quickly slip the card into the breast pocket of his shirt $ decide to wait until the plane be in flight to return it $	He quickly slipped the card into the breast pocket of his shirt , deciding to wait until the plane was in flight to return it .	18	plane
on <nul> 31 $ their suspicion be raise far when an sr-71 blackbird reconnaissance plane photograph military equipment that be commonly use by the nicaraguan be unload from other soviet ship in the cuban port of mariel $	On Oct. 31 , their suspicions were raised further when an SR-71 Blackbird reconnaissance plane photographed military equipment that is commonly used by the Nicaraguans being unloaded from other Soviet ships in the Cuban port of Mariel .	14	plane
we will get a wire to wilkinson on their next radio schedule to come over early and for him to call up and save me space on a plane to new york $ '	We'll get a wire to Wilkinson on their next radio schedule to come over early and for him to call up and save me space on a plane to New York . '	27	plane
the plane's four allison turboprop engine be recover from the water $ ship to general motor ' allison division in indianapolis $	The plane's four Allison turboprop engines were recovered from the water , shipped to General Motors ' Allison division in Indianapolis .	1	plane
4,600 job while mothbal five boeing plane worth $1.5 billion $	4,600 jobs while mothballing five Boeing planes worth $1.5 billion .	6	plane
chief of staff $ and his plane land in two hour $	CHIEF OF STAFF -- And his plane lands in two hours .	6	plane
u.s.- soldier who survey the scene say the blast be probably cause by explosive store inside the building $ but local in fallujah $ a hotbed of anti-american militancy $ be accuse the u.s.- of bomb the mosque by helicopter or plane $ $	U.S. soldiers who surveyed the scene say the blast was probably caused by explosives stored inside the building , but locals in Fallujah , a hotbed of anti-American militancy , are accusing the U.S. of bombing the mosque by helicopter or plane . "	41	plane
a qantas spokesman say today that when the plane land its fuel supply be ' fairly close to our operational requirement $ for only 15 minute more flight $	A Qantas spokesman said today that when the plane landed its fuel supply was ' fairly close to our operational requirement " for only 15 minutes more flight .	8	plane
at its closest point $ the plane be about 200 to 300 foot in front of the helicopter and about 150 foot low -- within the distance classify as a near-	At its closest point , the plane was about 200 to 300 feet in front of the helicopter and about 150 feet lower -- within the distance classified as a near-	6	plane
