sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
so i tip all the man off the board $	2	1	tip	So I tipped all the men off the board .	fic_1987_10756.txt-21242-2
i would have like to tip back my head $ but i dare not take my eye off barnes $	5	7	tip	I would 've liked to tip back my head , but I dared not take my eyes off Barnes .	fic_2007_34343.txt-139-5
include be all the standard $ speed $ average speed $ maximum speed $ tip distance $ odometer $ auto stop/start timer $ average speed indicator and clock $ $	14	7	tip	Included are all the standards ( speed , average speed , maximum speed , tip distance , odometer , auto stop/start timer , average speed indicator and clock ) .	mag_2000_412569.txt-3-14
you tip him and put the luggage in a taxi and drive a few block to your hotel $	1	8	tip	You tip him and put the luggage in a taxi and drive a few blocks to your hotel .	mag_1961_442000.txt-637-1
team be supposed to lay prostrate before the los angeles laker $ tip their hat to karl malone and gary payton for surrender millions of dollar for a chance at a title $ and to coach phil jackson for win a record 10th championship $	12	20	tip	teams were supposed to lay prostrate before the Los Angeles Lakers , tipping their hats to Karl Malone and Gary Payton for surrendering millions of dollars for a chance at a title , and to Coach Phil Jackson for winning a record 10th championship .	news_2004_648944.txt-1-12
let them eat co2 the nature of tip point be that they happen dizzyingly fast $	7	20	tip	LET THEM EAT CO2 THE NATURE OF TIPPING POINTS is that they happen dizzyingly fast .	mag_2006_398384.txt-314-7
insert cut $ young bruce on thomas 's shoulders-- thomas tip back $ threaten to drop young bruce who laugh and laugh $	10	20	tip	INSERT CUT : Young bruce on Thomas 's shoulders- thomas TIPS back , threatening to drop Young bruce who LAUGHS and LAUGHS .	fic_2005_780520.txt-572-10
the b'hoys have a $ roll gait $ and $ surly manner $ $ write one historian $ add that they usually wear a $ shiny stovepipe hat tip over the forehead $ soap-locks plaster flat $	28	22	tip	The b'hoys had a " rolling gait " and " surly manner , " wrote one historian , adding that they usually wore a " shiny stovepipe hat tipped over the forehead , soap-locks plastered flat .	mag_2005_397558.txt-67-28
look at me would certainly tip the tumble to ' arry $ $	5	31	tip	look at me would certainly tip the tumble to ' Arry . "	fic_1965_10458.txt-2021-5
it be an arrow of the old day $ feather with red hawk tail and tip with chip quartz $	15	32	tip	It was an arrow of the old days , feathered with red hawk tail and tipped with chipped quartz .	fic_1975_780110.txt-1409-15
once i come home from drive the hack and enid be tip a bottle of liquor straight up $ $	11	33	tip	Once I came home from driving the hack and Enid was tipping a bottle of liquor straight up . "	fic_1979_780093.txt-1469-11
the metal floor tip back to topple the figure into the tub $ while the drain reverse to become gargle tributary $	3	34	tip	The metal floor tipped back to topple the figure into the tub , while the drains reversed to become gargling tributaries .	fic_1984_780063.txt-1507-3
scene 64 - mc past a woman $ tip in <nul>	8	35	tip	SCENE 64 - MCS PAST A WOMAN , TIPPED IN L.FG.	fic_1991_16780.txt-3914-8
how i use to tip back my head and stare $	4	36	tip	How I used to tip back my head and stare .	fic_1993_1040084.txt-703-4
ravens the size of large cat tip the branch of a nearby oak $	6	37	tip	Ravens the size of large cats tipped the branches of a nearby oak .	fic_1995_39274.txt-549-6
she can describe $ it be where she be be $ so far away and without him $ in the char attic $ the tip basement $ where red column try to shore up a house that will stand for as long as it want to and fall when it want to fall $	24	38	tip	she can describe , it 's where she 's been , so far away and without him -- in the charred attic , the tipped basement , where red columns try to shore up a house that will stand for as long as it wants to and fall when it wants to fall .	fic_2000_52601.txt-277-24
they push and push and push together until the bus tip over and there be huge dust cloud $	10	39	tip	They push and push and push together until the bus tips over and there is huge dust cloud .	fic_2007_52316.txt-308-10
no $ if you take a man in a loose parka and tip him sideways with a shovel in his hand $ the shape that remain be strange but familiar $ a human form $ hooded and cloak $ and in his merciless grip the tool that spare no one $ the <nul>	12	39	tip	No , if you take a man in a loose parka and tip him sideways with a shovel in his hand , the shape that remains is strange but familiar : a human form , hooded and cloaked , and in his merciless grip the tool that spares no one , the scythe.	nf_2006_775490.txt-123-12
history tell us that two thing happen to a man who doc not tip his cap $ a $ he be boo $ b $ he become manager of the texas ranger $	13	39	tip	History tells us that two things happen to a man who docs not tip his cap : a ) he is booed ; b ) he becomes manager of the Texas Rangers .	mag_1972_103837.txt-54-13
