sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
werden d Gießen nicht versäumen und d Gießwasser alle zwei Woche eine Dünger beimischen $ 2 G je Liter Wasser $ $ so entwickeln sich d Gewächs bald stattlich $	13	0	beimischen	Wird das Gießen nicht versäumt und dem Gießwasser alle zwei Wochen ein Dünger beigemischt ( 2 g je Liter Wasser ) , so entwickeln sich die Gewächse bald stattlich .	26120215_1987_07_18_01_227.tcf.xml-10-13
neu Musik werden meist nur vorsichtig dosieren d klassisclien Kost beimischen $ Konzertfolge allein mit Komposition von Zeitgenosse besitzen Seltenheitswert $	10	0	beimischen	Neuere Musik wird meist nur vorsichtig dosiert der klassisclien Kost beigemischt , Konzertfolgen allein mit Kompositionen von Zeitgenossen besitzen Seltenheitswert .	2532889X_1966-11-22_01_158.tcf.xml-2-10
manche Kilogramm Milch können wir mehr erzeugen $ wenn wir heute d Spreu d Rübe beimischen können $	15	0	beimischen	Manches Kilogramm Milch könnten wir mehr erzeugen , wenn wir heute die Spreu den Rüben beimischen könnten .	2532889X_1962-01-23_01_042.tcf.xml-12-15
in Düsseldorf sollen auf Verlangen d Förderungsgemeinechaft d Kartoffelwirtschaft kartoffel- und Gerstenmehl d Brotteig $ bei unverändert erhöht Brotpreis beimischen werden $	19	0	beimischen	In Düsseldorf soll auf Verlangen der Förderungsgemeinechaft der Kartoffelwirtschaft Kartoffel- und Gerstenmehl dem Brotteig — bei unverändert erhöhtem Brotpreis beigemischt werden .	26120215_1951_03_09_01_024.tcf.xml-8-19
aber d Freude d Rivale über diese eventuell Vorteil sein eine tief Sorge vor d $ Infektion $ beimischen $ davor $ daß $ d hamburger $ Welt $ vom 30. 5. zufolge $ $ d französisch Krankheit über d Grenze in ander Land tragen werden $ $	18	0	beimischen	Aber der Freude der Rivalen über diese eventuellen Vorteile ist eine tiefe Sorge vor der „ Infektion " beigemischt — davor , daß ( der Hamburger „ Welt " vom 30. 5. zufolge ) „ die französische Krankheit über die Grenzen in andere Länder getragen wird " .	26120215_1968_06_09_01_054.tcf.xml-20-18
so sein beispielsweise planen $ d Wasser flüssig Ammoniak beimischen $	9	0	beimischen	So ist beispielsweise geplant , dem Wasser flüssigen Ammoniak beizumischen .	2532889X_1969-11-03_01_034.tcf.xml-9-9
d normal Dividierung d einst unteilbar Ischulklasse werden keine Verklärung oder rasch Tröstung beimischen daß mit d Erwachsenwerden $ d eigen Hausstand $ d neuerlich dick Bauch d eben noch klein Zopfmädchen auch eine Art Abnabelung von Filmteam einsetzen haben $ überbrücken sie nicht mit jovial Annäherungsversuch $	13	0	beimischen	Der normalen Dividierung der einst unteilbaren iSchulklasse wird keine Verklärung oder rasche Tröstung beigemischt Daß mit dem Erwachsenwerden , dem eigenen Hausstand , dem neuerlich dicken Bauch der eben noch kleinen Zopfmädchen auch eine Art Abnabelung von Filmteam eingesetzt hat , überbrücken sie nicht mit jovialen Annäherungsversuchen .	2532889X_1980-03-22_01_047.tcf.xml-31-13
bei diese Staubbindeverfahren $ werden d Pulver mikroskopisch fein Faser aus ungesintert Polytetrafluoräthylen beimischen $	13	0	beimischen	Bei diesem Staubbindeverfahren • werden dem Pulver mikroskopisch feine Fasern aus ungesintertem Polytetrafluoräthylen beigemischt .	2532889X_1975-03-15_01_345.tcf.xml-3-13
besondere Substanz $ die beimischen werden $ tragen dazu bei $ vorhanden Enzym auslösen bzw. ihr Nichtvorhandensein nachweisen $	4	0	beimischen	Besondere Substanzen , die beigemischt werden , tragen dazu bei , vorhandene Enzyme auszulösen bzw. ihr Nichtvorhandensein nachzuweisen .	2532889X_1976-03-27_01_365.tcf.xml-31-4
es haben jedoch eine Filter $ und d Tabak sein eine Anteil Zigarettentabak beimischen $	13	0	beimischen	Es hat jedoch einen Filter , und dem Tabak ist ein Anteil Zigarettentabak beigemischt .	26120215_1966_12_29_01_051.tcf.xml-23-13
Gußasphaltbruch $ wie er bei Reparaturarbeit an Straße und Gehweg anfallen $ werden von d Kollektiv d Bezirksdirektion für Straßenwesen wieder d neu Baumaterial beimischen und so vollständig verarbeiten $	24	0	beimischen	Gußasphaltbruch , wie er bei Reparaturarbeiten an Straßen und Gehwegen anfällt , wird von den Kollektiven der Bezirksdirektion für Straßenwesen wieder dem neuen Baumaterial beigemischt und so vollständig verarbeitet .	26120215_1982_02_19_01_093.tcf.xml-16-24
man können aber auch eine Halbleiter als Ventil verwenden $ wenn man eine etwa münzengroß Scheibechen eine hochrein Siliziumkristall $ mit höchstens eine Teil Verunreinigung in je eine Million Teil Silizium $ gering Menge Aluminium und Antimon beimischen $	37	0	beimischen	Man kann aber auch einen Halbleiter als Ventil verwenden , wenn man einem etwa münzengroßen Scheibchen eines hochreinen Siliziumkristalls ( mit höchstens einem Teil Verunreinigungen in je einer Million Teilen Silizium ) geringste Mengen Aluminium und Antimon beimischt .	2532889X_1964-02-22_01_111.tcf.xml-18-37
d Unzufriedenheit sein wohl $ d Mutter alle Fortschritt $ Aber^ihr müssen Einesifeewisse inner Zufriedenheit und einige Optimismus beimischen sein $	18	0	beimischen	Die Unzufriedenheit ist wohl , die Mutter allen Fortschritts , aber^ihr muß einesifeewisse Innere Zufriedenheit und einiger Optimismus beigemischt sein .	2532889X_1947-06-26_01_037.tcf.xml-10-18
beispielsweise werden Eintopf eine bestimmt Quantum frisch $ püriert Gemüse beimischen $	10	0	beimischen	Beispielsweise wird Eintöpfen ein bestimmtes Quantum frisches , püriertes Gemüse beigemischt .	26120215_1966_07_23_01_045.tcf.xml-13-10
bei einige Silo sollen d Mais Luzerne und Rübenblatt beimischen werden $	9	0	beimischen	Bei einigen Silos soll dem Mais Luzerne und Rübenblatt beigemischt werden .	2532889X_1956-09-23_01_046.tcf.xml-31-9
da d Klopffestigkeit d rein Benzin trotz d hoch Stand d Veredelungstechnik d heutig Anforderung $ welche d Hochleistungsmotor stellen $ nicht mehr genügen $ werden d Benzin neben Benzol und Alkohol Stoff beimischen $ die zusätzlich als Klopfbremse wirken $	33	0	beimischen	Da die Klopffestigkeit des reinen Benzins trotz des hohen Standes der Veredelungstechnik den heutigen Anforderungen , welche die Hochleistungsmotoren stellen , nicht mehr genügt , werden dem Benzin neben Benzol und Alkohol Stoffe beigemischt , die zusätzlich als Klopfbremsen wirken .	26120215_1973_01_14_01_255.tcf.xml-17-33
diese Richtlinie d Bundeseinahrungsministehums stutzen sich auf Ewg-Bestimmung $ die zufolge d Weizen eine Farbstoff beimischen werden $ die d .nährstoffgehalt in keine Weise verändern $ er aber nicht mehr zur Mehlherstellung geeignet erscheinen Läßt' $	15	0	beimischen	Diese Richtlinie des Bundeseinahrungsministehums stutzt sich auf EWG-Bestimmungen , denen zufolge dem Weizen ein Farbstoff beigemischt wird , der den .Nährstoffgehalt in keiner Weise verändert , ihn aber nicht mehr zur Mehlherstellung geeignet erscheinen läßt' .	26120215_1967_11_18_01_223.tcf.xml-4-15
demnächst gehen eine Anlage in d Probebetneb $ mit d kanten- und Wegestein herstellen werden können $ die Kraftwerksasche beimischen sein $	19	0	beimischen	Demnächst geht eine Anlage in den Probebetneb , mit der Kanten- und Wegesteine hergestellt werden können , denen Kraftwerksasche beigemischt ist .	26120215_1989_06_22_01_037.tcf.xml-43-19
dazu werden sie mechanisch aufbereiten und d pvc- Paste beimischen $	9	0	beimischen	Dazu werden sie mechanisch aufbereitet und der PVC- Paste beigemischt .	2532889X_1984-07-26_01_194.tcf.xml-15-9
einige geben zu $ daß sie selbst weit wenige rein Fruchtsaft beimischen $	11	0	beimischen	Einige gaben zu , daß sie selbst weit weniger reinen Fruchtsaft beimischen .	26120215_1965_09_01_01_065.tcf.xml-9-11
werden kochend Wasser $ die eine Ps- Ode P4-Lösunft zur Desinfizierung und Entseuchung beimischen sein $ alle eventuell anwesend Bazille oder Bakterie auf Dal Fell brennen	13	0	beimischen	wird kochendes Wasser , dem eine PS- ode P4-Lösunft zur Desinfizierung und Entseuchung beigemischt ist , allen eventuell anwesenden Bazillen oder Bakterien auf dal Fell gebrannt	26120215_1955_08_13_02_273.tcf.xml-21-13
da sich zur Zeit nicht übersehen lassen $ welcher Zahl von Margannesorten in westlich Land d gleich Emulgator beimischen sein $ werden d Bevölkerung dringend vor d Genuß jedwede Margarine westlich Herkunft warnen $	18	0	beimischen	Da sich zur Zeit nicht übersehen läßt , welcher Zahl von Margannesorten in westlichen Ländern der gleiche Emulgator beigemischt ist , wird die Bevölkerung dringend vor dem Genuß jeglicher Margarine westlicher Herkunft gewarnt .	2532889X_1960-09-16_01_138.tcf.xml-7-18
bei gekocht oder gedünstet Sauerkrautgericht nach Möglichkeit eine Teil nach d Garwerden d Speise roh beimischen $	15	0	beimischen	Bei gekochten oder gedünsteten Sauerkrautgerichten nach Möglichkeit einen Teil nach dem Garwerden den Speisen roh beimischen .	26120215_1954_03_24_01_165.tcf.xml-7-15
werden d Kraftstoff zuviel Ölen beimischen $ qualmen d Motor sehr stark $	5	0	beimischen	Wird dem Kraftstoff zuviel öl beigemischt , qualmt der Motor sehr stark .	2532889X_1970-03-25_01_187.tcf.xml-10-5
er kennen sehr genau d Zutat $ die eine solch Film beimischen werden müssen $ um Publikumswirksamkeit zu erreichen $	11	0	beimischen	Er kennt sehr genau die Zutaten , die einem solchen Film beigemischt werden müssen , um Publikumswirksamkeit zu erreichen .	26120215_1969_01_08_01_268.tcf.xml-32-11
