sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
what hope be there of the quadruped be ever bear bit or bridle $ when even the want of food will n't make him docile $	10	0	bit	What hope is there of the quadruped 's ever bearing bit or bridle , when even the want of food wo n't make him docile ?	fic_1832_9464.txt-182-10
the wild beast in his forest haunt $ must own him for his lord $ // the desert steed $ no danger daunt with fiery hoof and fly mane $ and mouth unworn by bit or rein $ must feel the lash and cord $ and to the neck-encirling yoke $ the untamed mountain-bull be break $	34	0	bit	The wild beast in his forest haunt , Must own him for his lord : // The desert steed , no dangers daunt With fiery hoof and flying mane , And mouth unworn by bit or rein , Must feel the lash and cord : And to the neck-encirling yoke , The untamed mountain-bull be broke .	mag_1846_523866.txt-135-34
brother $ ' say i $ as we stand side by side $ again $ hold our horse by the bit and throat lash $ to steady them $ under the movement of the boat $ this be the third time that	20	0	bit	Brother , ' said I , as we stood side by side , again , holding our horses by the bit and throat lash , to steady them , under the movement of the boat -- this is the third time that	fic_1823_7248.txt-2489-20
nor do he slacken rein till the foot of his work horse strike on the pavement before the main entrance of the house $ and with their side pant against the wide band of fade leather compose their harness $ stand champ the bit $ and foaming as though they have run a race $	43	0	bit	Nor did he slacken rein till the feet of his work horses struck on the pavement before the main entrance of the house , and with their sides panting against the wide bands of faded leather composing their harness , stood champing the bit , and foaming as though they had run a race .	fic_1853_9040.txt-3483-43
his suspicion that their pony have take the matter into their own hand $ $ or rather the bit into their own tooth $ be of short duration $ and as they advance with increased rapidity $ he see plainly $ by the mirthful rivalry display in all their action and gesture $ that they be positively run a race $ the scarlet mantle be the winner $ $ or $ so far $ at least $ as a full length would go $ in full prospect of win $	18	0	bit	His suspicion that their ponies had taken the matter into their own hands , -- or rather the bits into their own teeth , was of short duration ; and as they advanced with increased rapidity , he saw plainly , by the mirthful rivalry displayed in all their actions and gestures , that they were positively running a race , the scarlet mantle being the winner , -- or , so far , at least , as a full length would go , in full prospect of winning .	fic_1835_7014.txt-280-18
the beautiful steed of champ be one of the number $ and lee could scarcely restrain his joy $ as he see him proudly champ his bit $ and anticipate the pleasure with which his faithful officer would again remount him $	26	0	bit	The beautiful steed of Champ was one of the number , and Lee could scarcely restrain his joy , as he saw him proudly champing his bit , and anticipated the pleasure with which his faithful officer would again remount him .	fic_1824_7285.txt-2633-26
the best of us be but sinful $ and the bit will get between the tooth $ $	10	0	bit	The best of us are but sinful , and the bit will get between the teeth . "	fic_1849_7231.txt-2627-10
be through so much excitement as you have lately $ and $ $ continue willoughby $ smile $ $ a man who keep all his passion down with the rein and bit $ except his ambition $ must expect the blue $ as you call them $ particularly $ if he have such strong passion $ in other respect $ as a certain friend of mine $ they will get the bit between their tooth $ sometimes $ and bind away $	71	0	bit	been through so much excitement as you have lately ; and , " continued Willoughby , smiling , " a man who keeps all his passions down with the rein and bit , except his ambition , must expect the blues , as you call them -- particularly , if he has such strong passions , in other respects , as a certain friend of mine , they will get the bit between their teeth , sometimes , and bound away .	fic_1835_7328.txt-1895-71
his horse $ endow as it would seem with an instinctive knowledge of what be in the wind $ do not so much as champ its bit $ much less paw up the ground $ or neigh $	26	0	bit	His horse , endowed as it would seem with an instinctive knowledge of what was in the wind , did not so much as champ its bits , much less paw up the ground , or neigh ,	fic_1853_9158.txt-97-26
he dip pretty largely into mexican mine $ and be bit $ he undertake to improve the breed of horse in peru $ and be bit $ he attempt to establish steam cotton-factories in colombia $ and be bit $ he buy largely into a chilian steam-boat company $ and be bit $ till $ finally $ he resolve to visit south america himself $ $ to	10	1	bit	He dipped pretty largely into Mexican mines , and was bit ; he undertook to improve the breed of horses in Peru , and was bit ; he attempted to establish steam cotton-factories in Colombia , and was bit ; he bought largely into a Chilian Steam-boat Company , and was bit ; till , finally , he resolved to visit South America himself , " to	fic_1835_5605.txt-2784-10
